cds_id,arxspan_id,version,sm_id,ccle_name,stripped_cell_line_name,patient_id,cellosaurus_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,gender,age,primary_site,primary_disease,subtype,subsubtype,origin,mediatype,condition,datatype,sequencing_type,baits,comments,source,sequencing_date,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2
CDS-38NpKI,ACH-000752,1,,,NCIH196,PT-XypHc2y9,,,gs://ccle_bams/hybrid_capture/NCIH196_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH196_LUNG.bai,,Male,,pleural_effusion,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line; Variant,CCLE2,26/6/2010,,,,ZubhEQ==,,,,,,,,,,
CDS-zot3nK,ACH-000587,1,,,NCIH1975,PT-E9SGow3g,,,gs://ccle_bams/hybrid_capture/NCIH1975_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH1975_LUNG.bai,,Female,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,19/1/2010,,,,C/OxeQ==,,,,,,,,,,
CDS-X0udZC,ACH-000886,1,,,NCIH2009,PT-m2G2PRfv,,,gs://ccle_bams/hybrid_capture/NCIH2009_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2009_LUNG.bai,,Female,,lymph_node,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,23/7/2010,,,,QfGjVg==,,,,,,,,,,
CDS-XcmRyb,ACH-000781,1,,,NCIH2023,PT-K74HUDcC,,,gs://ccle_bams/hybrid_capture/NCIH2023_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2023_LUNG.bai,,Male,,lymph_node,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,NtOZBg==,,,,,,,,,,
CDS-tuoImt,ACH-000298,1,,,NCIH2029,PT-P6gGZdIG,,,gs://ccle_bams/hybrid_capture/NCIH2029_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2029_LUNG.bai,,Female,,lymph_node,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,8W2Wcw==,,,,,,,,,,
CDS-YP5UuY,ACH-000521,1,,,NCIH2030,PT-fdsmQQNm,,,gs://ccle_bams/hybrid_capture/NCIH2030_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2030_LUNG.bai,,Male,,lymph_node,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,23/6/2010,,,,j6LP8g==,,,,,,,,,,
CDS-oLYJmL,ACH-000727,1,,,NCIH2066,PT-ZOMxbXpC,,,gs://ccle_bams/hybrid_capture/NCIH2066_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2066_LUNG.bai,,Female,,lung,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,tMwxFw==,,,,,,,,,,
CDS-j3aBcw,ACH-000590,1,,,NCIH2073,PT-sqxe3GnE,,,gs://ccle_bams/hybrid_capture/NCIH2073_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2073_LUNG.bai,,Female,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,"CCLE line; NCI-H1993 and NCI-H2073 arose from the same donor, see Mayba O, 2014, (ATCC).",CCLE2,25/7/2010,,,,XWt5xg==,,,,,,,,,,
CDS-OooBYM,ACH-000394,1,,,NCIH2081,PT-9JuIBovo,,,gs://ccle_bams/hybrid_capture/NCIH2081_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2081_LUNG.bai,,Female,,pleural_effusion,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,28/7/2010,,,,PKii5w==,,,,,,,,,,
CDS-KssvkN,ACH-000841,1,,,NCIH2087,PT-LrPE6L7F,,,gs://ccle_bams/hybrid_capture/NCIH2087_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2087_LUNG.bai,,Male,,lymph_node,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,e9PX1Q==,,,,,,,,,,
CDS-6G8Gq6,ACH-000290,1,,,NCIH209,PT-E8ln9EVa,,,gs://ccle_bams/hybrid_capture/NCIH209_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH209_LUNG.bai,,Male,,bone_marrow,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,23/6/2010,,,,yAHcQQ==,,,,,,,,,,
CDS-yc7hXQ,ACH-000904,1,,,NCIH2106,PT-Gatx1Hhx,,,gs://ccle_bams/hybrid_capture/NCIH2106_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2106_LUNG.bai,,Male,,lymph_node,Lung Cancer,NSCLC,NSCLC_large_cell,lung,,,hybrid_capture,,,CCLE line,CCLE2,26/7/2010,,,,FWcN/g==,,,,,,,,,,
CDS-rJi2yU,ACH-000929,1,,,NCIH2110,PT-ogXSNm9w,,,gs://ccle_bams/hybrid_capture/NCIH2110_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2110_LUNG.bai,,Unknown,,pleural_effusion,Lung Cancer,NSCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,4/8/2010,,,,E9mHJA==,,,,,,,,,,
CDS-kzedRb,ACH-000639,1,,,NCIH211,PT-qx5q3CuG,,,gs://ccle_bams/hybrid_capture/NCIH211_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH211_LUNG.bai,,Female,,bone_marrow,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,1/7/2010,,,,SXs9tQ==,,,,,,,,,,
CDS-uezn6f,ACH-000311,1,,,NCIH2122,PT-DZXdOiPp,,,gs://ccle_bams/hybrid_capture/NCIH2122_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2122_LUNG.bai,,Female,,pleural_effusion,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line; pleural effusion,CCLE2,19/1/2010,,,,+9u/sA==,,,,,,,,,,
CDS-n1gYnl,ACH-000785,1,,,NCIH2126,PT-hgEf40jH,,,gs://ccle_bams/hybrid_capture/NCIH2126_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2126_LUNG.bai,,Male,,haematopoietic_and_lymphoid_tissue,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,7/7/2010,,,,EBJtFA==,,,,,,,,,,
CDS-7pSB1i,ACH-001138,1,,,NCIH2141,PT-IEgp7Rzu,,,gs://ccle_bams/hybrid_capture/NCIH2141_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2141_LUNG.bai,,Male,,lymph_node,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,15/7/2010,,,,2KqXdw==,,,,,,,,,,
CDS-79d8yM,ACH-000481,1,,,NCIH2170,PT-IZKDvG3a,,,gs://ccle_bams/hybrid_capture/NCIH2170_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2170_LUNG.bai,,Male,,lung,Lung Cancer,NSCLC,NSCLC_squamous,lung,,,hybrid_capture,,,CCLE line,CCLE2,24/6/2010,,,,Z12gzA==,,,,,,,,,,
CDS-TGJ9mW,ACH-000525,1,,,NCIH2171,PT-w9liralS,,,gs://ccle_bams/hybrid_capture/NCIH2171_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2171_LUNG.bai,,Male,,pleural_effusion,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,22/7/2010,,,,YQGBMQ==,,,,,,,,,,
CDS-kdQ7UC,ACH-000924,1,,,NCIH2172,PT-h6ukYv9i,,,gs://ccle_bams/hybrid_capture/NCIH2172_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2172_LUNG.bai,,Female,,lung,Lung Cancer,NSCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,UAHdZw==,,,,,,,,,,
CDS-5OYpSs,ACH-000399,1,,,NCIH2196,PT-XksnzgtO,,,gs://ccle_bams/hybrid_capture/NCIH2196_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2196_LUNG.bai,,Male,,bone_marrow,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,14/8/2010,,,,ehDTAQ==,,,,,,,,,,
CDS-lC3YCS,ACH-000610,1,,,NCIH2227,PT-v383Oeie,,,gs://ccle_bams/hybrid_capture/NCIH2227_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2227_LUNG.bai,,Male,,lung,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,j2tcbg==,,,,,,,,,,
CDS-gmE7uH,ACH-000447,1,,,NCIH2228,PT-dcAy0hL9,,,gs://ccle_bams/hybrid_capture/NCIH2228_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2228_LUNG.bai,,Female,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,25/6/2010,,,,YxJsaw==,,,,,,,,,,
CDS-bgmfUi,ACH-000367,1,,,NCIH226,PT-jU3QwYEW,,,gs://ccle_bams/hybrid_capture/NCIH226_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH226_LUNG.bai,,Male,,pleural_effusion,Lung Cancer,NSCLC,NSCLC_squamous,lung,,,hybrid_capture,,,CCLE line,CCLE2,19/7/2010,,,,rYyi8g==,,,,,,,,,,
CDS-bBc061,ACH-000912,1,,,NCIH2286,PT-FTdAX2cD,,,gs://ccle_bams/hybrid_capture/NCIH2286_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2286_LUNG.bai,,Female,,lung,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,29/6/2010,,,,JsqgMQ==,,,,,,,,,,
CDS-PCEeTH,ACH-000718,1,,,NCIH2291,PT-x2uooWpG,,,gs://ccle_bams/hybrid_capture/NCIH2291_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2291_LUNG.bai,,Male,,lymph_node,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line; Derived from never smoker,CCLE2,19/7/2010,,,,aPkZdw==,,,,,,,,,,
CDS-gqlifT,ACH-000951,1,,,NCIH2342,PT-RmmWfwkj,,,gs://ccle_bams/hybrid_capture/NCIH2342_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2342_LUNG.bai,,Male,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line; Derived from never smoker,CCLE2,28/7/2010,,,,nl//8g==,,,,,,,,,,
CDS-sQ0jss,ACH-000875,1,,,NCIH2347,PT-yVAs4qPH,,,gs://ccle_bams/hybrid_capture/NCIH2347_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2347_LUNG.bai,,Female,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,23/6/2010,,,,1FxwjQ==,,,,,,,,,,
CDS-zomo1n,ACH-000900,1,,,NCIH23,PT-PK21WciU,,,gs://ccle_bams/hybrid_capture/NCIH23_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH23_LUNG.bai,,Male,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,24/6/2010,,,,L9S2Gw==,,,,,,,,,,
CDS-qeA8Lk,ACH-000121,1,,,NCIH2405,PT-QYrcaNdL,,,gs://ccle_bams/hybrid_capture/NCIH2405_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2405_LUNG.bai,,Male,,ascites,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,4/8/2010,,,,72h0cg==,,,,,,,,,,
CDS-xaP66n,ACH-000186,1,,,NCIH2444,PT-BWQCoTZv,,,gs://ccle_bams/hybrid_capture/NCIH2444_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH2444_LUNG.bai,,Male,,lung,Lung Cancer,NSCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,29/6/2010,,,,oaMk0w==,,,,,,,,,,
CDS-4Qa5Ak,ACH-000092,1,,,NCIH2452,PT-chJPKYRk,,,gs://ccle_bams/hybrid_capture/NCIH2452_PLEURA.bam,gs://ccle_bams/hybrid_capture/NCIH2452_PLEURA.bai,,Male,,pleura,Lung Cancer,mesothelioma,,lung,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,XodP3Q==,,,,,,,,,,
CDS-FXZJzy,ACH-000109,1,,,NCIH3255,PT-ceHxv0dF,,,gs://ccle_bams/hybrid_capture/NCIH3255_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH3255_LUNG.bai,,Female,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,Identical lines: NCI-H322 and NCI-H3255 share high SNP identity; Received from CCLE; originally academic lab (Meyerson received from Minna),CCLE2,13/11/2010,,,,pc2+iA==,,,,,,,,,,
CDS-cjeMFq,ACH-000860,1,,,NCIH358,PT-HLoL0NZn,,,gs://ccle_bams/hybrid_capture/NCIH358_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH358_LUNG.bai,,Male,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,7/7/2010,,,,aHXI3w==,,,,,,,,,,
CDS-qDLKIR,ACH-000638,1,,,NCIH441,PT-YtPt68rS,,,gs://ccle_bams/hybrid_capture/NCIH441_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH441_LUNG.bai,,Male,,pericardial_effusion,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,5/1/2010,,,,GM2X3Q==,,,,,,,,,,
CDS-szGdM3,ACH-000800,1,,,NCIH446,PT-bRUartb7,,,gs://ccle_bams/hybrid_capture/NCIH446_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH446_LUNG.bai,,Male,,pleural_effusion,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,6/1/2010,,,,aA/zYw==,,,,,,,,,,
CDS-OhNGHC,ACH-000463,1,,,NCIH460,PT-iTBA6MSQ,,,gs://ccle_bams/hybrid_capture/NCIH460_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH460_LUNG.bai,,Male,,pleural_effusion,Lung Cancer,NSCLC,NSCLC_large_cell,lung,,,hybrid_capture,,,CCLE line,CCLE2,28/7/2010,,,,hMqFPA==,,,,,,,,,,
CDS-HjigCL,ACH-000360,1,,,NCIH508,PT-WLPrFoJ3,,,gs://ccle_bams/hybrid_capture/NCIH508_LARGE_INTESTINE.bam,gs://ccle_bams/hybrid_capture/NCIH508_LARGE_INTESTINE.bai,,Male,,abdomen,Colon/Colorectal Cancer,caecum_adenocarcinoma,,colorectal,,,hybrid_capture,,,CCLE line,CCLE2,27/7/2010,,,,8j4Izg==,,,,,,,,,,
CDS-Bt6Nde,ACH-000871,1,,,NCIH510,PT-E53afbmw,,,gs://ccle_bams/hybrid_capture/NCIH510_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH510_LUNG.bai,,Male,,autonomic_ganglia,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,23/6/2010,,,,KUKSPQ==,,,,,,,,,,
CDS-4p3XGs,ACH-000395,1,,,NCIH520,PT-ieD6Co51,,,gs://ccle_bams/hybrid_capture/NCIH520_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH520_LUNG.bai,,Male,,lung,Lung Cancer,NSCLC,NSCLC_squamous,lung,,,hybrid_capture,,,CCLE line,CCLE2,6/1/2010,,,,DQ9WUA==,,,,,,,,,,
CDS-QV3otE,ACH-000343,1,,,NCIH522,PT-et3EVXag,,,gs://ccle_bams/hybrid_capture/NCIH522_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH522_LUNG.bai,,Male,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,5/1/2010,,,,tC6+1A==,,,,,,,,,,
CDS-LOFvjS,ACH-000816,1,,,NCIH524,PT-DMzoIqNy,,,gs://ccle_bams/hybrid_capture/NCIH524_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH524_LUNG.bai,,Male,,lymph_node,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line; Variant,CCLE2,14/8/2010,,,,RglUPg==,,,,,,,,,,
CDS-wjC6uB,ACH-000767,1,,,NCIH526,PT-nnsTY42O,,,gs://ccle_bams/hybrid_capture/NCIH526_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH526_LUNG.bai,,Male,,bone_marrow,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line; Variant,CCLE2,15/7/2010,,,,ZO87mg==,,,,,,,,,,
CDS-pqQbYx,ACH-000628,1,,,NCIH596,PT-h3JVBJOB,,,gs://ccle_bams/hybrid_capture/NCIH596_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH596_LUNG.bai,,Male,,lung,Lung Cancer,NSCLC,NSCLC_adenosquamous,lung,,,hybrid_capture,,,CCLE line,CCLE2,23/8/2010,,,,cWz4lw==,,,,,,,,,,
CDS-9qXP9W,ACH-000378,1,,,NCIH647,PT-DiqZJ7r0,,,gs://ccle_bams/hybrid_capture/NCIH647_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH647_LUNG.bai,,Male,,pleural_effusion,Lung Cancer,NSCLC,NSCLC_adenosquamous,lung,,,hybrid_capture,,,CCLE line,CCLE2,29/6/2010,,,,iQmbDw==,,,,,,,,,,
CDS-Xfx95v,ACH-000945,1,,,NCIH650,PT-rugeqhSa,,,gs://ccle_bams/hybrid_capture/NCIH650_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH650_LUNG.bai,,Male,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,23/6/2010,,,,htyCHQ==,,,,,,,,,,
CDS-fEsH4E,ACH-000177,1,,,NCIH660,PT-c76xcJIR,,,gs://ccle_bams/hybrid_capture/NCIH660_PROSTATE.bam,gs://ccle_bams/hybrid_capture/NCIH660_PROSTATE.bai,,Male,,lymph_node,Prostate Cancer,prostate_small_cell,,prostate,,,hybrid_capture,,,CCLE line,CCLE2,29/6/2010,,,,94n3dA==,,,,,,,,,,
CDS-P2m8x8,ACH-000853,1,,,NCIH661,PT-qQLBGU1T,,,gs://ccle_bams/hybrid_capture/NCIH661_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH661_LUNG.bai,,Male,,lymph_node,Lung Cancer,NSCLC,NSCLC_large_cell,lung,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,KrXo/A==,,,,,,,,,,
CDS-VYIRVX,ACH-000089,1,,,NCIH684,PT-ZC24WmGW,,,gs://ccle_bams/hybrid_capture/NCIH684_LIVER.bam,gs://ccle_bams/hybrid_capture/NCIH684_LIVER.bai,,Male,,liver,Colon/Colorectal Cancer,colorectal_adenocarcinoma,,colorectal,,,hybrid_capture,,,CCLE line,CCLE2,23/11/2010,,,,IT04Uw==,,,,,,,,,,
CDS-dNLZZH,ACH-000358,1,,,NCIH69,PT-s0gVvVOB,,,gs://ccle_bams/hybrid_capture/NCIH69_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH69_LUNG.bai,,Male,,pleural_effusion,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,25/6/2010,,,,t9WNag==,,,,,,,,,,
CDS-Rzyfmd,ACH-000491,1,,,NCIH716,PT-48SMbevN,,,gs://ccle_bams/hybrid_capture/NCIH716_LARGE_INTESTINE.bam,gs://ccle_bams/hybrid_capture/NCIH716_LARGE_INTESTINE.bai,,Male,,ascites,Colon/Colorectal Cancer,colorectal_adenocarcinoma,,colorectal,,,hybrid_capture,,,CCLE line,CCLE2,23/8/2010,,,,d00U+g==,,,,,,,,,,
CDS-Gzg5Cj,ACH-000775,1,,,NCIH727,PT-BUyTm2YE,,,gs://ccle_bams/hybrid_capture/NCIH727_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH727_LUNG.bai,,Female,,lung,Lung Cancer,lung_carcinoid,,lung,,,hybrid_capture,,,CCLE line; lung_carcinoid,CCLE2,29/6/2010,,,,iosfYw==,,,,,,,,,,
CDS-Sn8l8C,ACH-000403,1,,,NCIH747,PT-zLJSbQMN,,,gs://ccle_bams/hybrid_capture/NCIH747_LARGE_INTESTINE.bam,gs://ccle_bams/hybrid_capture/NCIH747_LARGE_INTESTINE.bai,,Male,,large_intestine,Colon/Colorectal Cancer,colorectal_adenocarcinoma,,colorectal,,,hybrid_capture,,,CCLE line,CCLE2,1/7/2010,,,,mhjseg==,,,,,,,,,,
CDS-K0fz2j,ACH-000789,1,,,NCIH810,PT-lbPbL6Uq,,,gs://ccle_bams/hybrid_capture/NCIH810_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH810_LUNG.bai,,Male,,lung,Lung Cancer,NSCLC,NSCLC_large_cell,lung,,,hybrid_capture,,,CCLE line,CCLE2,7/1/2010,,,,7me2Bw==,,,,,,,,,,
CDS-x4bxEg,ACH-000355,1,,,NCIH82,PT-rTUSpR9F,,,gs://ccle_bams/hybrid_capture/NCIH82_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH82_LUNG.bai,,Male,,pleural_effusion,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,4/8/2010,,,,Z+GeZg==,,,,,,,,,,
CDS-qOXe7j,ACH-000416,1,,,NCIH838,PT-WMUbreG3,,,gs://ccle_bams/hybrid_capture/NCIH838_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH838_LUNG.bai,,Male,,lymph_node,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,X2ZpZg==,,,,,,,,,,
CDS-vQy7nj,ACH-000292,1,,,NCIH841,PT-lf290xm0,,,gs://ccle_bams/hybrid_capture/NCIH841_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH841_LUNG.bai,,Male,,lung,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line; Variant,CCLE2,19/7/2010,,,,zqY9rg==,,,,,,,,,,
CDS-0pchQx,ACH-000710,1,,,NCIH854,PT-QZ3qkneU,,,gs://ccle_bams/hybrid_capture/NCIH854_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH854_LUNG.bai,,Male,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,hybrid_capture,,,CCLE line,CCLE2,13/11/2010,,,,slDJuA==,,,,,,,,,,
CDS-j5Fsxo,ACH-000297,1,,,NCIH889,PT-3gDhrIu7,,,gs://ccle_bams/hybrid_capture/NCIH889_LUNG.bam,gs://ccle_bams/hybrid_capture/NCIH889_LUNG.bai,,Female,,lymph_node,Lung Cancer,SCLC,,lung,,,hybrid_capture,,,CCLE line,CCLE2,23/6/2010,,,,MqFNMw==,,,,,,,,,,
CDS-tyOD2O,ACH-000050,1,,,NCIH929,PT-bYDnxfe5,,,gs://ccle_bams/hybrid_capture/NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://ccle_bams/hybrid_capture/NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,pleural_effusion,Myeloma,multiple_myeloma,plasmacytoma,plasma_cell,,,hybrid_capture,,,CCLE line,CCLE2,22/7/2010,,,,oCX+IA==,,,,,,,,,,
CDS-SMBozp,ACH-000427,1,,,NCIN87,PT-ZLEQndfQ,,,gs://ccle_bams/hybrid_capture/NCIN87_STOMACH.bam,gs://ccle_bams/hybrid_capture/NCIN87_STOMACH.bai,,Male,,liver,Gastric Cancer,gastric_adenocarcinoma,tubular,gastric,,,hybrid_capture,,,CCLE line; tubular_adenocarcinoma,CCLE2,6/1/2010,,,,rH2Svw==,,,,,,,,,,
CDS-2GBbpU,ACH-000076,1,,,NCO2,PT-QF5OZrc4,,,gs://ccle_bams/hybrid_capture/NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://ccle_bams/hybrid_capture/NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,haematopoietic_and_lymphoid_tissue,Leukemia,CML,,blood,,,hybrid_capture,,,CCLE line,CCLE2,22/7/2010,,,,Tw04Ow==,,,,,,,,,,
CDS-4E7vPo,ACH-000203,1,,,NH6,PT-mXKC2twf,,,gs://ccle_bams/hybrid_capture/NH6_AUTONOMIC_GANGLIA.bam,gs://ccle_bams/hybrid_capture/NH6_AUTONOMIC_GANGLIA.bai,,Female,,autonomic_ganglia,Neuroblastoma,neuroblastoma,,peripheral_nervous_system,,,hybrid_capture,,,CCLE line; MYCN amp; adrengenic/mesenchymal; 1p -,CCLE2,4/8/2010,,,,dYPT/w==,,,,,,,,,,
CDS-bj2JFt,ACH-000001,1,,,NIHOVCAR3,PT-VPEr3Syq,,,gs://ccle_bams/hybrid_capture/NIHOVCAR3_OVARY.bam,gs://ccle_bams/hybrid_capture/NIHOVCAR3_OVARY.bai,,Female,,ascites,Ovarian Cancer,ovary_adenocarcinoma,high_grade_serous,ovary,,,hybrid_capture,,,CCLE line; High grade ovarian serous adenocarcinoma; Identical lines: NIH:OVCAR-3 and ONCO-DG-1 share high SNP identity,CCLE2,25/6/2010,,,,SZ4V+Q==,,,,,,,,,,
CDS-fxaXHj,ACH-000200,1,,,NMCG1,PT-GzvKgB02,,,gs://ccle_bams/hybrid_capture/NMCG1_CENTRAL_NERVOUS_SYSTEM.bam,gs://ccle_bams/hybrid_capture/NMCG1_CENTRAL_NERVOUS_SYSTEM.bai,,Female,,central_nervous_system,Brain Cancer,glioma,glioblastoma,central_nervous_system,,,hybrid_capture,,,CCLE line,CCLE2,6/1/2010,,,,X45BBg==,,,,,,,,,,
CDS-AZGBli,ACH-000168,1,,,NOMO1,PT-YjYUTIdy,,,gs://ccle_bams/hybrid_capture/NOMO-1.bam,gs://ccle_bams/hybrid_capture/NOMO-1.bai,,Female,,bone_marrow,Leukemia,AML,M5,blood,,,hybrid_capture,,,CCLE line; MLL-AF6; p53 WT; RAS WT; AML M5a,CCLE2,10/0/2012,,,,8RuZhQ==,,,,,,,,,,
CDS-i0EC28,ACH-000388,1,,,NUDHL1,PT-CyN568Ly,,,gs://ccle_bams/hybrid_capture/NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://ccle_bams/hybrid_capture/NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Male,,lymph_node,Lymphoma,non_hodgkin_lymphoma,DLBCL,lymphocyte,,,hybrid_capture,,,CCLE line,CCLE2,4/8/2010,,,,NJ+n+Q==,,,,,,,,,,
