cds_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,stripped_cell_line_name,gender,notes,primary_site,primary_disease,subtype,comments,arxspan_id,ccle_name,version,sm_id,source,datatype,sequencing_type,sequencing_date,baits,origin,subsubtype,patient_id,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2
CDS-VUCrXP,,gs://ccle_bams/RRBS/G29750/GA-10/v2/GA-10.bam,gs://ccle_bams/RRBS/G29750/GA-10/v2/GA-10.bai,,GA10,Male,Male,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,CCLE line,ACH-000162,,1,,CCLE2,RRBS,,734862.0,,lymphocyte,b_cell_burkitt,PT-ircm0z9U,,,,kYYyUQ==,,,,,,,,,,
CDS-xIuYkx,,gs://ccle_bams/RRBS/G29750/GAMG/v1/GAMG.bam,gs://ccle_bams/RRBS/G29750/GAMG/v1/GAMG.bai,,GAMG,Female,Female,central_nervous_system,Brain Cancer,glioma,CCLE line,ACH-000098,,1,,CCLE2,RRBS,,734931.0,,central_nervous_system,glioblastoma,PT-l6pKTDHL,,,,AnvC6Q==,,,,,,,,,,
CDS-oJYfwA,,gs://ccle_bams/RRBS/G29750/GB-1/v2/GB-1.bam,gs://ccle_bams/RRBS/G29750/GB-1/v2/GB-1.bai,,GB1,Male,Male,central_nervous_system,Brain Cancer,glioma,CCLE line,ACH-000738,,1,,CCLE2,RRBS,,734862.75,,central_nervous_system,glioblastoma,PT-iuGM5uMM,,,,yFD6wg==,,,,,,,,,,
CDS-2Jqfk6,,gs://ccle_bams/RRBS/G29750/GCIY/v1/GCIY.bam,gs://ccle_bams/RRBS/G29750/GCIY/v1/GCIY.bai,,GCIY,Female,Female,ascites,Gastric Cancer,gastric_adenocarcinoma,CCLE line,ACH-000047,,1,,CCLE2,RRBS,,734898.0,,gastric,,PT-t5RtpYpE,,,,qLpjcw==,,,,,,,,,,
CDS-tYjxJ9,,gs://ccle_bams/RRBS/G29750/GCT/v1/GCT.bam,gs://ccle_bams/RRBS/G29750/GCT/v1/GCT.bai,,GCT,Male,Male,soft_tissue,Sarcoma,pleomorphic_sarcoma,CCLE line; malignant_fibrous_histiocytoma-pleomorphic_sarcoma,ACH-000835,,1,,CCLE2,RRBS,,734886.0,,soft_tissue,,PT-fP1CE6C0,,,,Oz6upg==,,,,,,,,,,
CDS-7EqLxE,,gs://ccle_bams/RRBS/G29750/GDM-1/v4/GDM-1.bam,gs://ccle_bams/RRBS/G29750/GDM-1/v4/GDM-1.bai,,GDM1,Female,Female,haematopoietic_and_lymphoid_tissue,Leukemia,AML,CCLE line; MNXas1-MB; p53 WT; RAS WT; PTPN11 mut,ACH-000081,,1,,CCLE2,RRBS,,734850.5,,blood,,PT-AAYjKDiu,,,,LJsgLQ==,,,,,,,,,,
CDS-PvItgl,,gs://ccle_bams/RRBS/G29750/GI-1/v1/GI-1.bam,gs://ccle_bams/RRBS/G29750/GI-1/v1/GI-1.bai,,GI1,Male,Male,central_nervous_system,Brain Cancer,glioma,CCLE line,ACH-000756,,1,,CCLE2,RRBS,,734898.25,,central_nervous_system,glioblastoma,PT-Z7l3wLkk,,,,8Fal6A==,,,,,,,,,,
CDS-f1YBx5,,gs://ccle_bams/RRBS/G29750/GMS-10/v3/GMS-10.bam,gs://ccle_bams/RRBS/G29750/GMS-10/v3/GMS-10.bai,,GMS10,Male,Male,central_nervous_system,Brain Cancer,glioma,CCLE line,ACH-000102,,1,,CCLE2,RRBS,,734871.0,,central_nervous_system,glioblastoma,PT-slDGtOlg,,,,es79iQ==,,,,,,,,,,
CDS-xV7KnQ,,gs://ccle_bams/RRBS/G29750/GOS-3/v3/GOS-3.bam,gs://ccle_bams/RRBS/G29750/GOS-3/v3/GOS-3.bai,,GOS3,Male,Male,central_nervous_system,Brain Cancer,glioma,CCLE line; Problematic cell line: Contaminated. Shown to be a U-343MGa derivative (PubMed=22570425). Originally thought to originate from the brain of a 55 year old patient with a mixed astro-oligodendroglioma (grade II/III).,ACH-000027,,1,,CCLE2,RRBS,,734866.0,,central_nervous_system,glioblastoma,PT-HtZfUXP9,,,,hyuKdw==,,,,,,,,,,
CDS-2CWebG,,gs://ccle_bams/RRBS/G29750/GP2d/v1/GP2d.bam,gs://ccle_bams/RRBS/G29750/GP2d/v1/GP2d.bai,,GP2D,Female,Female,Colon,Colon/Colorectal Cancer,colorectal_adenocarcinoma,CCLE line; GP5d has been established from the same adenocarcinoma as GP2d (ECACC).,ACH-000982,,1,,CCLE2,RRBS,,734895.0,,colorectal,,PT-NEhk9Rf3,,,,InYT+Q==,,,,,,,,,,
CDS-9XaR5y,,gs://ccle_bams/RRBS/G29750/GRANTA-519/v2/GRANTA-519.bam,gs://ccle_bams/RRBS/G29750/GRANTA-519/v2/GRANTA-519.bai,,GRANTA519,Female,Female,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,CCLE line,ACH-000073,,1,,CCLE2,RRBS,,734867.75,,lymphocyte,b_cell_mantle_cell,PT-6aPDAtZO,,,,QiN8pQ==,,,,,,,,,,
CDS-aURfG0,,gs://ccle_bams/RRBS/G29750/GSS/v1/GSS.bam,gs://ccle_bams/RRBS/G29750/GSS/v1/GSS.bai,,GSS,Male,Male,liver,Gastric Cancer,gastric_adenocarcinoma,CCLE line,ACH-000746,,1,,CCLE2,RRBS,,734908.3333333334,,gastric,,PT-VsjvK5cj,,,,liCwyA==,,,,,,,,,,
CDS-fy4FuB,,gs://ccle_bams/RRBS/G29750/GSU/v1/GSU.bam,gs://ccle_bams/RRBS/G29750/GSU/v1/GSU.bai,,GSU,Male,Male,ascites,Gastric Cancer,gastric_adenocarcinoma,CCLE line,ACH-000485,,1,,CCLE2,RRBS,,734927.0,,gastric,,PT-IHvijMCc,,,,V0LAUA==,,,,,,,,,,
CDS-xkszrd,,gs://ccle_bams/RRBS/G29750/H4/v2/H4.bam,gs://ccle_bams/RRBS/G29750/H4/v2/H4.bai,,H4,Male,Male,central_nervous_system,Brain Cancer,glioma,CCLE line,ACH-000389,,1,,CCLE2,RRBS,,734891.5,,central_nervous_system,,PT-EbxkE2l0,,,,EcEGmg==,,,,,,,,,,
CDS-seVTIg,,gs://ccle_bams/RRBS/G29750/HARA/v2/HARA.bam,gs://ccle_bams/RRBS/G29750/HARA/v2/HARA.bai,,HARA,Male,Male,pleural_effusion,Lung Cancer,NSCLC,CCLE line,ACH-000843,,1,,CCLE2,RRBS,,734895.0,,lung,NSCLC_squamous,PT-TPtkQ6ak,,,,bx63qA==,,,,,,,,,,
CDS-0H6Tcf,,gs://ccle_bams/RRBS/G29750/HCC-1171/v2/HCC-1171.bam,gs://ccle_bams/RRBS/G29750/HCC-1171/v2/HCC-1171.bai,,HCC1171,Male,Male,lung,Lung Cancer,NSCLC,CCLE line,ACH-000578,,1,,CCLE2,RRBS,,734862.75,,lung,NSCLC_adenocarcinoma,PT-8ogNVcbi,,,,xLOVRw==,,,,,,,,,,
CDS-qFhucP,,gs://ccle_bams/RRBS/G29750/HCC-1195/v2/HCC-1195.bam,gs://ccle_bams/RRBS/G29750/HCC-1195/v2/HCC-1195.bai,,HCC1195,Male,Male,lung,Lung Cancer,NSCLC,CCLE line,ACH-000868,,1,,CCLE2,RRBS,,734897.5,,lung,NSCLC_adenosquamous,PT-gL0EL0Yf,,,,wgyyfA==,,,,,,,,,,
CDS-SgWj6x,,gs://ccle_bams/RRBS/G29750/HCC-1359/v2/HCC-1359.bam,gs://ccle_bams/RRBS/G29750/HCC-1359/v2/HCC-1359.bai,,HCC1359,Female,Female,lung,Lung Cancer,NSCLC,CCLE line,ACH-000901,,1,,CCLE2,RRBS,,734862.75,,lung,NSCLC_large_cell,PT-doHr9Q2F,,,,z/7tiA==,,,,,,,,,,
CDS-XWt1tE,,gs://ccle_bams/RRBS/G29750/HCC-15/v1/HCC-15.bam,gs://ccle_bams/RRBS/G29750/HCC-15/v1/HCC-15.bai,,HCC15,Male,Male,lung,Lung Cancer,NSCLC,CCLE line,ACH-000878,,1,,CCLE2,RRBS,,734898.0,,lung,NSCLC_squamous,PT-zsGxXUCu,,,,scvsyQ==,,,,,,,,,,
CDS-noJ3FQ,,gs://ccle_bams/RRBS/G29750/HCC-1588/v3/HCC-1588.bam,gs://ccle_bams/RRBS/G29750/HCC-1588/v3/HCC-1588.bai,,HCC1588,Female,Female,lung,Lung Cancer,NSCLC,CCLE line; Identical lines: HCC-1588 and LS513 share high SNP identity. Really is LS513,ACH-001078,,1,,CCLE2,RRBS,,734940.75,,lung,NSCLC_squamous,PT-epLMsCoH,,,,XNyQ4g==,,,,,,,,,,
CDS-QXHj9q,,gs://ccle_bams/RRBS/G29750/HCC-1833/v3/HCC-1833.bam,gs://ccle_bams/RRBS/G29750/HCC-1833/v3/HCC-1833.bai,,HCC1833,Female,Female,lung,Lung Cancer,NSCLC,CCLE line,ACH-000712,,1,,CCLE2,RRBS,,734931.0,,lung,NSCLC_adenocarcinoma,PT-RAwkMazE,,,,8Uub0w==,,,,,,,,,,
CDS-wifyHC,,gs://ccle_bams/RRBS/G29750/HCC-2108/v1/HCC-2108.bam,gs://ccle_bams/RRBS/G29750/HCC-2108/v1/HCC-2108.bai,,HCC2108,Male,Male,lung,Lung Cancer,NSCLC,CCLE line,ACH-000314,,1,,CCLE2,RRBS,,734931.0,,lung,NSCLC_adenocarcinoma,PT-OXLQK3RW,,,,4J2Cxw==,,,,,,,,,,
CDS-ZoVYVL,,gs://ccle_bams/RRBS/G29750/HCC-2279/v2/HCC-2279.bam,gs://ccle_bams/RRBS/G29750/HCC-2279/v2/HCC-2279.bai,,HCC2279,Female,Female,lung,Lung Cancer,NSCLC,CCLE line,ACH-000731,,1,,CCLE2,RRBS,,734871.5,,lung,NSCLC_adenocarcinoma,PT-6qVNZqHW,,,,gnsQ7g==,,,,,,,,,,
CDS-J9VUhI,,gs://ccle_bams/RRBS/G29750/HCC-33/v3/HCC-33.bam,gs://ccle_bams/RRBS/G29750/HCC-33/v3/HCC-33.bai,,HCC33,Male,Male,pleural_effusion,Lung Cancer,SCLC,CCLE line,ACH-000515,,1,,CCLE2,RRBS,,734935.75,,lung,,PT-F1ay6XTn,,,,Wj9kCA==,,,,,,,,,,
CDS-8TB3py,,gs://ccle_bams/RRBS/G29750/HCC-366/v3/HCC-366.bam,gs://ccle_bams/RRBS/G29750/HCC-366/v3/HCC-366.bai,,HCC366,Female,Female,lung,Lung Cancer,NSCLC,CCLE line,ACH-000840,,1,,CCLE2,RRBS,,734852.1666666666,,lung,NSCLC_adenosquamous,PT-l7LgRF99,,,,ONE01g==,,,,,,,,,,
CDS-OHKqzB,,gs://ccle_bams/RRBS/G29750/HCC-44/v2/HCC-44.bam,gs://ccle_bams/RRBS/G29750/HCC-44/v2/HCC-44.bai,,HCC44,Female,Female,lung,Lung Cancer,NSCLC,CCLE line,ACH-000667,,1,,CCLE2,RRBS,,734895.0,,lung,NSCLC_adenocarcinoma,PT-YoCDTqgV,,,,xlYdTg==,,,,,,,,,,
CDS-yvRuws,,gs://ccle_bams/RRBS/G29750/HCC-56/v1/HCC-56.bam,gs://ccle_bams/RRBS/G29750/HCC-56/v1/HCC-56.bai,,HCC56,Unknown,Unknown,large_intestine,Colon/Colorectal Cancer,colorectal_adenocarcinoma,CCLE line,ACH-000467,,1,,CCLE2,RRBS,,734889.0,,colorectal,,PT-aP1tYeb7,,,,4CBCBw==,,,,,,,,,,
CDS-vDRNpi,,gs://ccle_bams/RRBS/G29750/HCC-78/v2/HCC-78.bam,gs://ccle_bams/RRBS/G29750/HCC-78/v2/HCC-78.bai,,HCC78,Male,Male,pleural_effusion,Lung Cancer,NSCLC,CCLE line,ACH-000562,,1,,CCLE2,RRBS,,734850.5,,lung,NSCLC_adenocarcinoma,PT-NJbcLbkz,,,,/dmyLA==,,,,,,,,,,
CDS-P3lGlB,,gs://ccle_bams/RRBS/G29750/HCC-95/v1/HCC-95.bam,gs://ccle_bams/RRBS/G29750/HCC-95/v1/HCC-95.bai,,HCC95,Male,Male,pleural_effusion,Lung Cancer,NSCLC,CCLE line,ACH-000454,,1,,CCLE2,RRBS,,734898.0,,lung,NSCLC_squamous,PT-ZRNtioa4,,,,rIgNTA==,,,,,,,,,,
CDS-L1IFBy,,gs://ccle_bams/RRBS/G29750/HCC1143/v2/HCC1143.bam,gs://ccle_bams/RRBS/G29750/HCC1143/v2/HCC1143.bai,,HCC1143,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; basal; TNBC,ACH-000374,,1,,CCLE2,RRBS,,734862.5,,breast,ERneg_HER2neg,PT-TRbh2Ida,,,,a4x3aA==,,,,,,,,,,
CDS-ewZ4yo,,gs://ccle_bams/RRBS/G29750/HCC1187/v2/HCC1187.bam,gs://ccle_bams/RRBS/G29750/HCC1187/v2/HCC1187.bai,,HCC1187,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; basal,ACH-000111,,1,,CCLE2,RRBS,,734862.0,,breast,ERneg_HER2neg,PT-A48boqax,,,,OTTfIg==,,,,,,,,,,
CDS-J1iG5N,,gs://ccle_bams/RRBS/G29750/HCC1395/v1/HCC1395.bam,gs://ccle_bams/RRBS/G29750/HCC1395/v1/HCC1395.bai,,HCC1395,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; TNBC; basal,ACH-000699,,1,,CCLE2,RRBS,,734898.0,,breast,ERneg_HER2neg,PT-6Q1VlLgv,,,,qIFzsA==,,,,,,,,,,
CDS-yGjr6o,,gs://ccle_bams/RRBS/G29750/HCC1419/v1/HCC1419.bam,gs://ccle_bams/RRBS/G29750/HCC1419/v1/HCC1419.bai,,HCC1419,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; luminal; HER2Amp,ACH-000277,,1,,CCLE2,RRBS,,734898.25,,breast,ERpos_HER2pos,PT-QnpGfm6C,,,,BjG7rQ==,,,,,,,,,,
CDS-h79SRn,,gs://ccle_bams/RRBS/G29750/HCC1500/v2/HCC1500.bam,gs://ccle_bams/RRBS/G29750/HCC1500/v2/HCC1500.bai,,HCC1500,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; HER2Amp/Erpos; luminal,ACH-000349,,1,,CCLE2,RRBS,,734897.5,,breast,ERpos_HER2neg,PT-aZsmBpyz,,,,U7oODA==,,,,,,,,,,
CDS-w5GCTs,,gs://ccle_bams/RRBS/G29750/HCC1569/v1/HCC1569.bam,gs://ccle_bams/RRBS/G29750/HCC1569/v1/HCC1569.bai,,HCC1569,Female,Female,breast,Breast Cancer,breast_carcinoma,CCLE line; TNBC; basal,ACH-000930,,1,,CCLE2,RRBS,,734895.0,,breast,ERneg_HER2pos,PT-e7FoCnfB,,,,6iecBw==,,,,,,,,,,
CDS-WElrYZ,,gs://ccle_bams/RRBS/G29750/HCC1806/v3/HCC1806.bam,gs://ccle_bams/RRBS/G29750/HCC1806/v3/HCC1806.bai,,HCC1806,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; TNBC; basal,ACH-000624,,1,,CCLE2,RRBS,,734913.0,,breast,ERneg_HER2neg,PT-wbQqudzA,,,,R/olOQ==,,,,,,,,,,
CDS-lE5y5v,,gs://ccle_bams/RRBS/G29750/HCC1937/v2/HCC1937.bam,gs://ccle_bams/RRBS/G29750/HCC1937/v2/HCC1937.bai,,HCC1937,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,"CCLE line; basal, TNBC",ACH-000223,,1,,CCLE2,RRBS,,734862.75,,breast,ERneg_HER2neg,PT-EQxQZPVc,,,,n/vevw==,,,,,,,,,,
CDS-KX5vBm,,gs://ccle_bams/RRBS/G29750/HCC1954/v2/HCC1954.bam,gs://ccle_bams/RRBS/G29750/HCC1954/v2/HCC1954.bai,,HCC1954,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; HER2Amp; basal,ACH-000859,,1,,CCLE2,RRBS,,734897.5,,breast,ERneg_HER2pos,PT-hPVcT5fN,,,,hJWZFA==,,,,,,,,,,
CDS-WdIEAl,,gs://ccle_bams/RRBS/G29750/HCC202/v1/HCC202.bam,gs://ccle_bams/RRBS/G29750/HCC202/v1/HCC202.bai,,HCC202,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; HER2Amp; luminal,ACH-000725,,1,,CCLE2,RRBS,,734890.0,,breast,ERneg_HER2pos,PT-mK8qNsXG,,,,lqzbVg==,,,,,,,,,,
CDS-LGIlZG,,gs://ccle_bams/RRBS/G29750/HCC2157/v1/HCC2157.bam,gs://ccle_bams/RRBS/G29750/HCC2157/v1/HCC2157.bai,,HCC2157,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; TNBC; basal,ACH-000691,,1,,CCLE2,RRBS,,734927.0,,breast,ERneg_HER2neg,PT-FZoKomGc,,,,zgn23w==,,,,,,,,,,
CDS-jZjFC5,,gs://ccle_bams/RRBS/G29750/HCC2218/v1/HCC2218.bam,gs://ccle_bams/RRBS/G29750/HCC2218/v1/HCC2218.bai,,HCC2218,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; HER2Amp; luminal,ACH-000755,,1,,CCLE2,RRBS,,734890.0,,breast,ERneg_HER2pos,PT-gj358Exu,,,,NKPdzw==,,,,,,,,,,
CDS-6UXFM3,,gs://ccle_bams/RRBS/G29750/HCC2935/v3/HCC2935.bam,gs://ccle_bams/RRBS/G29750/HCC2935/v3/HCC2935.bai,,HCC2935,Male,Male,pleural_effusion,Lung Cancer,NSCLC,CCLE line,ACH-000150,,1,,CCLE2,RRBS,,734842.0,,lung,NSCLC_adenocarcinoma,PT-3HrHvVgI,,,,4M0FyA==,,,,,,,,,,
CDS-T1Wqou,,gs://ccle_bams/RRBS/G29750/HCC38/v3/HCC38.bam,gs://ccle_bams/RRBS/G29750/HCC38/v3/HCC38.bai,,HCC38,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; basal; TNBC,ACH-000276,,1,,CCLE2,RRBS,,734914.875,,breast,ERneg_HER2neg,PT-WEkMi7E4,,,,4/Qahw==,,,,,,,,,,
CDS-WdswTK,,gs://ccle_bams/RRBS/G29750/HCC4006/v3/HCC4006.bam,gs://ccle_bams/RRBS/G29750/HCC4006/v3/HCC4006.bai,,HCC4006,Male,Male,pleural_effusion,Lung Cancer,NSCLC,CCLE line,ACH-000066,,1,,CCLE2,RRBS,,734845.5,,lung,NSCLC_adenocarcinoma,PT-4Q0Fk5hY,,,,ylu12Q==,,,,,,,,,,
CDS-Vdj1wU,,gs://ccle_bams/RRBS/G29750/HCC70/v1/HCC70.bam,gs://ccle_bams/RRBS/G29750/HCC70/v1/HCC70.bai,,HCC70,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; TNBC; basal,ACH-000668,,1,,CCLE2,RRBS,,734893.0,,breast,ERneg_HER2neg,PT-rBSNsIjF,,,,Qoyv/Q==,,,,,,,,,,
CDS-BrHO8W,,gs://ccle_bams/RRBS/G29750/HCC827/v1/HCC827.bam,gs://ccle_bams/RRBS/G29750/HCC827/v1/HCC827.bai,,HCC827,Female,Female,lung,Lung Cancer,NSCLC,CCLE line,ACH-000012,,1,,CCLE2,RRBS,,734889.0,,lung,NSCLC_adenocarcinoma,PT-y2JqW8JP,,,,BQwD5g==,,,,,,,,,,
CDS-f6cLR9,,gs://ccle_bams/RRBS/G29750/HCT-15/v2/HCT-15.bam,gs://ccle_bams/RRBS/G29750/HCT-15/v2/HCT-15.bai,,HCT15,Male,Male,large_intestine,Colon/Colorectal Cancer,colorectal_adenocarcinoma,"CCLE line; Identical lines: HRT18, HCT15 and DLD1 share high SNP identity",ACH-000997,,1,,CCLE2,RRBS,,734862.0,,colorectal,,PT-Vkh7m9RQ,,,,xX/VGw==,,,,,,,,,,
CDS-lTV8gn,,gs://ccle_bams/RRBS/G29750/HCT_116/v1/HCT_116.bam,gs://ccle_bams/RRBS/G29750/HCT_116/v1/HCT_116.bai,,HCT116,Male,Male,large_intestine,Colon/Colorectal Cancer,colorectal_adenocarcinoma,,ACH-000971,,1,,CCLE2,RRBS,,734890.0,,colorectal,,PT-4qPCED27,,,,rwDRrQ==,,,,,,,,,,
CDS-30UpNz,,gs://ccle_bams/RRBS/G29750/HD-MY-Z/v1/HD-MY-Z.bam,gs://ccle_bams/RRBS/G29750/HD-MY-Z/v1/HD-MY-Z.bai,,HDMYZ,Male,Male,pleural_effusion,Lymphoma,hodgkin_lymphoma,CCLE line,ACH-000190,,1,,CCLE2,RRBS,,734898.0,,lymphocyte,,PT-f4lAxpWu,,,,eoc2uw==,,,,,,,,,,
CDS-iMiED5,,gs://ccle_bams/RRBS/G29750/HDLM-2/v1/HDLM-2.bam,gs://ccle_bams/RRBS/G29750/HDLM-2/v1/HDLM-2.bai,,HDLM2,Male,Male,pleural_effusion,Lymphoma,hodgkin_lymphoma,CCLE line,ACH-000267,,1,,CCLE2,RRBS,,734909.0,,lymphocyte,,PT-1fSbSfA3,,,,xpq/xQ==,,,,,,,,,,
CDS-oHm7Eb,,gs://ccle_bams/RRBS/G29750/HDQ-P1/v1/HDQ-P1.bam,gs://ccle_bams/RRBS/G29750/HDQ-P1/v1/HDQ-P1.bai,,HDQP1,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; TNBC; basal; infiltrating,ACH-000643,,1,,CCLE2,RRBS,,734889.0,,breast,ERneg_HER2neg,PT-ygrk40U8,,,,c0M/7Q==,,,,,,,,,,
CDS-o8F0WQ,,gs://ccle_bams/RRBS/G29750/HEC-1-A/v2/HEC-1-A.bam,gs://ccle_bams/RRBS/G29750/HEC-1-A/v2/HEC-1-A.bai,ACH-001517,HEC1A,Female,Female,endometrium,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,CCLE line; Identical lines: HEC-1-A HEC-1-B are subclones of HEC-1 and share high SNP identity,ACH-000954,,1,,CCLE2,RRBS,,734932.625,,uterus,,PT-Dq4yG8qZ,,,,jENP9g==,,,,,,,,,,
CDS-ujNelc,,gs://ccle_bams/RRBS/G29750/HEC-1-B/v2/HEC-1-B.bam,gs://ccle_bams/RRBS/G29750/HEC-1-B/v2/HEC-1-B.bai,ACH-001517,HEC1B,Female,Female,endometrium,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,CCLE line; Identical lines: HEC-1-A HEC-1-B are subclones of HEC-1 and share high SNP identity,ACH-000941,,1,,CCLE2,RRBS,,734897.25,,uterus,,PT-Dq4yG8qZ,,,,JMunvg==,,,,,,,,,,
CDS-SDA3Mt,,gs://ccle_bams/RRBS/G29750/HEC-108/v3/HEC-108.bam,gs://ccle_bams/RRBS/G29750/HEC-108/v3/HEC-108.bai,,HEC108,Female,Female,endometrium,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,CCLE line,ACH-000990,,1,,CCLE2,RRBS,,734866.0,,uterus,,PT-CX7S4HbO,,,,fCICgw==,,,,,,,,,,
CDS-RVoQbk,,gs://ccle_bams/RRBS/G29750/HEC-151/v4/HEC-151.bam,gs://ccle_bams/RRBS/G29750/HEC-151/v4/HEC-151.bai,,HEC151,Female,Female,endometrium,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,CCLE line,ACH-000972,,1,,CCLE2,RRBS,,734850.5,,uterus,,PT-WLRim1N2,,,,A7yZqw==,,,,,,,,,,
CDS-lKNmzG,,gs://ccle_bams/RRBS/G29750/HEC-251/v3/HEC-251.bam,gs://ccle_bams/RRBS/G29750/HEC-251/v3/HEC-251.bai,,HEC251,Female,Female,endometrium,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,CCLE line,ACH-000996,,1,,CCLE2,RRBS,,734866.0,,uterus,,PT-rYAO2oY6,,,,uGsnow==,,,,,,,,,,
CDS-vTVNre,,gs://ccle_bams/RRBS/G29750/HEC-265/v3/HEC-265.bam,gs://ccle_bams/RRBS/G29750/HEC-265/v3/HEC-265.bai,,HEC265,Female,Female,endometrium,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,CCLE line,ACH-000946,,1,,CCLE2,RRBS,,734852.1666666666,,uterus,,PT-q50PpewT,,,,9yUVkQ==,,,,,,,,,,
CDS-UgwmlP,,gs://ccle_bams/RRBS/G29750/HEC-50B/v2/HEC-50B.bam,gs://ccle_bams/RRBS/G29750/HEC-50B/v2/HEC-50B.bai,,HEC50B,Female,Female,ascites,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,CCLE line,ACH-000831,,1,,CCLE2,RRBS,,734871.5,,uterus,,PT-JTums3At,,,,dAQ76A==,,,,,,,,,,
CDS-C2PQds,,gs://ccle_bams/RRBS/G29750/HEC-59/v1/HEC-59.bam,gs://ccle_bams/RRBS/G29750/HEC-59/v1/HEC-59.bai,,HEC59,Female,Female,endometrium,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,CCLE line,ACH-000994,,1,,CCLE2,RRBS,,734908.3333333334,,uterus,,PT-hHlm2e7m,,,,P1o/ow==,,,,,,,,,,
CDS-wlVkbY,,gs://ccle_bams/RRBS/G29750/HEC-6/v4/HEC-6.bam,gs://ccle_bams/RRBS/G29750/HEC-6/v4/HEC-6.bai,,HEC6,Female,Female,endometrium,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,CCLE line,ACH-000984,,1,,CCLE2,RRBS,,734850.5,,uterus,,PT-yXE3gBfP,,,,B6IWLA==,,,,,,,,,,
CDS-zoJf5p,,gs://ccle_bams/RRBS/G29750/HEL_92.1.7/v2/HEL_92.1.7.bam,gs://ccle_bams/RRBS/G29750/HEL_92.1.7/v2/HEL_92.1.7.bai,,HEL9217,Male,Male,bone_marrow,Leukemia,AML,CCLE line; CAMK2G-KCNJ10; p53 mut; NRAS mut; From same patient as HEL (ATCC/DSMZ).,ACH-000005,,1,,CCLE2,RRBS,,734895.0,,blood,M6,PT-znKq9I8I,,,,Ht8AOA==,,,,,,,,,,
CDS-6XR8kI,,gs://ccle_bams/RRBS/G29750/HGC-27/v1/HGC-27.bam,gs://ccle_bams/RRBS/G29750/HGC-27/v1/HGC-27.bai,,HGC27,Unknown,Unknown,lymph_node,Gastric Cancer,gastric_adenocarcinoma,CCLE line,ACH-000847,,1,,CCLE2,RRBS,,734898.25,,gastric,,PT-NdIC8t96,,,,Hn10Eg==,,,,,,,,,,
CDS-n11zb2,,gs://ccle_bams/RRBS/G29750/HH/v2/HH.bam,gs://ccle_bams/RRBS/G29750/HH/v2/HH.bai,,HH,Male,Male,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,CCLE line,ACH-000061,,1,,CCLE2,RRBS,,734897.25,,lymphocyte,t_cell_cutaneous,PT-2Od3kAfh,,,,PN+vLw==,,,,,,,,,,
CDS-jF7Tmw,,gs://ccle_bams/RRBS/G29750/HL-60/v2/HL-60.bam,gs://ccle_bams/RRBS/G29750/HL-60/v2/HL-60.bai,,HL60,Female,Female,haematopoietic_and_lymphoid_tissue,Leukemia,AML,CCLE line; no known fusion; p53 mut; NRAS mut; Eos-HL-60 is a variant of the promyelocytic cell line HL60 (ECACC) established by sub-cloning in methylcellulose.,ACH-000002,,1,,CCLE2,RRBS,,734862.0,,blood,M3,PT-LVdu9YGg,,,,471f8Q==,,,,,,,,,,
CDS-rxCRZu,,gs://ccle_bams/RRBS/G29750/HLF-a/v3/HLF-a.bam,gs://ccle_bams/RRBS/G29750/HLF-a/v3/HLF-a.bai,,HLFA,Female,Female,fibroblast,Fibroblast,fibroblast_lung,CCLE line,ACH-000797,,1,,CCLE2,RRBS,,734842.0,,fibroblast,,PT-KwF8AFQa,,,,1xfgwA==,,,,,,,,,,
