,index,unknown,v1,v2,v3,v4,v5,v6,current
1330,G28895.Hs_870.T.3,,gs://ccle_bams/rna/G28895.Hs_870.T.3.bam,,,,,,
1331,G28896.HSC-2.3,,gs://ccle_bams/rna/G28896.HSC-2.3.bam,,,,,,
1332,G28897.Hs_742.T.3,,gs://ccle_bams/rna/G28897.Hs_742.T.3.bam,,,,,,
1333,G28898.HCC202.3,,gs://ccle_bams/rna/G28898.HCC202.3.bam,,,,,,
1334,G28899.Hs_739.T.3,,gs://ccle_bams/rna/G28899.Hs_739.T.3.bam,,,,,,
1335,G28900.IMR-32.3,,gs://ccle_bams/rna/G28900.IMR-32.3.bam,,,,,,
1336,G28901.Hs_606.T.3,,gs://ccle_bams/rna/G28901.Hs_606.T.3.bam,,,,,,
1337,G28902.Hs_172.T.3,,gs://ccle_bams/rna/G28902.Hs_172.T.3.bam,,,,,,
1338,G292CLONEA141B1_BONE,,gs://ccle_bams/rna/G292CLONEA141B1_BONE.bam,,,,,,
1339,G30554.KASUMI-1.1,,gs://ccle_bams/wes/G30554.KASUMI-1.1.bam,,,,,,
1340,G30555.Toledo.1,,gs://ccle_bams/rna/G30555.Toledo.1.bam,,,,,,
1341,G30556.SU-DHL-8.1,,gs://ccle_bams/rna/G30556.SU-DHL-8.1.bam,,,,,,
1342,G30557.YAPC.1,,gs://ccle_bams/rna/G30557.YAPC.1.bam,,,,,,
1343,G30558.TUHR14TKB.1,,gs://ccle_bams/rna/G30558.TUHR14TKB.1.bam,,,,,,
1344,G30559.COV644.1,,gs://ccle_bams/rna/G30559.COV644.1.bam,,,,,,
1345,G30560.TO_175.T.1,,gs://ccle_bams/rna/G30560.TO_175.T.1.bam,,,,,,
1346,G30561.SUP-T1.1,,gs://ccle_bams/rna/G30561.SUP-T1.1.bam,,,,,,
1347,G30562.SNU-C5.1,,gs://ccle_bams/rna/G30562.SNU-C5.1.bam,,,,,,
1348,G30563.TE-8.1,,gs://ccle_bams/rna/G30563.TE-8.1.bam,,,,,,
1349,G30564.SW_1088.1,,gs://ccle_bams/rna/G30564.SW_1088.1.bam,,,,,,
1350,G30565.SNU-869.1,,gs://ccle_bams/rna/G30565.SNU-869.1.bam,,,,,,
1351,G30566.TE_159.T.1,,gs://ccle_bams/rna/G30566.TE_159.T.1.bam,,,,,,
1352,G30567.KARPAS-620.1,,gs://ccle_bams/rna/G30567.KARPAS-620.1.bam,,,,,,
1353,G30568.WSU-DLCL2.1,,gs://ccle_bams/rna/G30568.WSU-DLCL2.1.bam,,,,,,
1354,G30569.SUP-B15.1,,gs://ccle_bams/rna/G30569.SUP-B15.1.bam,,,,,,
1355,G30570.TM-31.1,,gs://ccle_bams/rna/G30570.TM-31.1.bam,,,,,,
1356,G30571.TT.1,,gs://ccle_bams/rna/G30571.TT.1.bam,,,,,,
1357,G30572.T1-73.1,,gs://ccle_bams/rna/G30572.T1-73.1.bam,,,,,,
1358,G30573.SU-DHL-6.1,,gs://ccle_bams/rna/G30573.SU-DHL-6.1.bam,,,,,,
1359,G30574.SNU-899.1,,gs://ccle_bams/rna/G30574.SNU-899.1.bam,,,,,,
1360,G30575.TUHR10TKB.1,,gs://ccle_bams/rna/G30575.TUHR10TKB.1.bam,,,,,,
1361,G30576.VMRC-RCZ.1,,gs://ccle_bams/rna/G30576.VMRC-RCZ.1.bam,,,,,,
1362,G30577.U266B1.1,,gs://ccle_bams/rna/G30577.U266B1.1.bam,,,,,,
1363,G30578.EPLC-272H.1,,gs://ccle_bams/rna/G30578.EPLC-272H.1.bam,,,,,,
1364,G30579.JM1.1,,gs://ccle_bams/rna/G30579.JM1.1.bam,,,,,,
1365,G30580.T3M-10.1,,gs://ccle_bams/rna/G30580.T3M-10.1.bam,,,,,,
1366,G30581.SW1463.1,,gs://ccle_bams/rna/G30581.SW1463.1.bam,,,,,,
1367,G30582.YD-10B.1,,gs://ccle_bams/rna/G30582.YD-10B.1.bam,,,,,,
1368,G30583.TE_125.T.1,,gs://ccle_bams/rna/G30583.TE_125.T.1.bam,,,,,,
1369,G30584.UM-UC-3.1,,gs://ccle_bams/rna/G30584.UM-UC-3.1.bam,,,,,,
1370,G30585.WM-88.1,,gs://ccle_bams/rna/G30585.WM-88.1.bam,,,,,,
1371,G30586.SNU-C4.1,,gs://ccle_bams/rna/G30586.SNU-C4.1.bam,,,,,,
1372,G30587.TE-6.1,,gs://ccle_bams/rna/G30587.TE-6.1.bam,,,,,,
1373,G30588.SR-786.1,,gs://ccle_bams/rna/G30588.SR-786.1.bam,,,,,,
1374,G30589.DM-3.1,,gs://ccle_bams/rna/G30589.DM-3.1.bam,,,,,,
1375,G30590.BT-549.1,,gs://ccle_bams/rna/G30590.BT-549.1.bam,,,,,,
1376,G30591.COR-L47.1,,gs://ccle_bams/rna/G30591.COR-L47.1.bam,,,,,,
1377,G30592.TE_617.T.1,,gs://ccle_bams/rna/G30592.TE_617.T.1.bam,,,,,,
1378,G30593.TF-1.1,,gs://ccle_bams/rna/G30593.TF-1.1.bam,,,,,,
1379,G30594.UACC-893.1,,gs://ccle_bams/rna/G30594.UACC-893.1.bam,,,,,,
1380,G30595.DND-41.3,,gs://ccle_bams/rna/G30595.DND-41.3.bam,,,,,,
1381,G30596.SW837.1,,gs://ccle_bams/rna/G30596.SW837.1.bam,,,,,,
1382,G30597.ZR-75-1.1,,gs://ccle_bams/rna/G30597.ZR-75-1.1.bam,,,,,,
1383,G30598.TE-14.1,,gs://ccle_bams/rna/G30598.TE-14.1.bam,,,,,,
1384,G30599.WM-266-4.1,,gs://ccle_bams/rna/G30599.WM-266-4.1.bam,,,,,,
1385,G30600.U-BLC1.1,,gs://ccle_bams/rna/G30600.U-BLC1.1.bam,,,,,,
1386,G30601.NCI-H441.1,,gs://ccle_bams/rna/G30601.NCI-H441.1.bam,,,,,,
1387,G30602.TE-1.1,,gs://ccle_bams/rna/G30602.TE-1.1.bam,,,,,,
1388,G30603.TUHR4TKB.1,,gs://ccle_bams/rna/G30603.TUHR4TKB.1.bam,,,,,,
1389,G30604.TE_441.T.1,,gs://ccle_bams/rna/G30604.TE_441.T.1.bam,,,,,,
1390,G30605.YD-8.1,,gs://ccle_bams/rna/G30605.YD-8.1.bam,,,,,,
1391,G30606.SW-1710.1,,gs://ccle_bams/rna/G30606.SW-1710.1.bam,,,,,,
1392,G30607.VMRC-RCW.1,,gs://ccle_bams/rna/G30607.VMRC-RCW.1.bam,,,,,,
1393,G30608.SW_780.1,,gs://ccle_bams/rna/G30608.SW_780.1.bam,,,,,,
1394,G30609.SU-DHL-4.1,,gs://ccle_bams/rna/G30609.SU-DHL-4.1.bam,,,,,,
1395,G30610.TALL-1.1,,gs://ccle_bams/rna/G30610.TALL-1.1.bam,,,,,,
1396,G30611.UM-UC-1.1,,gs://ccle_bams/rna/G30611.UM-UC-1.1.bam,,,,,,
1397,G30612.TE-10.1,,gs://ccle_bams/rna/G30612.TE-10.1.bam,,,,,,
1398,G30613.EFO-21.1,,gs://ccle_bams/rna/G30613.EFO-21.1.bam,,,,,,
1399,G30614.T84.1,,gs://ccle_bams/rna/G30614.T84.1.bam,,,,,,
1400,G30615.CAL-78.1,,gs://ccle_bams/rna/G30615.CAL-78.1.bam,,,,,,
1401,G30616.UO-31.1,,gs://ccle_bams/rna/G30616.UO-31.1.bam,,,,,,
1402,G30617.YH-13.1,,gs://ccle_bams/rna/G30617.YH-13.1.bam,,,,,,
1403,G30618.SUP-T11.1,,gs://ccle_bams/rna/G30618.SUP-T11.1.bam,,,,,,
1404,G30619.UACC-62.1,,gs://ccle_bams/rna/G30619.UACC-62.1.bam,,,,,,
1405,G30620.SW_1573.1,,gs://ccle_bams/rna/G30620.SW_1573.1.bam,,,,,,
1406,G30621.TGBC11TKB.1,,gs://ccle_bams/rna/G30621.TGBC11TKB.1.bam,,,,,,
1407,G30622.TT2609-C02.1,,gs://ccle_bams/rna/G30622.TT2609-C02.1.bam,,,,,,
1408,G30623.SW403.1,,gs://ccle_bams/rna/G30623.SW403.1.bam,,,,,,
1409,G30624.UACC-812.1,,gs://ccle_bams/rna/G30624.UACC-812.1.bam,,,,,,
1410,G30625.SW1116.1,,gs://ccle_bams/rna/G30625.SW1116.1.bam,,,,,,
1411,G30626.WM-115.1,,gs://ccle_bams/rna/G30626.WM-115.1.bam,,,,,,
1412,G30627.SU-DHL-1.1,,gs://ccle_bams/rna/G30627.SU-DHL-1.1.bam,,,,,,
1413,G30628.ST486.1,,gs://ccle_bams/rna/G30628.ST486.1.bam,,,,,,
1414,G30630.VM-CUB1.3,,gs://ccle_bams/rna/G30630.VM-CUB1.3.bam,,,,,,
1415,G30631.SU-DHL-10.1,,gs://ccle_bams/rna/G30631.SU-DHL-10.1.bam,,,,,,
1416,G30632.WM-793.1,,gs://ccle_bams/rna/G30632.WM-793.1.bam,,,,,,
1417,G30633.SNU-81.1,,gs://ccle_bams/rna/G30633.SNU-81.1.bam,,,,,,
1418,G30634.SUIT-2.1,,gs://ccle_bams/rna/G30634.SUIT-2.1.bam,,,,,,
1419,G30635.WM983B.1,,gs://ccle_bams/rna/G30635.WM983B.1.bam,,,,,,
1420,G30636.U-118_MG.1,,gs://ccle_bams/rna/G30636.U-118_MG.1.bam,,,,,,
1421,G30637.SW_1353.1,,gs://ccle_bams/rna/G30637.SW_1353.1.bam,,,,,,
1422,G30638.TCC-PAN2.1,,gs://ccle_bams/rna/G30638.TCC-PAN2.1.bam,,,,,,
1423,G30639.YD-15.3,,gs://ccle_bams/rna/G30639.YD-15.3.bam,,,,,,
1424,G30640.KG-1-C.1,,gs://ccle_bams/rna/G30640.KG-1-C.1.bam,,,,,,
1425,G30641.SU-DHL-5.1,,gs://ccle_bams/rna/G30641.SU-DHL-5.1.bam,,,,,,
1426,G30642.WM1799.1,,gs://ccle_bams/rna/G30642.WM1799.1.bam,,,,,,
1427,G30643.YD-38.3,,gs://ccle_bams/rna/G30643.YD-38.3.bam,,,,,,
1428,G30644.TE-4.1,,gs://ccle_bams/rna/G30644.TE-4.1.bam,,,,,,
1429,G30645.SW48.3,,gs://ccle_bams/rna/G30645.SW48.3.bam,,,,,,
1430,G30646.SNU-878.1,,gs://ccle_bams/rna/G30646.SNU-878.1.bam,,,,,,
1431,G30647.Sq-1.1,,gs://ccle_bams/rna/G30647.Sq-1.1.bam,,,,,,
1432,G35069.SNU-46,,gs://ccle_bams/wes/G35069.SNU-46.bam,,,,,,
1433,G35078.HDLM-2,,gs://ccle_bams/wes/G35078.HDLM-2.bam,,,,,,
1434,G415,gs://ccle_bams/rna/G415.bam,gs://ccle_bams/rna/CCLE_DepMap_RNAseq_July_Dec_2018/RP-1561/RNA/G415/v1/G415.bam,,,,,,
1435,G415_1,,gs://ccle_bams/wes/G415_1/current/G415_1.bam,,,,,,
1436,G41657.SNU-175.5,,gs://ccle_bams/rna/G41657.SNU-175.5.bam,,,,,,
1437,G41658.SNU-407.5,,gs://ccle_bams/rna/G41658.SNU-407.5.bam,,,,,,
1438,G41659.Set-2.5,,gs://ccle_bams/rna/G41659.Set-2.5.bam,,,,,,
1439,G41660.GSU.5,,gs://ccle_bams/rna/G41660.GSU.5.bam,,,,,,
1440,G41661.GSS.5,,gs://ccle_bams/rna/G41661.GSS.5.bam,,,,,,
1441,G41662.OCI-LY3.5,,gs://ccle_bams/rna/G41662.OCI-LY3.5.bam,,,,,,
1442,G41663.OVISE.5,,gs://ccle_bams/rna/G41663.OVISE.5.bam,,,,,,
1443,G41665.Hep_G2.5,,gs://ccle_bams/rna/G41665.Hep_G2.5.bam,,,,,,
1444,G41666.VCaP.5,,gs://ccle_bams/rna/G41666.VCaP.5.bam,,,,,,
1445,G41667.IPC-298.5,,gs://ccle_bams/rna/G41667.IPC-298.5.bam,,,,,,
1446,G41668.A2780.5,,gs://ccle_bams/rna/G41668.A2780.5.bam,,,,,,
1447,G41669.A-375.5,,gs://ccle_bams/rna/G41669.A-375.5.bam,,,,,,
1448,G41670.HT-29.5,,gs://ccle_bams/rna/G41670.HT-29.5.bam,,,,,,
1449,G41672.SK-MEL-5.5,,gs://ccle_bams/rna/G41672.SK-MEL-5.5.bam,,,,,,
1450,G41673.NCI-H2122.5,,gs://ccle_bams/rna/G41673.NCI-H2122.5.bam,,,,,,
1451,G41674.SW620.5,,gs://ccle_bams/rna/G41674.SW620.5.bam,,,,,,
1452,G41675.RL.5,,gs://ccle_bams/rna/G41675.RL.5.bam,,,,,,
1453,G41676.MDA-MB-453.5,,gs://ccle_bams/rna/G41676.MDA-MB-453.5.bam,,,,,,
1454,G41677.MV-4-11.5,,gs://ccle_bams/rna/G41677.MV-4-11.5.bam,,,,,,
1455,G41678.SF-295.5,,gs://ccle_bams/rna/G41678.SF-295.5.bam,,,,,,
1456,G41679.CCK-81.5,,gs://ccle_bams/rna/G41679.CCK-81.5.bam,,,,,,
1457,G41680.IM95.5,,gs://ccle_bams/rna/G41680.IM95.5.bam,,,,,,
1458,G41681.LOX_IMVI.5,,gs://ccle_bams/rna/G41681.LOX_IMVI.5.bam,,,,,,
1459,G41682.KYSE-510.5,,gs://ccle_bams/rna/G41682.KYSE-510.5.bam,,,,,,
1460,G41683.HUP-T4.5,,gs://ccle_bams/rna/G41683.HUP-T4.5.bam,,,,,,
1461,G41684.PA-TU-8902.5,,gs://ccle_bams/rna/G41684.PA-TU-8902.5.bam,,,,,,
1462,G41685.KYSE-30.5,,gs://ccle_bams/rna/G41685.KYSE-30.5.bam,,,,,,
1463,G41686.KYSE-150.5,,gs://ccle_bams/wes/G41686.KYSE-150.5.bam,,,,,,
1464,G41687.PSN1.5,,gs://ccle_bams/rna/G41687.PSN1.5.bam,,,,,,
1465,G41688.SUP-M2.5,,gs://ccle_bams/rna/G41688.SUP-M2.5.bam,,,,,,
1466,G41689.DAN-G.5,,gs://ccle_bams/rna/G41689.DAN-G.5.bam,,,,,,
1467,G41690.NCI-H460.5,,gs://ccle_bams/rna/G41690.NCI-H460.5.bam,,,,,,
1468,G41691.PA-TU-8988T.5,,gs://ccle_bams/rna/G41691.PA-TU-8988T.5.bam,,,,,,
1469,G41692.MOLM-13.5,,gs://ccle_bams/rna/G41692.MOLM-13.5.bam,,,,,,
1470,G41693.COLO_741.5,,gs://ccle_bams/rna/G41693.COLO_741.5.bam,,,,,,
1471,G41694.HD-MY-Z.5,,gs://ccle_bams/rna/G41694.HD-MY-Z.5.bam,,,,,,
1472,G41695.YKG1.5,,gs://ccle_bams/rna/G41695.YKG1.5.bam,,,,,,
1473,G41696.U-251_MG.5,,gs://ccle_bams/rna/G41696.U-251_MG.5.bam,,,,,,
1474,G41698.MOR_CPR.5,,gs://ccle_bams/rna/G41698.MOR_CPR.5.bam,,,,,,
1475,G41699.TE-5.5,,gs://ccle_bams/rna/G41699.TE-5.5.bam,,,,,,
1476,G41700.ABC-1.5,,gs://ccle_bams/rna/G41700.ABC-1.5.bam,,,,,,
1477,G41701.8-MG-BA.5,,gs://ccle_bams/rna/G41701.8-MG-BA.5.bam,,,,,,
1478,G41702.QGP-1.5,,gs://ccle_bams/rna/G41702.QGP-1.5.bam,,,,,,
1479,G41703.NCI-H1568.5,,gs://ccle_bams/rna/G41703.NCI-H1568.5.bam,,,,,,
1480,G41704.NCI-H1581.5,,gs://ccle_bams/rna/G41704.NCI-H1581.5.bam,,,,,,
1481,G41705.LS_180.5,,gs://ccle_bams/rna/G41705.LS_180.5.bam,,,,,,
1482,G41706.RT4.5,,gs://ccle_bams/rna/G41706.RT4.5.bam,,,,,,
1483,G41707.BDCM.5,,gs://ccle_bams/rna/G41707.BDCM.5.bam,,,,,,
1484,G41708.SW948.5,,gs://ccle_bams/rna/G41708.SW948.5.bam,,,,,,
1485,G41709.FaDu.5,,gs://ccle_bams/rna/G41709.FaDu.5.bam,,,,,,
1486,G41710.SNU-16.5,,gs://ccle_bams/rna/G41710.SNU-16.5.bam,,,,,,
1487,G41711.DU4475.5,,gs://ccle_bams/rna/G41711.DU4475.5.bam,,,,,,
1488,G41712.NMC-G1.5,,gs://ccle_bams/rna/G41712.NMC-G1.5.bam,,,,,,
1489,G41713.TEN.5,,gs://ccle_bams/rna/G41713.TEN.5.bam,,,,,,
1490,G41714.T3M-4.5,,gs://ccle_bams/rna/G41714.T3M-4.5.bam,,,,,,
1491,G41715.JHUEM-1.5,,gs://ccle_bams/rna/G41715.JHUEM-1.5.bam,,,,,,
1492,G41716.IA-LM.5,,gs://ccle_bams/wes/G41716.IA-LM.5.bam,,,,,,
1493,G41717.EB1.5,,gs://ccle_bams/rna/G41717.EB1.5.bam,,,,,,
1494,G41718.GCIY.5,,gs://ccle_bams/rna/G41718.GCIY.5.bam,,,,,,
1495,G41719.SH-10-TC.5,,gs://ccle_bams/rna/G41719.SH-10-TC.5.bam,,,,,,
1496,G41720.HCC2218.5,,gs://ccle_bams/rna/G41720.HCC2218.5.bam,,,,,,
1497,G41721.NUGC-4.5,,gs://ccle_bams/rna/G41721.NUGC-4.5.bam,,,,,,
1498,G41722.KE-39.5,,gs://ccle_bams/rna/G41722.KE-39.5.bam,,,,,,
1499,G41723.KE-97.5,,gs://ccle_bams/rna/G41723.KE-97.5.bam,,,,,,
1500,G41724.HGC-27.5,,gs://ccle_bams/rna/G41724.HGC-27.5.bam,,,,,,
1501,G41725.PK-1.5,,gs://ccle_bams/rna/G41725.PK-1.5.bam,,,,,,
1502,G41726.MCF7.5,,gs://ccle_bams/wes/G41726.MCF7.5.bam,,,,,,
1503,G41727.U-937.5,,gs://ccle_bams/rna/G41727.U-937.5.bam,,,,,,
1504,G41728.MEG-01.5,,gs://ccle_bams/rna/G41728.MEG-01.5.bam,,,,,,
1505,G41729.SNU-1.5,,gs://ccle_bams/rna/G41729.SNU-1.5.bam,,,,,,
1506,G41730.NCI-H2342.5,,gs://ccle_bams/rna/G41730.NCI-H2342.5.bam,,,,,,
1507,G41731.Hs_936.T.5,,gs://ccle_bams/rna/G41731.Hs_936.T.5.bam,,,,,,
1508,G41732.RKO.5,,gs://ccle_bams/rna/G41732.RKO.5.bam,,,,,,
1509,G41733.IST-MES1.5,,gs://ccle_bams/rna/G41733.IST-MES1.5.bam,,,,,,
1510,G41734.NCI-H226.5,,gs://ccle_bams/rna/G41734.NCI-H226.5.bam,,,,,,
1511,G41735.SNU-C1.5,,gs://ccle_bams/rna/G41735.SNU-C1.5.bam,,,,,,
1512,G41736.T.T.5,,gs://ccle_bams/rna/G41736.T.T.5.bam,,,,,,
1513,G41737.OC_314.5,,gs://ccle_bams/rna/G41737.OC_314.5.bam,,,,,,
1514,G41738.T-47D.5,,gs://ccle_bams/rna/G41738.T-47D.5.bam,,,,,,
1515,G41739.Caki-1.5,,gs://ccle_bams/rna/G41739.Caki-1.5.bam,,,,,,
1516,G41740.NCI-H1435.5,,gs://ccle_bams/rna/G41740.NCI-H1435.5.bam,,,,,,
1517,G41741.NCI-H2009.5,,gs://ccle_bams/rna/G41741.NCI-H2009.5.bam,,,,,,
1518,G41742.Hs_888.T.5,,gs://ccle_bams/rna/G41742.Hs_888.T.5.bam,,,,,,
1519,G41743.HCC1419.5,,gs://ccle_bams/rna/G41743.HCC1419.5.bam,,,,,,
1520,G41744.NB-1.5,,gs://ccle_bams/rna/G41744.NB-1.5.bam,,,,,,
1521,G41745.NCI-H841.5,,gs://ccle_bams/rna/G41745.NCI-H841.5.bam,,,,,,
1522,G41746.CAL-62.5,,gs://ccle_bams/rna/G41746.CAL-62.5.bam,,,,,,
1523,G41747.OCI-M1.5,,gs://ccle_bams/rna/G41747.OCI-M1.5.bam,,,,,,
1524,G41748.MEC-1.5,,gs://ccle_bams/rna/G41748.MEC-1.5.bam,,,,,,
1525,G41749.LS513.5,,gs://ccle_bams/rna/G41749.LS513.5.bam,,,,,,
1526,G41751.JHH-6.5,,gs://ccle_bams/rna/G41751.JHH-6.5.bam,,,,,,
1527,G41752.HT115.1,,gs://ccle_bams/rna/G41752.HT115.1.bam,,,,,,
1528,G41753.HT55.1,,gs://ccle_bams/rna/G41753.HT55.1.bam,,,,,,
1529,G41754.LN-215,,gs://ccle_bams/rna/G41754.LN-215.bam,,,,,,
1530,G41756.LN-428,,gs://ccle_bams/rna/G41756.LN-428.bam,,,,,,
1531,G41770.SLR25,,gs://ccle_bams/wes/G41770.SLR25.bam,,,,,,
1532,G41771.LN-319,,gs://ccle_bams/wes/G41771.LN-319.bam,,,,,,
1533,G41774.HCC827_GR5,,gs://ccle_bams/rna/G41774.HCC827_GR5.bam,,,,,,
1534,G41778.SLR20,,gs://ccle_bams/wes/G41778.SLR20.bam,,,,,,
1535,G41787.HEK_TE,,gs://ccle_bams/wes/G41787.HEK_TE.bam,,,,,,
1536,G41791.SiHa,,gs://ccle_bams/rna/G41791.SiHa.bam,,,,,,
1537,G41793.KMS-18-2,,gs://ccle_bams/rna/G41793.KMS-18-2.bam,,,,,,
1538,G41794.OPM-1-2,,gs://ccle_bams/rna/G41794.OPM-1-2.bam,,,,,,
1539,G41795.INA-6-2,,gs://ccle_bams/rna/G41795.INA-6-2.bam,,,,,,
1540,G41796.HNT-34-2,,gs://ccle_bams/wes/G41796.HNT-34-2.bam,,,,,,
1541,G41797.PLB-985-2,,gs://ccle_bams/rna/G41797.PLB-985-2.bam,,,,,,
1542,G41798.OCI-MY5-2,,gs://ccle_bams/rna/G41798.OCI-MY5-2.bam,,,,,,
1543,G41800.OCI-MY7-2,,gs://ccle_bams/rna/G41800.OCI-MY7-2.bam,,,,,,
1544,G41801.Caco-2,,gs://ccle_bams/wes/G41801.Caco-2.bam,,,,,,
1545,G41804.NCI-H2004_RT_2,,gs://ccle_bams/wes/G41804.NCI-H2004_RT_2.bam,,,,,,
1546,G41807.HOP-62.1,,gs://ccle_bams/rna/G41807.HOP-62.1.bam,,,,,,
1547,G41811.EKVX.1,,gs://ccle_bams/rna/G41811.EKVX.1.bam,,,,,,
1548,G41816.NCI-H2882,,gs://ccle_bams/rna/G41816.NCI-H2882.bam,,,,,,
1549,G41818.TTC-709,,gs://ccle_bams/rna/G41818.TTC-709.bam,,,,,,
1550,G41819.HCC2450,,gs://ccle_bams/rna/G41819.HCC2450.bam,,,,,,
1551,G41821.COLO-680N.1,,gs://ccle_bams/rna/G41821.COLO-680N.1.bam,,,,,,
1552,G77548.C8166,,gs://ccle_bams/rna/G77548.C8166.bam,,,,,,
1553,G77555.SK-NEP-1_01,,gs://ccle_bams/rna/G77555.SK-NEP-1_01.bam,,,,,,
1554,G77557.KD_01,,gs://ccle_bams/wes/G77557.KD_01.bam,,,,,,
1555,GA-10,,gs://ccle_bams/rna/G16640/GA-10/current/GA-10.bam,gs://ccle_bams/rna/G29750/GA-10/v2/GA-10.bam,,,,,
1556,GAMG,,gs://ccle_bams/wes/G32831/GAMG/v1/GAMG.bam,,,,,,gs://ccle_bams/rna/G16640/GAMG/current/GAMG.bam
1557,GB-1,,gs://ccle_bams/wes/G16640/GB-1/current/GB-1.bam,gs://ccle_bams/wes/G29750/GB-1/v2/GB-1.bam,,,,,
1558,GB2,,gs://ccle_bams/rna/GB2.bam,gs://ccle_bams/wes/DepMap_CellLine_WES_July2019/RP-1561/Exome/GB2/v2/GB2.bam,,,,,
1559,GBM001_1,,gs://ccle_bams/wes/RP-893/Exome/GBM001_1/current/GBM001_1.bam,,,,,,
1560,GCIY,gs://ccle_bams/wes/GCIY.bam,gs://ccle_bams/wes/G29750/GCIY/v1/GCIY.bam,,,,,,gs://ccle_bams/wes/G16640/GCIY/current/GCIY.bam
1561,GCT,,gs://ccle_bams/rna/G29750/GCT/v1/GCT.bam,,,,,,gs://ccle_bams/rna/G16640/GCT/current/GCT.bam
1562,GDM-1,,gs://ccle_bams/rna/G16640/GDM-1/current/GDM-1.bam,,,gs://ccle_bams/wes/G29750/GDM-1/v4/GDM-1.bam,,,
1563,GI-1,,gs://ccle_bams/wes/G29750/GI-1/v1/GI-1.bam,,,,,,gs://ccle_bams/wes/G16640/GI-1/current/GI-1.bam
1564,GI-ME-N_1,,gs://ccle_bams/wes/RP-1561/Exome/GI-ME-N_1/current/GI-ME-N_1.bam,,,,,,
1565,GIMEN,,gs://ccle_bams/wes/G141708/GIMEN/current/GIMEN.bam,,,,,,
1566,GMS-10,,gs://ccle_bams/rna/G16640/GMS-10/current/GMS-10.bam,,gs://ccle_bams/wes/G29750/GMS-10/v3/GMS-10.bam,,,,
1567,GOS-3,,gs://ccle_bams/wes/G16640/GOS-3/current/GOS-3.bam,,gs://ccle_bams/wes/G29750/GOS-3/v3/GOS-3.bam,,,,
1568,GP2d,,gs://ccle_bams/rna/G32831/GP2d/v1/GP2d.bam,,,,,,gs://ccle_bams/wes/G16640/GP2d/current/GP2d.bam
1569,GP5D_1,,gs://ccle_bams/wes/Getz_IBM_CellLines_Exomes_39samples_09262017/RP-1500/Exome/GP5D_1/v1/GP5D_1.bam,,,gs://ccle_bams/rna/G134624/GP5D_1/v4/GP5D_1.bam,,,
1570,GRANTA-519,,gs://ccle_bams/wes/G16640/GRANTA-519/current/GRANTA-519.bam,gs://ccle_bams/wes/G29750/GRANTA-519/v2/GRANTA-519.bam,,,,,
1571,GSS,,gs://ccle_bams/rna/G29750/GSS/v1/GSS.bam,,,,,,gs://ccle_bams/wes/C1926/GSS/current/GSS.bam
1572,GSU,,gs://ccle_bams/wes/G29750/GSU/v1/GSU.bam,,,,,,gs://ccle_bams/rna/C1926/GSU/current/GSU.bam
1573,H103,,,gs://ccle_bams/wes/G141708/H103/v2/H103.bam,,gs://ccle_bams/wes/RP-1561/Exome/H103/v4/H103.bam,,,
1574,H1395,,gs://ccle_bams/wes/C1926/H1395/current/H1395.bam,,,,,,
1575,H157,,gs://ccle_bams/wes/Getz_IBM_CellLines_5samples_Feb2019/RP-1561/Exome/H157/v1/H157.bam,gs://ccle_bams/rna/Getz_IBM_CellLine_RNASeq_March2019/RP-1561/RNA/H157/v2/H157.bam,,,,,
1576,H357,gs://ccle_bams/wes/H357.bam,gs://ccle_bams/rna/CCLE_DepMap_RNAseq_July_Dec_2018/RP-1561/RNA/H357/v1/H357.bam,,,,,,
1577,H376,,gs://ccle_bams/rna/H376.bam,gs://ccle_bams/wes/CCLE_DepMap_WES_July_Dec_2018/RP-1561/Exome/H376/v2/H376.bam,,,,,gs://ccle_bams/rna/H376/current/H376.bam
1578,H4,,,gs://ccle_bams/wes/G29750/H4/v2/H4.bam,,,,,
1579,H413,gs://ccle_bams/rna/H413.bam,gs://ccle_bams/wes/CCLE_DepMap_WES_July_Dec_2018/RP-1561/Exome/H413/v1/H413.bam,,,,,,
1580,HA1E,,gs://ccle_bams/wes/RP-1561/Exome/HA1E/v1/HA1E.bam,,,,,,
1581,HAP1MLH1KO,,gs://ccle_bams/rna/HAP1MLH1KO.bam,gs://ccle_bams/rna/DepMap_CellLine_RNAseq_July2019/RP-1561/RNA/HAP1MLH1KO/v2/HAP1MLH1KO.bam,,,,,
1582,HAP1MLH1KO_1,,,gs://ccle_bams/wes/DepMap_CellLine_WES_July2019/RP-1561/Exome/HAP1MLH1KO_1/v2/HAP1MLH1KO_1.bam,,,,,
1583,HAP1_1,,,gs://ccle_bams/wes/DepMap_CellLine_WES_July2019/RP-1561/Exome/HAP1_1/v2/HAP1_1.bam,,,,,
1584,HARA,,gs://ccle_bams/wes/G16361/HARA/v1/HARA.bam,gs://ccle_bams/wes/G29750/HARA/v2/HARA.bam,,,,,gs://ccle_bams/rna/G16640/HARA/current/HARA.bam
1585,HB1119_1,,gs://ccle_bams/wes/RP-1561/Exome/HB1119_1/v1/HB1119_1.bam,,,,,,gs://ccle_bams/rna/G146344/HB1119_1/current/HB1119_1.bam
