index,unknown,v1,v2,v3,v4,v5,v6,current
G27525.SNU-1272.2,gs://ccle_bams/rna/G27525.SNU-1272.2.bam,,,,,,,
G27526.SNU-182.2,gs://ccle_bams/rna/G27526.SNU-182.2.bam,,,,,,,
G27527.RERF-LC-AI.2,gs://ccle_bams/rna/G27527.RERF-LC-AI.2.bam,,,,,,,
G27528.RPMI-7951.2,gs://ccle_bams/rna/G27528.RPMI-7951.2.bam,,,,,,,
G27529.SNU-1197.2,gs://ccle_bams/rna/G27529.SNU-1197.2.bam,,,,,,,
G27530.PL-21.2,gs://ccle_bams/rna/G27530.PL-21.2.bam,,,,,,,
G27531.SNU-1033.2,gs://ccle_bams/rna/G27531.SNU-1033.2.bam,,,,,,,
G27532.SNU-1041.2,gs://ccle_bams/rna/G27532.SNU-1041.2.bam,,,,,,,
G27533.SNU-1066.2,gs://ccle_bams/rna/G27533.SNU-1066.2.bam,,,,,,,
G27534.SNU-8.2,gs://ccle_bams/rna/G27534.SNU-8.2.bam,,,,,,,
G27535.RD.2,gs://ccle_bams/rna/G27535.RD.2.bam,,,,,,,
G27536.RS-5.2,gs://ccle_bams/rna/G27536.RS-5.2.bam,,,,,,,
G27537.SCaBER.2,gs://ccle_bams/rna/G27537.SCaBER.2.bam,,,,,,,
G27538.RH-18.2,gs://ccle_bams/rna/G27538.RH-18.2.bam,,,,,,,
G27539.SNU-349.2,gs://ccle_bams/rna/G27539.SNU-349.2.bam,,,,,,,
G27540.SNU-626.2,gs://ccle_bams/rna/G27540.SNU-626.2.bam,,,,,,,
G27541.RERF-LC-Ad2.2,gs://ccle_bams/rna/G27541.RERF-LC-Ad2.2.bam,,,,,,,
G27542.SF539.2,gs://ccle_bams/rna/G27542.SF539.2.bam,,,,,,,
G27543.SNB75.2,gs://ccle_bams/rna/G27543.SNB75.2.bam,,,,,,,
G27544.SF268.2,gs://ccle_bams/rna/G27544.SF268.2.bam,,,,,,,
G27545.SNU-119.2,gs://ccle_bams/rna/G27545.SNU-119.2.bam,,,,,,,
G28000.JK-1.1,gs://ccle_bams/rna/G28000.JK-1.1.bam,,,,,,,
G28001.M059K.1,gs://ccle_bams/rna/G28001.M059K.1.bam,,,,,,,
G28002.KASUMI-2.1,gs://ccle_bams/rna/G28002.KASUMI-2.1.bam,,,,,,,
G28003.MFE-319.1,gs://ccle_bams/rna/G28003.MFE-319.1.bam,,,,,,,
G28004.KP-N-RT-BM-1.1,gs://ccle_bams/rna/G28004.KP-N-RT-BM-1.1.bam,,,,,,,
G28005.KP-N-YN.1,gs://ccle_bams/rna/G28005.KP-N-YN.1.bam,,,,,,,
G28006.Loucy.1,gs://ccle_bams/rna/G28006.Loucy.1.bam,,,,,,,
G28007.M-07e.1,gs://ccle_bams/rna/G28007.M-07e.1.bam,,,,,,,
G28008.JVM-2.1,gs://ccle_bams/rna/G28008.JVM-2.1.bam,,,,,,,
G28009.KE-37.1,gs://ccle_bams/rna/G28009.KE-37.1.bam,,,,,,,
G28010.JURL-MK1.1,gs://ccle_bams/rna/G28010.JURL-MK1.1.bam,,,,,,,
G28011.KLE.1,gs://ccle_bams/rna/G28011.KLE.1.bam,,,,,,,
G28012.KMRC-2.1,gs://ccle_bams/rna/G28012.KMRC-2.1.bam,,,,,,,
G28013.KARPAS-422.1,gs://ccle_bams/rna/G28013.KARPAS-422.1.bam,,,,,,,
G28014.MDST8.1,gs://ccle_bams/rna/G28014.MDST8.1.bam,,,,,,,
G28015.LC-1F.1,gs://ccle_bams/rna/G28015.LC-1F.1.bam,,,,,,,
G28016.MES-SA.1,gs://ccle_bams/rna/G28016.MES-SA.1.bam,,,,,,,
G28017.KMRC-20.1,gs://ccle_bams/rna/G28017.KMRC-20.1.bam,,,,,,,
G28018.MDA-MB-157.1,gs://ccle_bams/rna/G28018.MDA-MB-157.1.bam,,,,,,,
G28019.KYM-1.1,gs://ccle_bams/rna/G28019.KYM-1.1.bam,,,,,,,
G28020.KPL-1.1,gs://ccle_bams/rna/G28020.KPL-1.1.bam,,,,,,,
G28021.LU99.1,gs://ccle_bams/rna/G28021.LU99.1.bam,,,,,,,
G28022.L-428.1,gs://ccle_bams/rna/G28022.L-428.1.bam,,,,,,,
G28023.KMRC-1.1,gs://ccle_bams/rna/G28023.KMRC-1.1.bam,,,,,,,
G28024.KMS-28BM.1,gs://ccle_bams/rna/G28024.KMS-28BM.1.bam,,,,,,,
G28025.K029AX.1,gs://ccle_bams/rna/G28025.K029AX.1.bam,,,,,,,
G28026.KP-N-SI9s.1,gs://ccle_bams/rna/G28026.KP-N-SI9s.1.bam,,,,,,,
G28027.KU-19-19.1,gs://ccle_bams/rna/G28027.KU-19-19.1.bam,,,,,,,
G28028.KG-1.1,gs://ccle_bams/rna/G28028.KG-1.1.bam,,,,,,,
G28029.MDA-MB-231.1,gs://ccle_bams/rna/G28029.MDA-MB-231.1.bam,,,,,,,
G28030.MDA_PCa_2b.1,gs://ccle_bams/rna/G28030.MDA_PCa_2b.1.bam,,,,,,,
G28031.MEL-JUSO.1,gs://ccle_bams/rna/G28031.MEL-JUSO.1.bam,,,,,,,
G28032.L-1236.1,gs://ccle_bams/rna/G28032.L-1236.1.bam,,,,,,,
G28033.LNCaP_clone_FGC.1,gs://ccle_bams/rna/G28033.LNCaP_clone_FGC.1.bam,,,,,,,
G28034.MDA-MB-361.1,gs://ccle_bams/rna/G28034.MDA-MB-361.1.bam,,,,,,,
G28035.MDA-MB-134-VI.1,gs://ccle_bams/rna/G28035.MDA-MB-134-VI.1.bam,,,,,,,
G28036.JIMT-1.1,gs://ccle_bams/rna/G28036.JIMT-1.1.bam,,,,,,,
G28038.JL-1.1,gs://ccle_bams/rna/G28038.JL-1.1.bam,,,,,,,
G28039.KM-H2.1,gs://ccle_bams/rna/G28039.KM-H2.1.bam,,,,,,,
G28040.L-540.1,gs://ccle_bams/rna/G28040.L-540.1.bam,,,,,,,
G28041.LCLC-97TM1.1,gs://ccle_bams/rna/G28041.LCLC-97TM1.1.bam,,,,,,,
G28042.KMRC-3.1,gs://ccle_bams/rna/G28042.KMRC-3.1.bam,,,,,,,
G28043.Kasumi-6.1,gs://ccle_bams/rna/G28043.Kasumi-6.1.bam,,,,,,,
G28044.LMSU.1,gs://ccle_bams/rna/G28044.LMSU.1.bam,,,,,,,
G28045.KYSE-270.1,gs://ccle_bams/rna/G28045.KYSE-270.1.bam,,,,,,,
G28046.Ki-JK.1,gs://ccle_bams/rna/G28046.Ki-JK.1.bam,,,,,,,
G28047.LXF-289.1,gs://ccle_bams/rna/G28047.LXF-289.1.bam,,,,,,,
G28048.ME-1.1,gs://ccle_bams/rna/G28048.ME-1.1.bam,,,,,,,
G28049.KCL-22.1,gs://ccle_bams/rna/G28049.KCL-22.1.bam,,,,,,,
G28050.KMM-1.1,gs://ccle_bams/rna/G28050.KMM-1.1.bam,,,,,,,
G28052.KMS-27.1,gs://ccle_bams/rna/G28052.KMS-27.1.bam,,,,,,,
G28053.Li-7.1,gs://ccle_bams/rna/G28053.Li-7.1.bam,,,,,,,
G28054.KYSE-520.1,gs://ccle_bams/wes/G28054.KYSE-520.1.bam,,,,,,,
G28055.KU812.1,gs://ccle_bams/rna/G28055.KU812.1.bam,,,,,,,
G28056.JHOM-2B.1,gs://ccle_bams/rna/G28056.JHOM-2B.1.bam,,,,,,,
G28057.JHUEM-3.1,gs://ccle_bams/rna/G28057.JHUEM-3.1.bam,,,,,,,
G28058.MC116.1,gs://ccle_bams/rna/G28058.MC116.1.bam,,,,,,,
G28059.KMBC-2.1,gs://ccle_bams/rna/G28059.KMBC-2.1.bam,,,,,,,
G28060.Malme-3M.1,gs://ccle_bams/rna/G28060.Malme-3M.1.bam,,,,,,,
G28061.LCLC-103H.1,gs://ccle_bams/rna/G28061.LCLC-103H.1.bam,,,,,,,
G28062.MEL-HO.1,gs://ccle_bams/rna/G28062.MEL-HO.1.bam,,,,,,,
G28063.KARPAS-299.1,gs://ccle_bams/rna/G28063.KARPAS-299.1.bam,,,,,,,
G28064.MDA-MB-468.1,gs://ccle_bams/rna/G28064.MDA-MB-468.1.bam,,,,,,,
G28065.KS-1.1,gs://ccle_bams/rna/G28065.KS-1.1.bam,,,,,,,
G28066.LS1034.1,gs://ccle_bams/rna/G28066.LS1034.1.bam,,,,,,,
G28067.KYSE-70.1,gs://ccle_bams/rna/G28067.KYSE-70.1.bam,,,,,,,
G28068.JVM-3.1,gs://ccle_bams/rna/G28068.JVM-3.1.bam,,,,,,,
G28069.MDA-MB-415.1,gs://ccle_bams/rna/G28069.MDA-MB-415.1.bam,,,,,,,
G28070.LN-18.1,gs://ccle_bams/rna/G28070.LN-18.1.bam,,,,,,,
G28071.MeWo.1,gs://ccle_bams/rna/G28071.MeWo.1.bam,,,,,,,
G28072.MDA-MB-175-VII.1,gs://ccle_bams/rna/G28072.MDA-MB-175-VII.1.bam,,,,,,,
G28073.JMSU-1.1,gs://ccle_bams/rna/G28073.JMSU-1.1.bam,,,,,,,
G28074.KNS-42.1,gs://ccle_bams/rna/G28074.KNS-42.1.bam,,,,,,,
G28075.LU65.1,gs://ccle_bams/rna/G28075.LU65.1.bam,,,,,,,
G28076.MCAS.1,gs://ccle_bams/rna/G28076.MCAS.1.bam,,,,,,,
G28077.MG-63.1,gs://ccle_bams/rna/G28077.MG-63.1.bam,,,,,,,
G28078.JHUEM-2.1,gs://ccle_bams/rna/G28078.JHUEM-2.1.bam,,,,,,,
G28079.LUDLU-1.1,gs://ccle_bams/rna/G28079.LUDLU-1.1.bam,,,,,,,
G28080.JURKAT.1,gs://ccle_bams/rna/G28080.JURKAT.1.bam,,,,,,,
G28081.JHH-7.1,gs://ccle_bams/rna/G28081.JHH-7.1.bam,,,,,,,
G28082.KELLY.1,gs://ccle_bams/rna/G28082.KELLY.1.bam,,,,,,,
G28083.MFE-280.1,gs://ccle_bams/rna/G28083.MFE-280.1.bam,,,,,,,
G28084.MDA-MB-435S.1,gs://ccle_bams/rna/G28084.MDA-MB-435S.1.bam,,,,,,,
G28085.JHH-5.1,gs://ccle_bams/rna/G28085.JHH-5.1.bam,,,,,,,
G28086.KOPN-8.1,gs://ccle_bams/rna/G28086.KOPN-8.1.bam,,,,,,,
G28087.MDA-MB-436.1,gs://ccle_bams/rna/G28087.MDA-MB-436.1.bam,,,,,,,
G28088.LOU-NH91.1,gs://ccle_bams/rna/G28088.LOU-NH91.1.bam,,,,,,,
G28089.LS123.1,gs://ccle_bams/rna/G28089.LS123.1.bam,,,,,,,
G28090.KHM-1B.1,gs://ccle_bams/rna/G28090.KHM-1B.1.bam,,,,,,,
G28092.KP-3.1,gs://ccle_bams/rna/G28092.KP-3.1.bam,,,,,,,
G28093.KMS-21BM.1,gs://ccle_bams/rna/G28093.KMS-21BM.1.bam,,,,,,,
G28530.MUTZ-5.1,gs://ccle_bams/rna/G28530.MUTZ-5.1.bam,,,,,,,
G28531.NALM-19.1,gs://ccle_bams/rna/G28531.NALM-19.1.bam,,,,,,,
G28532.MHH-CALL-4.1,gs://ccle_bams/rna/G28532.MHH-CALL-4.1.bam,,,,,,,
G28533.NCI-H2106.1,gs://ccle_bams/rna/G28533.NCI-H2106.1.bam,,,,,,,
G28534.NCI-H810.1,gs://ccle_bams/rna/G28534.NCI-H810.1.bam,,,,,,,
G28535.OVTOKO.1,gs://ccle_bams/rna/G28535.OVTOKO.1.bam,,,,,,,
G28536.NH-6.1,gs://ccle_bams/rna/G28536.NH-6.1.bam,,,,,,,
G28537.NCI-H1395.1,gs://ccle_bams/rna/G28537.NCI-H1395.1.bam,,,,,,,
G28538.NCI-H1781.1,gs://ccle_bams/rna/G28538.NCI-H1781.1.bam,,,,,,,
G28539.NCI-H1755.1,gs://ccle_bams/rna/G28539.NCI-H1755.1.bam,,,,,,,
G28540.NU-DUL-1.1,gs://ccle_bams/rna/G28540.NU-DUL-1.1.bam,,,,,,,
G28541.ML-1.1,gs://ccle_bams/rna/G28541.ML-1.1.bam,,,,,,,
G28542.NU-DHL-1.1,gs://ccle_bams/rna/G28542.NU-DHL-1.1.bam,,,,,,,
G28543.OCI-LY-19.1,gs://ccle_bams/wes/G28543.OCI-LY-19.1.bam,,,,,,,
G28544.MOLM-6.1,gs://ccle_bams/rna/G28544.MOLM-6.1.bam,,,,,,,
G28545.NUGC-2.1,gs://ccle_bams/rna/G28545.NUGC-2.1.bam,,,,,,,
G28546.NCI-H854.1,gs://ccle_bams/rna/G28546.NCI-H854.1.bam,,,,,,,
G28548.NCI-H2085.1,gs://ccle_bams/rna/G28548.NCI-H2085.1.bam,,,,,,,
G28549.NCI-H1623.1,gs://ccle_bams/rna/G28549.NCI-H1623.1.bam,,,,,,,
G28550.MOLP-2.1,gs://ccle_bams/rna/G28550.MOLP-2.1.bam,,,,,,,
G28551.MHH-CALL-2.1,gs://ccle_bams/rna/G28551.MHH-CALL-2.1.bam,,,,,,,
G28552.MHH-NB-11.1,gs://ccle_bams/rna/G28552.MHH-NB-11.1.bam,,,,,,,
G28553.NCI-H1838.1,gs://ccle_bams/rna/G28553.NCI-H1838.1.bam,,,,,,,
G28554.NCI-H3255.1,gs://ccle_bams/rna/G28554.NCI-H3255.1.bam,,,,,,,
G28555.MOLM-16.1,gs://ccle_bams/rna/G28555.MOLM-16.1.bam,,,,,,,
G28556.Panc_02.03.1,gs://ccle_bams/rna/G28556.Panc_02.03.1.bam,,,,,,,
G28557.NCI-H2023.1,gs://ccle_bams/rna/G28557.NCI-H2023.1.bam,,,,,,,
G28558.NCI-H2087.1,gs://ccle_bams/rna/G28558.NCI-H2087.1.bam,,,,,,,
G28559.NCI-H2172.1,gs://ccle_bams/rna/G28559.NCI-H2172.1.bam,,,,,,,
G28560.MOLP-8.1,gs://ccle_bams/rna/G28560.MOLP-8.1.bam,,,,,,,
G28561.NCI-H1693.1,gs://ccle_bams/rna/G28561.NCI-H1693.1.bam,,,,,,,
G28562.NCI-H727.1,gs://ccle_bams/rna/G28562.NCI-H727.1.bam,,,,,,,
G28563.Panc_05.04.1,gs://ccle_bams/rna/G28563.Panc_05.04.1.bam,,,,,,,
G28564.NCI-H1648.1,gs://ccle_bams/rna/G28564.NCI-H1648.1.bam,,,,,,,
G28565.MOLT-16.1,gs://ccle_bams/rna/G28565.MOLT-16.1.bam,,,,,,,
G28566.NCI-H2126.1,gs://ccle_bams/rna/G28566.NCI-H2126.1.bam,,,,,,,
G28567.NALM-1.1,gs://ccle_bams/rna/G28567.NALM-1.1.bam,,,,,,,
G28568.Panc_02.13.1,gs://ccle_bams/rna/G28568.Panc_02.13.1.bam,,,,,,,
G28569.NCI-H596.1,gs://ccle_bams/rna/G28569.NCI-H596.1.bam,,,,,,,
G28570.NCI-H1385.1,gs://ccle_bams/rna/G28570.NCI-H1385.1.bam,,,,,,,
G28571.NCI-H929.1,gs://ccle_bams/rna/G28571.NCI-H929.1.bam,,,,,,,
G28573.OV56.1,gs://ccle_bams/rna/G28573.OV56.1.bam,,,,,,,
G28574.MKN1.1,gs://ccle_bams/rna/G28574.MKN1.1.bam,,,,,,,
G28575.OUMS-23.1,gs://ccle_bams/rna/G28575.OUMS-23.1.bam,,,,,,,
G28576.MOLT-13.1,gs://ccle_bams/rna/G28576.MOLT-13.1.bam,,,,,,,
G28577.NCO2.1,gs://ccle_bams/rna/G28577.NCO2.1.bam,,,,,,,
G28578.NAMALWA.1,gs://ccle_bams/rna/G28578.NAMALWA.1.bam,,,,,,,
G28579.NCI-H2347.1,gs://ccle_bams/rna/G28579.NCI-H2347.1.bam,,,,,,,
G28580.P31_FUJ.1,gs://ccle_bams/rna/G28580.P31_FUJ.1.bam,,,,,,,
G28581.Mino.1,gs://ccle_bams/rna/G28581.Mino.1.bam,,,,,,,
G28582.NCI-H1573.1,gs://ccle_bams/rna/G28582.NCI-H1573.1.bam,,,,,,,
G28583.NCI-H358.1,gs://ccle_bams/rna/G28583.NCI-H358.1.bam,,,,,,,
G28584.NCI-H1793.1,gs://ccle_bams/rna/G28584.NCI-H1793.1.bam,,,,,,,
G28585.NCI-H1734.1,gs://ccle_bams/rna/G28585.NCI-H1734.1.bam,,,,,,,
G28586.MPP_89.1,gs://ccle_bams/rna/G28586.MPP_89.1.bam,,,,,,,
G28587.OVK18.1,gs://ccle_bams/rna/G28587.OVK18.1.bam,,,,,,,
G28588.NCI-H1915.1,gs://ccle_bams/rna/G28588.NCI-H1915.1.bam,,,,,,,
G28589.Panc_04.03.1,gs://ccle_bams/rna/G28589.Panc_04.03.1.bam,,,,,,,
G28590.NCI-H1563.1,gs://ccle_bams/rna/G28590.NCI-H1563.1.bam,,,,,,,
G28591.NCI-H1703.1,gs://ccle_bams/rna/G28591.NCI-H1703.1.bam,,,,,,,
G28592.NCI-H1155.1,gs://ccle_bams/rna/G28592.NCI-H1155.1.bam,,,,,,,
G28593.NCI-H322.1,gs://ccle_bams/rna/G28593.NCI-H322.1.bam,,,,,,,
G28594.NCI-H2291.1,gs://ccle_bams/rna/G28594.NCI-H2291.1.bam,,,,,,,
G28595.P3HR-1.1,gs://ccle_bams/rna/G28595.P3HR-1.1.bam,,,,,,,
G28596.PANC-1.1,gs://ccle_bams/rna/G28596.PANC-1.1.bam,,,,,,,
G28597.NCI-H1869.1,gs://ccle_bams/rna/G28597.NCI-H1869.1.bam,,,,,,,
G28598.NCI-H1944.1,gs://ccle_bams/rna/G28598.NCI-H1944.1.bam,,,,,,,
G28599.MJ.1,gs://ccle_bams/rna/G28599.MJ.1.bam,,,,,,,
G28600.P12-ICHIKAWA.1,gs://ccle_bams/rna/G28600.P12-ICHIKAWA.1.bam,,,,,,,
G28601.OAW28.1,gs://ccle_bams/rna/G28601.OAW28.1.bam,,,,,,,
G28602.NCI-H2444.1,gs://ccle_bams/rna/G28602.NCI-H2444.1.bam,,,,,,,
G28603.NCC-StC-K140.1,gs://ccle_bams/rna/G28603.NCC-StC-K140.1.bam,,,,,,,
G28604.NCI-H647.1,gs://ccle_bams/rna/G28604.NCI-H647.1.bam,,,,,,,
G28605.NCI-H1355.1,gs://ccle_bams/rna/G28605.NCI-H1355.1.bam,,,,,,,
G28606.NCI-H28.1,gs://ccle_bams/rna/G28606.NCI-H28.1.bam,,,,,,,
G28607.PA-TU-8988S.1,gs://ccle_bams/rna/G28607.PA-TU-8988S.1.bam,,,,,,,
G28608.NCI-H2110.1,gs://ccle_bams/rna/G28608.NCI-H2110.1.bam,,,,,,,
G28609.MHH-CALL-3.1,gs://ccle_bams/rna/G28609.MHH-CALL-3.1.bam,,,,,,,
G28610.MHH-ES-1.1,gs://ccle_bams/rna/G28610.MHH-ES-1.1.bam,,,,,,,
G28611.NCI-H2030.1,gs://ccle_bams/rna/G28611.NCI-H2030.1.bam,,,,,,,
G28612.NCI-H2405.1,gs://ccle_bams/rna/G28612.NCI-H2405.1.bam,,,,,,,
G28613.NCI-H684.1,gs://ccle_bams/rna/G28613.NCI-H684.1.bam,,,,,,,
G28614.ONCO-DG-1.1,gs://ccle_bams/rna/G28614.ONCO-DG-1.1.bam,,,,,,,
G28615.OS-RC-2.1,gs://ccle_bams/rna/G28615.OS-RC-2.1.bam,,,,,,,
G28616.NCI-H2228.1,gs://ccle_bams/rna/G28616.NCI-H2228.1.bam,,,,,,,
G28617.NCI-H520.1,gs://ccle_bams/rna/G28617.NCI-H520.1.bam,,,,,,,
G28618.OE19.1,gs://ccle_bams/rna/G28618.OE19.1.bam,,,,,,,
G28619.NCI-H2073.1,gs://ccle_bams/rna/G28619.NCI-H2073.1.bam,,,,,,,
G28621.MUTZ-3.1,gs://ccle_bams/rna/G28621.MUTZ-3.1.bam,,,,,,,
G28622.OE21.1,gs://ccle_bams/rna/G28622.OE21.1.bam,,,,,,,
G28623.MOLT-3.1,gs://ccle_bams/rna/G28623.MOLT-3.1.bam,,,,,,,
G28809.Hs_698.T.3,gs://ccle_bams/rna/G28809.Hs_698.T.3.bam,,,,,,,
G28810.Hs_940.T.3,gs://ccle_bams/rna/G28810.Hs_940.T.3.bam,,,,,,,
G28811.Hs_839.T.3,gs://ccle_bams/rna/G28811.Hs_839.T.3.bam,,,,,,,
G28812.Hs_737.T.3,gs://ccle_bams/rna/G28812.Hs_737.T.3.bam,,,,,,,
G28813.Hs_274.T,gs://ccle_bams/wes/G28813.Hs_274.T.bam,,,,,,,
G28814.Hs_281.T.3,gs://ccle_bams/rna/G28814.Hs_281.T.3.bam,,,,,,,
G28815.Hs_934.T.3,gs://ccle_bams/rna/G28815.Hs_934.T.3.bam,,,,,,,
G28816.Hs_863.T.3,gs://ccle_bams/rna/G28816.Hs_863.T.3.bam,,,,,,,
G28817.HCC-2279.3,gs://ccle_bams/rna/G28817.HCC-2279.3.bam,,,,,,,
G28818.Hs_616.T.3,gs://ccle_bams/rna/G28818.Hs_616.T.3.bam,,,,,,,
G28819.Hs_600.T.3,gs://ccle_bams/rna/G28819.Hs_600.T.3.bam,,,,,,,
G28820.HLF-a.3,gs://ccle_bams/rna/G28820.HLF-a.3.bam,,,,,,,
G28821.HuT_102.3,gs://ccle_bams/rna/G28821.HuT_102.3.bam,,,,,,,
G28822.Hs_618.T.3,gs://ccle_bams/rna/G28822.Hs_618.T.3.bam,,,,,,,
G28823.HEC-6.3,gs://ccle_bams/rna/G28823.HEC-6.3.bam,,,,,,,
G28824.HEC-265.3,gs://ccle_bams/wes/G28824.HEC-265.3.bam,,,,,,,
G28825.HT-144.3,gs://ccle_bams/rna/G28825.HT-144.3.bam,,,,,,,
G28826.HEC-151.3,gs://ccle_bams/rna/G28826.HEC-151.3.bam,,,,,,,
G28827.Hs_229.T.3,gs://ccle_bams/rna/G28827.Hs_229.T.3.bam,,,,,,,
G28828.HPB-ALL.3,gs://ccle_bams/rna/G28828.HPB-ALL.3.bam,,,,,,,
G28829.Hs_729.3,gs://ccle_bams/rna/G28829.Hs_729.3.bam,,,,,,,
G28830.Hs_695T.3,gs://ccle_bams/rna/G28830.Hs_695T.3.bam,,,,,,,
G28831.J82.3,gs://ccle_bams/wes/G28831.J82.3.bam,,,,,,,
G28832.HEC-108.3,gs://ccle_bams/rna/G28832.HEC-108.3.bam,,,,,,,
G28833.HMC-1-8.3,gs://ccle_bams/rna/G28833.HMC-1-8.3.bam,,,,,,,
G28834.Hs_578T.3,gs://ccle_bams/rna/G28834.Hs_578T.3.bam,,,,,,,
G28835.HT.3,gs://ccle_bams/rna/G28835.HT.3.bam,,,,,,,
G28836.Hs_688_A_.T.3,gs://ccle_bams/rna/G28836.Hs_688_A_.T.3.bam,,,,,,,
G28837.Hs_821.T.3,gs://ccle_bams/rna/G28837.Hs_821.T.3.bam,,,,,,,
G28838.Hs_706.T.3,gs://ccle_bams/rna/G28838.Hs_706.T.3.bam,,,,,,,
G28839.HuTu_80.3,gs://ccle_bams/rna/G28839.HuTu_80.3.bam,,,,,,,
G28840.HCC-366.3,gs://ccle_bams/rna/G28840.HCC-366.3.bam,,,,,,,
G28841.Hs_675.T.3,gs://ccle_bams/rna/G28841.Hs_675.T.3.bam,,,,,,,
G28842.JeKo-1.3,gs://ccle_bams/rna/G28842.JeKo-1.3.bam,,,,,,,
G28843.Hs_343.T.3,gs://ccle_bams/rna/G28843.Hs_343.T.3.bam,,,,,,,
G28844.HEL.3,gs://ccle_bams/wes/G28844.HEL.3.bam,,,,,,,
G28845.HuNS1.3,gs://ccle_bams/rna/G28845.HuNS1.3.bam,,,,,,,
G28846.JHH-1.3,gs://ccle_bams/rna/G28846.JHH-1.3.bam,,,,,,,
G28847.HCC1937.3,gs://ccle_bams/rna/G28847.HCC1937.3.bam,,,,,,,
G28848.HOP-92.3,gs://ccle_bams/rna/G28848.HOP-92.3.bam,,,,,,,
G28850.HUP-T3.3,gs://ccle_bams/rna/G28850.HUP-T3.3.bam,,,,,,,
G28851.HuH-7.3,gs://ccle_bams/rna/G28851.HuH-7.3.bam,,,,,,,
G28852.HuG1-N.3,gs://ccle_bams/rna/G28852.HuG1-N.3.bam,,,,,,,
G28853.HSC-4.3,gs://ccle_bams/rna/G28853.HSC-4.3.bam,,,,,,,
G28854.Hs_939.T.3,gs://ccle_bams/rna/G28854.Hs_939.T.3.bam,,,,,,,
G28855.Hs_611.T.3,gs://ccle_bams/rna/G28855.Hs_611.T.3.bam,,,,,,,
G28856.HCC2157.3,gs://ccle_bams/rna/G28856.HCC2157.3.bam,,,,,,,
G28857.HuH28,gs://ccle_bams/wes/G28857.HuH28.bam,,,,,,,
G28858.HuH-6.3,gs://ccle_bams/rna/G28858.HuH-6.3.bam,,,,,,,
G28859.Hs_294T.3,gs://ccle_bams/rna/G28859.Hs_294T.3.bam,,,,,,,
G28861.IGR-1.3,gs://ccle_bams/rna/G28861.IGR-1.3.bam,,,,,,,
G28862.HMCB.3,gs://ccle_bams/rna/G28862.HMCB.3.bam,,,,,,,
G28863.HT-1080.3,gs://ccle_bams/rna/G28863.HT-1080.3.bam,,,,,,,
G28864.HCC-95.3,gs://ccle_bams/rna/G28864.HCC-95.3.bam,,,,,,,
G28865.HCC4006.3,gs://ccle_bams/rna/G28865.HCC4006.3.bam,,,,,,,
G28866.HCC-78.3,gs://ccle_bams/rna/G28866.HCC-78.3.bam,,,,,,,
G28867.HH.3,gs://ccle_bams/rna/G28867.HH.3.bam,,,,,,,
G28868.HOS.3,gs://ccle_bams/rna/G28868.HOS.3.bam,,,,,,,
G28869.HCC38.3,gs://ccle_bams/rna/G28869.HCC38.3.bam,,,,,,,
G28870.HCC2935.3,gs://ccle_bams/rna/G28870.HCC2935.3.bam,,,,,,,
G28871.HEC-59.3,gs://ccle_bams/rna/G28871.HEC-59.3.bam,,,,,,,
G28872.JHH-2.3,gs://ccle_bams/rna/G28872.JHH-2.3.bam,,,,,,,
G28873.IST-MES2.3,gs://ccle_bams/rna/G28873.IST-MES2.3.bam,,,,,,,
G28874.HuT_78.3,gs://ccle_bams/rna/G28874.HuT_78.3.bam,,,,,,,
G28875.Ishikawa__Heraklio__02_ER-.3,gs://ccle_bams/rna/G28875.Ishikawa__Heraklio__02_ER-.3.bam,,,,,,,
G28876.HuCCT1.3,gs://ccle_bams/rna/G28876.HuCCT1.3.bam,,,,,,,
G28877.HEC-1-B.3,gs://ccle_bams/rna/G28877.HEC-1-B.3.bam,,,,,,,
G28878.HEC-251.3,gs://ccle_bams/rna/G28878.HEC-251.3.bam,,,,,,,
G28879.Hs_840.T.3,gs://ccle_bams/rna/G28879.Hs_840.T.3.bam,,,,,,,
G28880.JHH-4.3,gs://ccle_bams/rna/G28880.JHH-4.3.bam,,,,,,,
G28881.HT-1376.3,gs://ccle_bams/rna/G28881.HT-1376.3.bam,,,,,,,
G28882.HEC-50B.3,gs://ccle_bams/rna/G28882.HEC-50B.3.bam,,,,,,,
G28883.Hs_895.T.3,gs://ccle_bams/rna/G28883.Hs_895.T.3.bam,,,,,,,
G28884.Hs_834.T.3,gs://ccle_bams/rna/G28884.Hs_834.T.3.bam,,,,,,,
G28885.Hs_852.T.3,gs://ccle_bams/wes/G28885.Hs_852.T.3.bam,,,,,,,
G28886.huH-1.3,gs://ccle_bams/rna/G28886.huH-1.3.bam,,,,,,,
G28887.HCC-2108.3,gs://ccle_bams/rna/G28887.HCC-2108.3.bam,,,,,,,
G28888.Hep_3B2.1-7.3,gs://ccle_bams/rna/G28888.Hep_3B2.1-7.3.bam,,,,,,,
G28889.Hs_822.T.3,gs://ccle_bams/rna/G28889.Hs_822.T.3.bam,,,,,,,
G28890.Hs_819.T.3,gs://ccle_bams/rna/G28890.Hs_819.T.3.bam,,,,,,,
G28891.Hs_255.T.3,gs://ccle_bams/rna/G28891.Hs_255.T.3.bam,,,,,,,
G28892.HDQ-P1.3,gs://ccle_bams/rna/G28892.HDQ-P1.3.bam,,,,,,,
