cds_id,arxspan_id,version,sm_id,ccle_name,stripped_cell_line_name,patient_id,cellosaurus_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,gender,matched_normal,age,primary_site,primary_disease,subtype,subsubtype,origin,mediatype,condition,datatype,sequencing_type,baits,comments,source,sequencing_date,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2
CDS-2hvO8o,ACH-001495,1,,,EMTOKA,PT-XvpvH6xr,,,gs://cclebams/wes/EMTOKA/current/EMTOKA.bam,gs://cclebams/wes/EMTOKA/current/EMTOKA.bai,,Female,,64.0,endometrium,Endometrial/Uterine Cancer,uterine_carcinosarcoma,,uterus,,,wes,,ICE,Human cell line derived from uterine carcinosarcoma.,DEPMAP,18/11/2018,,,,CReFxg==,,,,,,,,,,
CDS-NQ3PO5,ACH-001495,2,,,EMTOKA,PT-XvpvH6xr,,,gs://cclebams/rna/Getz_IBM_CellLines_Tru-seq_100M_Nov2018_Redo/RP-1500/RNA/EMTOKA/v2/EMTOKA.bam,gs://cclebams/rna/Getz_IBM_CellLines_Tru-seq_100M_Nov2018_Redo/RP-1500/RNA/EMTOKA/v2/EMTOKA.bai,,Female,,64.0,endometrium,Endometrial/Uterine Cancer,uterine_carcinosarcoma,,uterus,,,rna,,polyA,Human cell line derived from uterine carcinosarcoma.,IBM,24/2/2019,,,,xBHXxA==,,,,,,,,,,
CDS-nGVKqG,ACH-002103,1,,,ES1,PT-LzGLmTkW,CVCL_1198,,gs://cclebams/wes/SANGER_ES1_BONE.bam,gs://cclebams/wes/SANGER_ES1_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,I6E+4w==,,,,,,,,,,
CDS-5eDlE3,ACH-002104,1,,,ES3,PT-seHlMRTr,CVCL_1199,,gs://cclebams/wes/SANGER_ES3_BONE.bam,gs://cclebams/wes/SANGER_ES3_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,mJaSNA==,,,,,,,,,,
CDS-nbsZCp,ACH-002105,1,,,ES4,PT-nw8P3qrC,CVCL_1200,,gs://cclebams/wes/SANGER_ES4_BONE.bam,gs://cclebams/wes/SANGER_ES4_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,nzHMCA==,,,,,,,,,,
CDS-wXw5jm,ACH-002106,1,,,ES5,PT-mbpLGKw7,CVCL_1201,,gs://cclebams/wes/SANGER_ES5_BONE.bam,gs://cclebams/wes/SANGER_ES5_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,rGCAvQ==,,,,,,,,,,
CDS-cMQr77,ACH-002107,1,,,ES6,PT-nsU1NoeS,CVCL_1202,,gs://cclebams/wes/SANGER_ES6_BONE.bam,gs://cclebams/wes/SANGER_ES6_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,AIwMtQ==,,,,,,,,,,
CDS-Dkfb48,ACH-002108,1,,,ES7,PT-CNcAHslw,CVCL_1203,,gs://cclebams/wes/SANGER_ES7_BONE.bam,gs://cclebams/wes/SANGER_ES7_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,gG+YIA==,,,,,,,,,,
CDS-YLPj0Y,ACH-002109,1,,,ES8,PT-KMgE5vwT,CVCL_1204,,gs://cclebams/wes/SANGER_ES8_BONE.bam,gs://cclebams/wes/SANGER_ES8_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,U0o1Aw==,,,,,,,,,,
CDS-ZdjcVx,ACH-001497,1,,,ESO51,PT-Fm6LTGFo,CVCL_2036,,gs://cclebams/wes/SANGER_ESO51_OESOPHAGUS.bam,gs://cclebams/wes/SANGER_ESO51_OESOPHAGUS.bai,,Male,,,oesophagus,Esophageal Cancer,esophagus_adenocarcinoma,,esophagus,,,wes,,AGILENT,"Distal oesophageal adenocarcinoma,",SANGER,U,,,,oWON8Q==,,,,,,,,,,
CDS-PYw8ID,ACH-001497,2,,,ESO51,PT-Fm6LTGFo,CVCL_2036,,gs://cclebams/wes/RP-1500/Exome/ESO51_1/current/ESO51_1.bam,gs://cclebams/wes/RP-1500/Exome/ESO51_1/current/ESO51_1.bai,,Male,,,oesophagus,Esophageal Cancer,esophagus_adenocarcinoma,,esophagus,,,wes,,ICE,"Distal oesophageal adenocarcinoma,",DEPMAP,1/9/2017,,,,Kn18yw==,,,,,,,,,,
CDS-fBCF0D,ACH-001497,1,,,ESO51,PT-Fm6LTGFo,CVCL_2036,,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_39sample_10262017/G134624/NA/ESO51_1/v4/ESO51_1.bam,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_39sample_10262017/G134624/NA/ESO51_1/v4/ESO51_1.bai,,Male,,,oesophagus,Esophageal Cancer,esophagus_adenocarcinoma,,esophagus,,,rna,,polyA,"Distal oesophageal adenocarcinoma,",IBM,8/10/2017,,,,sixaAg==,,,,,,,,,,
CDS-T91Ig5,ACH-002237,1,,,ETK1,PT-HK21qmdr,CVCL_1206,,gs://cclebams/wes/SANGER_ETK1_BILIARY_TRACT.bam,gs://cclebams/wes/SANGER_ETK1_BILIARY_TRACT.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,Ynr6IA==,,,,,,,,,,
CDS-ZEV0hO,ACH-001065,1,,,EVSAT,PT-NsZDKQQS,CVCL_1207,,gs://cclebams/wes/SANGER_EVSAT_BREAST.bam,gs://cclebams/wes/SANGER_EVSAT_BREAST.bai,,Female,,,ascites,Breast Cancer,breast_carcinoma,,breast,,,wes,,AGILENT,CCLE line; ERneg,SANGER,U,,,,o4Cx0Q==,,,,,,,,,,
CDS-LqTvji,ACH-001065,1,,,EVSAT,PT-NsZDKQQS,CVCL_1207,,gs://cclebams/hybrid_capture/EVSAT_BREAST.bam,gs://cclebams/hybrid_capture/EVSAT_BREAST.bai,,Female,,,ascites,Breast Cancer,breast_carcinoma,,breast,,,hybrid_capture,,,CCLE line; ERneg,CCLE2,14/8/2010,,,,GIbkjw==,,,,,,,,,,
CDS-nCmaVH,ACH-002110,1,,,EW1,PT-qbUzMnx0,CVCL_1208,,gs://cclebams/wes/SANGER_EW1_BONE.bam,gs://cclebams/wes/SANGER_EW1_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,xtImHA==,,,,,,,,,,
CDS-yLlkxa,ACH-002111,1,,,EW11,PT-QGpcrGYe,CVCL_1209,,gs://cclebams/wes/SANGER_EW11_BONE.bam,gs://cclebams/wes/SANGER_EW11_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,to3CZA==,,,,,,,,,,
CDS-PwJgfV,ACH-002112,1,,,EW12,PT-yDw57LDm,CVCL_1210,,gs://cclebams/wes/SANGER_EW12_BONE.bam,gs://cclebams/wes/SANGER_EW12_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,AP673w==,,,,,,,,,,
CDS-l7AAYZ,ACH-002113,1,,,EW13,PT-8O388M9r,CVCL_1211,,gs://cclebams/wes/SANGER_EW13_BONE.bam,gs://cclebams/wes/SANGER_EW13_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,QnPVnA==,,,,,,,,,,
CDS-6safT6,ACH-002114,1,,,EW16,PT-WukFoG8D,CVCL_1212,,gs://cclebams/wes/SANGER_EW16_BONE.bam,gs://cclebams/wes/SANGER_EW16_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,IlEuYg==,,,,,,,,,,
CDS-JqBiUG,ACH-002115,1,,,EW18,PT-itCcrmR6,CVCL_1213,,gs://cclebams/wes/SANGER_EW18_BONE.bam,gs://cclebams/wes/SANGER_EW18_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,qsGnnA==,,,,,,,,,,
CDS-KbGk8A,ACH-002116,1,,,EW22,PT-92FStFwM,CVCL_1214,,gs://cclebams/wes/SANGER_EW22_BONE.bam,gs://cclebams/wes/SANGER_EW22_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,aJYJCA==,,,,,,,,,,
CDS-2UNbNY,ACH-002117,1,,,EW24,PT-ooEc0u3P,CVCL_1215,,gs://cclebams/wes/SANGER_EW24_BONE.bam,gs://cclebams/wes/SANGER_EW24_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,0SaS6w==,,,,,,,,,,
CDS-YT6KUW,ACH-002118,1,,,EW3,PT-5gYVksJT,CVCL_1216,,gs://cclebams/wes/SANGER_EW3_BONE.bam,gs://cclebams/wes/SANGER_EW3_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,xzx91A==,,,,,,,,,,
CDS-ChYgr0,ACH-002119,1,,,EW7,PT-IQrQjkza,CVCL_1217,,gs://cclebams/wes/SANGER_EW7_BONE.bam,gs://cclebams/wes/SANGER_EW7_BONE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,feaf9A==,,,,,,,,,,
CDS-BaJNpl,ACH-000499,1,,,EW8,PT-NcdcBHJI,CVCL_V618,,gs://cclebams/wes/C817/EW8/v3/EW8.bam,gs://cclebams/wes/C817/EW8/v3/EW8.bai,,Male,,,bone,Bone Cancer,Ewing_sarcoma,,bone,,,wes,,AGILENT,"(RNAseq) EWS/FLI; Received from Academic lab (Stegmaier, Broad)",DEPMAP,15/1/2012,,,,evkBSg==,,,,,,,,,,
CDS-YzcrsA,ACH-000499,1,,,EW8,PT-NcdcBHJI,CVCL_V618,,gs://cclebams/rna/G41789/EW8/current/EW8.bam,gs://cclebams/rna/G41789/EW8/current/EW8.bai,,Male,,,bone,Bone Cancer,Ewing_sarcoma,,bone,,,rna,,polyA,"(RNAseq) EWS/FLI; Received from Academic lab (Stegmaier, Broad)",DEPMAP,1/9/2013,,,,sAkziQ==,,,,,,,,,,
CDS-YSAMvE,ACH-000279,1,,,EWS502,PT-8HNYdUNM,CVCL_S740,,gs://cclebams/rna/G41788/EWS-502/current/EWS-502.bam,gs://cclebams/rna/G41788/EWS-502/current/EWS-502.bai,,Unknown,,,bone,Bone Cancer,Ewing_sarcoma,,bone,,,rna,,polyA,"(RNAseq) EWS/FLI; Received from Academic lab (Marino-Enriquez, BWH)",DEPMAP,1/9/2013,,,,wELbcg==,,,,,,,,,,
CDS-AC1r2r,ACH-000279,1,,,EWS502,PT-8HNYdUNM,CVCL_S740,,gs://cclebams/wes/C817/EWS-502/current/EWS-502.bam,gs://cclebams/wes/C817/EWS-502/current/EWS-502.bai,,Unknown,,,bone,Bone Cancer,Ewing_sarcoma,,bone,,,wes,,AGILENT,"(RNAseq) EWS/FLI; Received from Academic lab (Marino-Enriquez, BWH)",DEPMAP,15/1/2012,,,,DkvvNw==,,,,,,,,,,
CDS-q9qWYX,ACH-001066,1,,,EWS834,PT-Pmt9uxYI,CVCL_AW95,,gs://cclebams/wes/C817/EWS834/current/EWS834.bam,gs://cclebams/wes/C817/EWS834/current/EWS834.bai,,Unknown,,,bone,Bone Cancer,Ewing sarcoma,,bone,,,wes,,AGILENT,,DEPMAP,15/1/2012,,,,/1jn8w==,,,,,,,,,,
CDS-jGi1rQ,ACH-001067,1,,,F5,PT-qx4VpMUC,CVCL_V616,,gs://cclebams/wes/F5.bam,gs://cclebams/wes/F5.bai,,Male,,,central_nervous_system,Brain Cancer,meningioma,,central_nervous_system,,,wes,,ICE,"Received from Academic lab (Dunn, BWH)",DEPMAP,21/8/2018,,,,BAqQ/Q==,,,,,,,,,,
CDS-SA3OeM,ACH-001067,1,,,F5,PT-qx4VpMUC,CVCL_V616,,gs://cclebams/rna/G106825/F5/current/F5.bam,gs://cclebams/rna/G106825/F5/current/F5.bai,,Male,,,central_nervous_system,Brain Cancer,meningioma,,central_nervous_system,,,rna,,polyA,"Received from Academic lab (Dunn, BWH)",DEPMAP,1/2/2017,,,,JaEXTg==,,,,,,,,,,
CDS-9qDPiX,ACH-001498,2,,,FARAGE,PT-FF791p2M,CVCL_3302,,gs://cclebams/wes/FARAGE.bam,gs://cclebams/wes/FARAGE.bai,,Female,,,lymph_node,Lymphoma,non_hodgkin_lymphoma,b_cell,lymphocyte,,,wes,,ICE,,DEPMAP,17/10/2019,,,,nC8aaQ==,,,,,,,,,,
CDS-8rXMKM,ACH-001498,1,,,FARAGE,PT-FF791p2M,CVCL_3302,,gs://cclebams/rna/FARAGE.bam,gs://cclebams/rna/FARAGE.bai,,Female,,,lymph_node,Lymphoma,non_hodgkin_lymphoma,b_cell,lymphocyte,,,rna,,polyA,,DEPMAP,1/10/2019,,,,vhGXyQ==,,,,,,,,,,
CDS-OApL5r,ACH-001498,1,,,FARAGE,PT-FF791p2M,CVCL_3302,,gs://cclebams/wes/SANGER_FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/wes/SANGER_FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,,lymph_node,Lymphoma,non_hodgkin_lymphoma,b_cell,lymphocyte,,,wes,,AGILENT,,SANGER,U,,,,RdPaCQ==,,,,,,,,,,
CDS-hvMdIA,ACH-001068,1,,,FEPD,PT-SLM4QQaH,CVCL_H614,,gs://cclebams/wes/RP-1003/Exome/FEPD_1/current/FEPD_1.bam,gs://cclebams/wes/RP-1003/Exome/FEPD_1/current/FEPD_1.bai,,Female,,,haematopoietic_and_lymphoid_tissue,Lymphoma,lymphoma_unspecified,t_cell,lymphocyte,,,wes,,ICE,Received from Academic lab,DEPMAP,20/8/2015,,,,am95Zg==,,,,,,,,,,
CDS-7pOtWh,ACH-001068,1,,,FEPD,PT-SLM4QQaH,CVCL_H614,,gs://cclebams/rna/G91718/FEPD_1/current/FEPD_1.bam,gs://cclebams/rna/G91718/FEPD_1/current/FEPD_1.bai,,Female,,,haematopoietic_and_lymphoid_tissue,Lymphoma,lymphoma_unspecified,t_cell,lymphocyte,,,rna,,polyA,Received from Academic lab,DEPMAP,21/8/2015,,,,DsQseQ==,,,,,,,,,,
CDS-Sp18uD,ACH-001500,2,,,FLO1,PT-VYDPqaVC,CVCL_2045,,gs://cclebams/wes/RP-1500/Exome/FLO1_1/current/FLO1_1.bam,gs://cclebams/wes/RP-1500/Exome/FLO1_1/current/FLO1_1.bai,,Male,,,oesophagus,Esophageal Cancer,esophagus_adenocarcinoma,,esophagus,,,wes,,ICE,Distal oesophageal adenocarcinoma,DEPMAP,1/9/2017,,,,2Gp1RQ==,,,,,,,,,,
CDS-8Q0Iy1,ACH-001500,1,,,FLO1,PT-VYDPqaVC,CVCL_2045,,gs://cclebams/wes/SANGER_FLO1_OESOPHAGUS.bam,gs://cclebams/wes/SANGER_FLO1_OESOPHAGUS.bai,,Male,,,oesophagus,Esophageal Cancer,esophagus_adenocarcinoma,,esophagus,,,wes,,AGILENT,Distal oesophageal adenocarcinoma,SANGER,U,,,,mi4zqA==,,,,,,,,,,
CDS-b4xvrP,ACH-001500,1,,,FLO1,PT-VYDPqaVC,CVCL_2045,,gs://cclebams/rna/G134624/FLO1_1/current/FLO1_1.bam,gs://cclebams/rna/G134624/FLO1_1/current/FLO1_1.bai,,Male,,,oesophagus,Esophageal Cancer,esophagus_adenocarcinoma,,esophagus,,,rna,,polyA,Distal oesophageal adenocarcinoma,DEPMAP,8/10/2017,,,,jxKovw==,,,,,,,,,,
CDS-rvhUFy,ACH-001850,1,,,G415,PT-7m8tIpNv,,,gs://cclebams/wes/G415_1/current/G415_1.bam,gs://cclebams/wes/G415_1/current/G415_1.bai,,Male,,,ascites,Gallbladder Cancer,gallbladder_adenocarcinoma,,bile_duct,,,wes,,ICE,Derived from metastatic site: Ascites; Received from academic lab,DEPMAP,7/1/2019,,,,IgTfmg==,,,,,,,,,,
CDS-QdiiLa,ACH-001850,1,,,G415,PT-7m8tIpNv,,,gs://cclebams/rna/CCLE_DepMap_RNAseq_July_Dec_2018/RP-1561/RNA/G415/v1/G415.bam,gs://cclebams/rna/CCLE_DepMap_RNAseq_July_Dec_2018/RP-1561/RNA/G415/v1/G415.bai,,Male,,,ascites,Gallbladder Cancer,gallbladder_adenocarcinoma,,bile_duct,,,rna,,polyA,Derived from metastatic site: Ascites; Received from academic lab,DEPMAP,15/1/2019,,,,FcCK6g==,,,,,,,,,,
CDS-bZe1gN,ACH-002120,1,,,GAK,PT-qVgAjlYZ,CVCL_1225,,gs://cclebams/wes/SANGER_GAK_SKIN.bam,gs://cclebams/wes/SANGER_GAK_SKIN.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,NNL5dg==,,,,,,,,,,
CDS-TsX9vB,ACH-001961,1,,,GB2,PT-DaOaxUa5,,,gs://cclebams/wes/DepMap_CellLine_WES_July2019/RP-1561/Exome/GB2/v2/GB2.bam,gs://cclebams/wes/DepMap_CellLine_WES_July2019/RP-1561/Exome/GB2/v2/GB2.bai,,Unknown,,65.0,biliary_tract,Gallbladder Cancer,gallbladder_adenocarcinoma,,bile_duct,,,wes,,ICE,"Received from Academic lab (Bardeesy, MGH) - established",DEPMAP,29/7/2019,,,,ejJxbA==,,,,,,,,,,
CDS-sTyRIs,ACH-001961,1,,,GB2,PT-DaOaxUa5,,,gs://cclebams/rna/DepMap_CellLine_RNAseq_July2019/RP-1561/RNA/GB2/v2/GB2.bam,gs://cclebams/rna/DepMap_CellLine_RNAseq_July2019/RP-1561/RNA/GB2/v2/GB2.bai,,Unknown,,65.0,biliary_tract,Gallbladder Cancer,gallbladder_adenocarcinoma,,bile_duct,,,rna,,polyA,"Received from Academic lab (Bardeesy, MGH) - established",DEPMAP,16/8/2019,,,,M9eUsA==,,,,,,,,,,
CDS-QvHoYw,ACH-002349,1,,,GBM001,PT-g54hYSl2,,,gs://cclebams/wes/RP-893/Exome/GBM001_1/current/GBM001_1.bam,gs://cclebams/wes/RP-893/Exome/GBM001_1/current/GBM001_1.bai,,Unknown,,,central_nervous_system,Brain Cancer,glioma,DIPG,central_nervous_system,,,wes,,ICE,,DEPMAP,20/11/2017,,,,X8XDiA==,,,,,,,,,,
CDS-oK1NfW,ACH-000047,1,,,GCIY,PT-t5RtpYpE,CVCL_1228,,gs://cclebams/hybrid_capture/GCIY_STOMACH.bam,gs://cclebams/hybrid_capture/GCIY_STOMACH.bai,,Female,,,ascites,Gastric Cancer,gastric_adenocarcinoma,,gastric,,,hybrid_capture,,,CCLE line,CCLE2,4/8/2010,,,,gW3kgg==,,,,,,,,,,
CDS-CuJ0f8,ACH-000047,2,,,GCIY,PT-t5RtpYpE,CVCL_1228,,gs://cclebams/wes/GCIY.bam,gs://cclebams/wes/GCIY.bai,,Female,,,ascites,Gastric Cancer,gastric_adenocarcinoma,,gastric,,,wes,,ICE,CCLE line,DEPMAP,25/8/2018,,,,Y4u04w==,,,,,,,,,,
CDS-jOlYT4,ACH-000047,1,,,GCIY,PT-t5RtpYpE,CVCL_1228,,gs://cclebams/rna/G41718.GCIY.5.bam,gs://cclebams/rna/G41718.GCIY.5.bai,,Female,,,ascites,Gastric Cancer,gastric_adenocarcinoma,,gastric,,,rna,,polyA,CCLE line,DEPMAP,22/8/2013,,,,QFngow==,,,,,,,,,,
CDS-2Jqfk6,ACH-000047,1,,,GCIY,PT-t5RtpYpE,CVCL_1228,,gs://cclebams/RRBS/G29750/GCIY/v1/GCIY.bam,gs://cclebams/RRBS/G29750/GCIY/v1/GCIY.bai,,Female,,,ascites,Gastric Cancer,gastric_adenocarcinoma,,gastric,,,RRBS,,,CCLE line,CCLE2,3/5/2013,,,,qLpjcw==,,,,,,,,,,
CDS-ZW9eSc,ACH-000047,1,,,GCIY,PT-t5RtpYpE,CVCL_1228,,gs://cclebams/wes/SANGER_GCIY_STOMACH.bam,gs://cclebams/wes/SANGER_GCIY_STOMACH.bai,,Female,,,ascites,Gastric Cancer,gastric_adenocarcinoma,,gastric,,,wes,,AGILENT,CCLE line,SANGER,U,,,,cUrSpw==,,,,,,,,,,
CDS-ZRSoyP,ACH-000047,1,,,GCIY,PT-t5RtpYpE,CVCL_1228,,gs://cclebams/wgs/G16458/GCIY/v1/GCIY.bam,gs://cclebams/wgs/G16458/GCIY/v1/GCIY.bai,,Female,,,ascites,Gastric Cancer,gastric_adenocarcinoma,,gastric,,,wgs,,,CCLE line,CCLE2,5/1/2012,,,,WVD91Q==,,,,,,,,,,
CDS-MGanW1,ACH-000047,1,,,GCIY,PT-t5RtpYpE,CVCL_1228,,gs://cclebams/raindance/G16640/GCIY/current/GCIY.bam,gs://cclebams/raindance/G16640/GCIY/current/GCIY.bai,,Female,,,ascites,Gastric Cancer,gastric_adenocarcinoma,,gastric,,,raindance,,,CCLE line,CCLE2,18/3/2012,,,,My6aaQ==,,,,,,,,,,
CDS-2K0HGg,ACH-002121,1,,,GMEL,PT-shDBdfbf,CVCL_W798,,gs://cclebams/wes/SANGER_GMEL_SKIN.bam,gs://cclebams/wes/SANGER_GMEL_SKIN.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,lquedA==,,,,,,,,,,
CDS-XyDsCj,ACH-001716,1,,,GOTO,PT-44jCbZzG,CVCL_1234,,gs://cclebams/wes/SANGER_GOTO_AUTONOMIC_GANGLIA.bam,gs://cclebams/wes/SANGER_GOTO_AUTONOMIC_GANGLIA.bai,,Male,,,autonomic_ganglia,Neuroblastoma,neuroblastoma,,peripheral_nervous_system,,,wes,,AGILENT,,SANGER,U,,,,vtKSoA==,,,,,,,,,,
CDS-gB4IzD,ACH-002238,1,,,GRST,PT-24MuS5Qv,CVCL_1236,,gs://cclebams/wes/SANGER_GRST_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/wes/SANGER_GRST_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,iVWQbg==,,,,,,,,,,
CDS-29obPF,ACH-002122,1,,,GT3TKB,PT-JNNowS8d,CVCL_1237,,gs://cclebams/wes/SANGER_GT3TKB_STOMACH.bam,gs://cclebams/wes/SANGER_GT3TKB_STOMACH.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,N47fcA==,,,,,,,,,,
CDS-Fr6r0b,ACH-001347,1,,,H157,PT-fuWCwUE7,,,gs://cclebams/rna/Getz_IBM_CellLine_RNASeq_March2019/RP-1561/RNA/H157/v2/H157.bam,gs://cclebams/rna/Getz_IBM_CellLine_RNASeq_March2019/RP-1561/RNA/H157/v2/H157.bai,,Male,,84.0,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,buccal_mucosa,upper_aerodigestive,,,rna,,polyA,Buccal mucosa squamous cell carcinoma,IBM,22/5/2019,,,,eRTNqQ==,,,,,,,,,,
CDS-cvCCq2,ACH-001347,1,,,H157,PT-fuWCwUE7,,,gs://cclebams/wes/Getz_IBM_CellLines_5samples_Feb2019/RP-1561/Exome/H157/v1/H157.bam,gs://cclebams/wes/Getz_IBM_CellLines_5samples_Feb2019/RP-1561/Exome/H157/v1/H157.bai,,Male,,84.0,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,buccal_mucosa,upper_aerodigestive,,,wes,,ICE,Buccal mucosa squamous cell carcinoma,IBM,5/3/2019,,,,KTdk3w==,,,,,,,,,,
CDS-2W38Kt,ACH-002123,1,,,H2369,PT-NIqvTBLd,CVCL_A532,,gs://cclebams/wes/SANGER_H2369_PLEURA.bam,gs://cclebams/wes/SANGER_H2369_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,cH9BoQ==,,,,,,,,,,
CDS-OiHwkC,ACH-002124,1,,,H2373,PT-Z9AMgrf7,CVCL_A533,,gs://cclebams/wes/SANGER_NCIH2373_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2373_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,ZRAxnw==,,,,,,,,,,
CDS-zbdBmn,ACH-002125,1,,,H2461,PT-w3HgSr0f,CVCL_A536,,gs://cclebams/wes/SANGER_NCIH2461_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2461_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,GOv4aA==,,,,,,,,,,
CDS-rZZmQJ,ACH-002126,1,,,H2591,PT-xzUBQI6n,CVCL_A543,,gs://cclebams/wes/SANGER_NCIH2591_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2591_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,l8QxyA==,,,,,,,,,,
CDS-cgEWlZ,ACH-002127,1,,,H2595,PT-aM1v78hN,CVCL_A545,,gs://cclebams/wes/SANGER_NCIH2595_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2595_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,e73hdQ==,,,,,,,,,,
CDS-A5lOd7,ACH-002128,1,,,H2722,PT-k3BnuOSd,CVCL_U994,,gs://cclebams/wes/SANGER_NCIH2722_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2722_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,lhMoRQ==,,,,,,,,,,
CDS-GCD6at,ACH-002129,1,,,H2731,PT-P3O923Dy,CVCL_U995,,gs://cclebams/wes/SANGER_NCIH2731_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2731_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,9RYNJw==,,,,,,,,,,
CDS-0KR1BY,ACH-002130,1,,,H2795,PT-CzrE9xjP,CVCL_U996,,gs://cclebams/wes/SANGER_NCIH2795_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2795_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,nT73RQ==,,,,,,,,,,
CDS-tkjLAi,ACH-002131,1,,,H2803,PT-TDUO7d0k,CVCL_U997,,gs://cclebams/wes/SANGER_NCIH2803_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2803_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,559hYg==,,,,,,,,,,
CDS-9gOPTw,ACH-002132,1,,,H2804,PT-EKYH1vQC,CVCL_U998,,gs://cclebams/wes/SANGER_NCIH2804_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2804_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,3W60jQ==,,,,,,,,,,
CDS-ygivVi,ACH-002133,1,,,H2810,PT-FxSp7Ghf,CVCL_U999,,gs://cclebams/wes/SANGER_NCIH2810_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2810_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,nOCTRQ==,,,,,,,,,,
CDS-BbfauJ,ACH-002134,1,,,H2818,PT-pHIekQdY,CVCL_V000,,gs://cclebams/wes/SANGER_NCIH2818_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2818_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,roe9wA==,,,,,,,,,,
CDS-LtRnBf,ACH-002135,1,,,H2869,PT-YCjqC60Q,CVCL_V001,,gs://cclebams/wes/SANGER_NCIH2869_PLEURA.bam,gs://cclebams/wes/SANGER_NCIH2869_PLEURA.bai,,,,,,,,,,,,wes,,AGILENT,,SANGER,U,,,,dQnX0g==,,,,,,,,,,
