,stripped_cell_line_name,wes_bam,wes_bai,wgs_bam,wgs_bai,rna_bam,rna_bai,hybrid_capture_bam,hybrid_capture_bai,targeted_bam,targeted_bai,raindance_bam,raindance_bai
ACH-000149,,,,,,gs://cclebams/rna/G35075/SK-N-SH/current/SK-N-SH.bam,gs://cclebams/rna/G35075/SK-N-SH/current/SK-N-SH.bai,gs://cclebams/hybrid_capture/SKNSH_AUTONOMIC_GANGLIA.bam,gs://cclebams/hybrid_capture/SKNSH_AUTONOMIC_GANGLIA.bai,,,gs://cclebams/raindance/G16640/SK-N-SH/current/SK-N-SH.bam,gs://cclebams/raindance/G16640/SK-N-SH/current/SK-N-SH.bai
ACH-000701,,gs://cclebams/wes/C836.RMUG-S.2.bam,gs://cclebams/wes/C836.RMUG-S.2.bai,,,gs://cclebams/rna/G27231.RMUG-S.1.bam,gs://cclebams/rna/G27231.RMUG-S.1.bai,gs://cclebams/hybrid_capture/RMUGS_OVARY.bam,gs://cclebams/hybrid_capture/RMUGS_OVARY.bai,,,gs://cclebams/raindance/G16640/RMUG-S/current/RMUG-S.bam,gs://cclebams/raindance/G16640/RMUG-S/current/RMUG-S.bai
ACH-000968,,,,,,gs://cclebams/rna/G27376.COLO_792.1.bam,gs://cclebams/rna/G27376.COLO_792.1.bai,gs://cclebams/hybrid_capture/COLO792_SKIN.bam,gs://cclebams/hybrid_capture/COLO792_SKIN.bai,gs://cclebams/targeted/C1926/COLO_792/current/COLO_792.bam,gs://cclebams/targeted/C1926/COLO_792/current/COLO_792.bai,gs://cclebams/raindance/G16640/COLO_792/current/COLO_792.bam,gs://cclebams/raindance/G16640/COLO_792/current/COLO_792.bai
ACH-000890,,gs://cclebams/wes/C836.SW_1271.2.bam,gs://cclebams/wes/C836.SW_1271.2.bai,gs://cclebams/wgs/G16366/SW_1271/v2/SW_1271.bam,gs://cclebams/wgs/G16366/SW_1271/v2/SW_1271.bai,gs://cclebams/rna/G27225.SW_1271.1.bam,gs://cclebams/rna/G27225.SW_1271.1.bai,gs://cclebams/hybrid_capture/SW1271_LUNG.bam,gs://cclebams/hybrid_capture/SW1271_LUNG.bai,,,gs://cclebams/raindance/G16640/SW_1271/current/SW_1271.bam,gs://cclebams/raindance/G16640/SW_1271/current/SW_1271.bai
ACH-000302,,gs://cclebams/wes/C836.SNU-1077.3.bam,gs://cclebams/wes/C836.SNU-1077.3.bai,,,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_21samples_09222017/G27464/NA/SNU-1077/v2/SNU-1077.bam,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_21samples_09222017/G27464/NA/SNU-1077/v2/SNU-1077.bai,gs://cclebams/hybrid_capture/SNU1077_ENDOMETRIUM.bam,gs://cclebams/hybrid_capture/SNU1077_ENDOMETRIUM.bai,,,gs://cclebams/raindance/G16640/SNU-1077/current/SNU-1077.bam,gs://cclebams/raindance/G16640/SNU-1077/current/SNU-1077.bai
ACH-000830,,gs://cclebams/wes/C836.NCI-H1436.3.bam,gs://cclebams/wes/C836.NCI-H1436.3.bam.bai,gs://cclebams/wgs/G16430/NCI-H1436/v6/NCI-H1436.bam,gs://cclebams/wgs/G16430/NCI-H1436/v6/NCI-H1436.bai,gs://cclebams/rna/G25223.NCI-H1436.1.bam,gs://cclebams/rna/G25223.NCI-H1436.1.bai,gs://cclebams/hybrid_capture/NCI-H1436.merged.bam,gs://cclebams/hybrid_capture/NCI-H1436.merged.bai,gs://cclebams/targeted/C1926/NCI-H1436/current/NCI-H1436.bam,gs://cclebams/targeted/C1926/NCI-H1436/current/NCI-H1436.bai,,
ACH-000745,,gs://cclebams/wes/C836.MOLP-8.1.bam,gs://cclebams/wes/C836.MOLP-8.1.bai,,,gs://cclebams/rna/G28560.MOLP-8.1.bam,gs://cclebams/rna/G28560.MOLP-8.1.bai,gs://cclebams/hybrid_capture/MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/MOLP-8/current/MOLP-8.bam,gs://cclebams/raindance/G16640/MOLP-8/current/MOLP-8.bai
ACH-000944,,gs://cclebams/wes/C836.NAMALWA.2.bam,gs://cclebams/wes/C836.NAMALWA.2.bai,,,gs://cclebams/rna/G28578.NAMALWA.1.bam,gs://cclebams/rna/G28578.NAMALWA.1.bai,gs://cclebams/hybrid_capture/NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,,
ACH-000142,,,,,,gs://cclebams/rna/G27389.CAL-29.1.bam,gs://cclebams/rna/G27389.CAL-29.1.bai,gs://cclebams/hybrid_capture/CAL29_URINARY_TRACT.bam,gs://cclebams/hybrid_capture/CAL29_URINARY_TRACT.bai,,,gs://cclebams/raindance/G16640/CAL-29/current/CAL-29.bam,gs://cclebams/raindance/G16640/CAL-29/current/CAL-29.bai
ACH-000831,,gs://cclebams/wes/C836.HEC-50B.1.bam,gs://cclebams/wes/C836.HEC-50B.1.bam.bai,,,gs://cclebams/rna/G28882.HEC-50B.3.bam,gs://cclebams/rna/G28882.HEC-50B.3.bai,gs://cclebams/hybrid_capture/HEC50B_ENDOMETRIUM.bam,gs://cclebams/hybrid_capture/HEC50B_ENDOMETRIUM.bai,,,,
ACH-000571,,,,,,gs://cclebams/rna/G27251.T98G.1.bam,gs://cclebams/rna/G27251.T98G.1.bai,gs://cclebams/hybrid_capture/T98G_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/T98G_CENTRAL_NERVOUS_SYSTEM.bai,,,gs://cclebams/raindance/G16640/T98G/current/T98G.bam,gs://cclebams/raindance/G16640/T98G/current/T98G.bai
ACH-000259,,,,,,gs://cclebams/rna/G28082.KELLY.1.bam,gs://cclebams/rna/G28082.KELLY.1.bai,gs://cclebams/hybrid_capture/KELLY_AUTONOMIC_GANGLIA.bam,gs://cclebams/hybrid_capture/KELLY_AUTONOMIC_GANGLIA.bai,,,gs://cclebams/raindance/G16640/KELLY/current/KELLY.bam,gs://cclebams/raindance/G16640/KELLY/current/KELLY.bai
ACH-000937,,,,,,gs://cclebams/rna/G27485.PF-382.2.bam,gs://cclebams/rna/G27485.PF-382.2.bai,gs://cclebams/hybrid_capture/PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/PF-382/current/PF-382.bam,gs://cclebams/raindance/G16640/PF-382/current/PF-382.bai
ACH-000434,,,,,,gs://cclebams/rna/G28588.NCI-H1915.1.bam,gs://cclebams/rna/G28588.NCI-H1915.1.bai,gs://cclebams/hybrid_capture/NCIH1915_LUNG.bam,gs://cclebams/hybrid_capture/NCIH1915_LUNG.bai,gs://cclebams/targeted/C1926/NCI-H1915/current/NCI-H1915.bam,gs://cclebams/targeted/C1926/NCI-H1915/current/NCI-H1915.bai,gs://cclebams/raindance/G16640/NCI-H1915/current/NCI-H1915.bam,gs://cclebams/raindance/G16640/NCI-H1915/current/NCI-H1915.bai
ACH-000176,,,,,,gs://cclebams/rna/G28088.LOU-NH91.1.bam,gs://cclebams/rna/G28088.LOU-NH91.1.bai,gs://cclebams/hybrid_capture/LOUNH91_LUNG.bam,gs://cclebams/hybrid_capture/LOUNH91_LUNG.bai,gs://cclebams/targeted/C1926/LOU-NH91/current/LOU-NH91.bam,gs://cclebams/targeted/C1926/LOU-NH91/current/LOU-NH91.bam.bai,,
ACH-000635,,,,gs://cclebams/wgs/G32831/SNU-119/v2/SNU-119.bam,gs://cclebams/wgs/G32831/SNU-119/v2/SNU-119.bai,gs://cclebams/rna/G27545.SNU-119.2.bam,gs://cclebams/rna/G27545.SNU-119.2.bai,gs://cclebams/hybrid_capture/SNU119_OVARY.bam,gs://cclebams/hybrid_capture/SNU119_OVARY.bai,,,,
ACH-000955,,,,gs://cclebams/wgs/G32831/SNU-407/v1/SNU-407.bam,gs://cclebams/wgs/G32831/SNU-407/v1/SNU-407.bai,gs://cclebams/rna/G41658.SNU-407.5.bam,gs://cclebams/rna/G41658.SNU-407.5.bai,gs://cclebams/hybrid_capture/SNU407_LARGE_INTESTINE.bam,gs://cclebams/hybrid_capture/SNU407_LARGE_INTESTINE.bai,,,gs://cclebams/raindance/G16640/SNU-407/current/SNU-407.bam,gs://cclebams/raindance/G16640/SNU-407/current/SNU-407.bai
ACH-000423,,,,,,gs://cclebams/rna/G27479.SK-MEL-3.2.bam,gs://cclebams/rna/G27479.SK-MEL-3.2.bai,gs://cclebams/hybrid_capture/SKMEL3_SKIN.bam,gs://cclebams/hybrid_capture/SKMEL3_SKIN.bai,gs://cclebams/targeted/C1926/SK-MEL-3/current/SK-MEL-3.bam,gs://cclebams/targeted/C1926/SK-MEL-3/current/SK-MEL-3.bai,,
ACH-001107,,,,,,,,gs://cclebams/hybrid_capture/KP1N_PANCREAS.bam,gs://cclebams/hybrid_capture/KP1N_PANCREAS.bai,,,,
ACH-000742,,,,,,gs://cclebams/rna/G30589.DM-3.1.bam,gs://cclebams/rna/G30589.DM-3.1.bai,gs://cclebams/hybrid_capture/DM3_PLEURA.bam,gs://cclebams/hybrid_capture/DM3_PLEURA.bai,gs://cclebams/targeted/C1926/DM-3/current/DM-3.bam,gs://cclebams/targeted/C1926/DM-3/current/DM-3.bai,,
ACH-000322,,,,gs://cclebams/wgs/G32831/HT-144/v1/HT-144.bam,gs://cclebams/wgs/G32831/HT-144/v1/HT-144.bai,gs://cclebams/rna/G28825.HT-144.3.bam,gs://cclebams/rna/G28825.HT-144.3.bai,gs://cclebams/hybrid_capture/HT144_SKIN.bam,gs://cclebams/hybrid_capture/HT144_SKIN.bai,,,gs://cclebams/raindance/G16640/HT-144/current/HT-144.bam,gs://cclebams/raindance/G16640/HT-144/current/HT-144.bai
ACH-000559,,gs://cclebams/wes/C836.NCI-H1836.2.bam,gs://cclebams/wes/C836.NCI-H1836.2.bai,gs://cclebams/wgs/G16413/NCI-H1836/v1/NCI-H1836.bam,gs://cclebams/wgs/G16413/NCI-H1836/v1/NCI-H1836.bai,gs://cclebams/rna/G35077/NCI-H1836/current/NCI-H1836.bam,gs://cclebams/rna/G35077/NCI-H1836/current/NCI-H1836.bai,gs://cclebams/hybrid_capture/NCIH1836_LUNG.bam,gs://cclebams/hybrid_capture/NCIH1836_LUNG.bai,,,gs://cclebams/raindance/G16640/NCI-H1836/current/NCI-H1836.bam,gs://cclebams/raindance/G16640/NCI-H1836/current/NCI-H1836.bai
ACH-000293,,,,gs://cclebams/wgs/G32831/KLE/v1/KLE.bam,gs://cclebams/wgs/G32831/KLE/v1/KLE.bai,gs://cclebams/rna/G28011.KLE.1.bam,gs://cclebams/rna/G28011.KLE.1.bai,gs://cclebams/hybrid_capture/KLE_ENDOMETRIUM.bam,gs://cclebams/hybrid_capture/KLE_ENDOMETRIUM.bai,,,gs://cclebams/raindance/G16640/KLE/current/KLE.bam,gs://cclebams/raindance/G16640/KLE/current/KLE.bai
ACH-000752,,,,gs://cclebams/wgs/G16414/NCI-H196/v2/NCI-H196.bam,gs://cclebams/wgs/G16414/NCI-H196/v2/NCI-H196.bai,gs://cclebams/rna/G25245.NCI-H196.1.bam,gs://cclebams/rna/G25245.NCI-H196.1.bai,gs://cclebams/hybrid_capture/NCIH196_LUNG.bam,gs://cclebams/hybrid_capture/NCIH196_LUNG.bai,,,gs://cclebams/raindance/G16640/NCI-H196/current/NCI-H196.bam,gs://cclebams/raindance/G16640/NCI-H196/current/NCI-H196.bai
ACH-000437,,,,,,gs://cclebams/rna/G30564.SW_1088.1.bam,gs://cclebams/rna/G30564.SW_1088.1.bai,gs://cclebams/hybrid_capture/SW1088_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/SW1088_CENTRAL_NERVOUS_SYSTEM.bai,,,gs://cclebams/raindance/G16640/SW_1088/current/SW_1088.bam,gs://cclebams/raindance/G16640/SW_1088/current/SW_1088.bai
ACH-000394,,,,gs://cclebams/wgs/G16388/NCI-H2081/v1/NCI-H2081.bam,gs://cclebams/wgs/G16388/NCI-H2081/v1/NCI-H2081.bai,gs://cclebams/rna/G25243.NCI-H2081.1.bam,gs://cclebams/rna/G25243.NCI-H2081.1.bai,gs://cclebams/hybrid_capture/NCIH2081_LUNG.bam,gs://cclebams/hybrid_capture/NCIH2081_LUNG.bai,,,gs://cclebams/raindance/G16640/NCI-H2081/current/NCI-H2081.bam,gs://cclebams/raindance/G16640/NCI-H2081/current/NCI-H2081.bai
ACH-000731,,,,,,gs://cclebams/rna/G28817.HCC-2279.3.bam,gs://cclebams/rna/G28817.HCC-2279.3.bai,gs://cclebams/hybrid_capture/HCC2279_LUNG.bam,gs://cclebams/hybrid_capture/HCC2279_LUNG.bai,gs://cclebams/targeted/C1926/HCC-2279/current/HCC-2279.bam,gs://cclebams/targeted/C1926/HCC-2279/current/HCC-2279.bai,,
ACH-000704,,,,gs://cclebams/wgs/G32831/OAW42/v2/OAW42.bam,gs://cclebams/wgs/G32831/OAW42/v2/OAW42.bai,gs://cclebams/rna/G26190.OAW42.2.bam,gs://cclebams/rna/G26190.OAW42.2.bai,gs://cclebams/hybrid_capture/OAW42_OVARY.bam,gs://cclebams/hybrid_capture/OAW42_OVARY.bai,,,gs://cclebams/raindance/G16640/OAW42/current/OAW42.bam,gs://cclebams/raindance/G16640/OAW42/current/OAW42.bai
ACH-000922,,,,,,gs://cclebams/rna/G27499.RCH-ACV.2.bam,gs://cclebams/rna/G27499.RCH-ACV.2.bai,gs://cclebams/hybrid_capture/RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/RCH-ACV/current/RCH-ACV.bam,gs://cclebams/raindance/G16640/RCH-ACV/current/RCH-ACV.bai
ACH-000430,,gs://cclebams/wes/C836.TYK-nu.2.bam,gs://cclebams/wes/C836.TYK-nu.2.bam.bai,,,gs://cclebams/rna/G27272.TYK-nu.1.bam,gs://cclebams/rna/G27272.TYK-nu.1.bai,gs://cclebams/hybrid_capture/TYKNU_OVARY.bam,gs://cclebams/hybrid_capture/TYKNU_OVARY.bai,,,gs://cclebams/raindance/G16640/TYK-nu/current/TYK-nu.bam,gs://cclebams/raindance/G16640/TYK-nu/current/TYK-nu.bai
ACH-000562,,gs://cclebams/wes/C836.HCC-78.2.bam,gs://cclebams/wes/C836.HCC-78.2.bai,,,gs://cclebams/rna/G28866.HCC-78.3.bam,gs://cclebams/rna/G28866.HCC-78.3.bai,gs://cclebams/hybrid_capture/HCC78_LUNG.bam,gs://cclebams/hybrid_capture/HCC78_LUNG.bai,gs://cclebams/targeted/C1926/HCC-78/current/HCC-78.bam,gs://cclebams/targeted/C1926/HCC-78/current/HCC-78.bai,gs://cclebams/raindance/G16640/HCC-78/current/HCC-78.bam,gs://cclebams/raindance/G16640/HCC-78/current/HCC-78.bai
ACH-000399,,,,gs://cclebams/wgs/G16384/NCI-H2196/v1/NCI-H2196.bam,gs://cclebams/wgs/G16384/NCI-H2196/v1/NCI-H2196.bai,gs://cclebams/rna/G25246.NCI-H2196.1.bam,gs://cclebams/rna/G25246.NCI-H2196.1.bai,gs://cclebams/hybrid_capture/NCIH2196_LUNG.bam,gs://cclebams/hybrid_capture/NCIH2196_LUNG.bai,,,gs://cclebams/raindance/G16640/NCI-H2196/current/NCI-H2196.bam,gs://cclebams/raindance/G16640/NCI-H2196/current/NCI-H2196.bai
ACH-000770,,,,,,gs://cclebams/rna/G28580.P31_FUJ.1.bam,gs://cclebams/rna/G28580.P31_FUJ.1.bai,gs://cclebams/hybrid_capture/P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/P31_FUJ/current/P31_FUJ.bam,gs://cclebams/raindance/G16640/P31_FUJ/current/P31_FUJ.bai
ACH-001151,,,,,,,,,,,,,
ACH-000678,,,,gs://cclebams/wgs/G16447/MKN7/v2/MKN7.bam,gs://cclebams/wgs/G16447/MKN7/v2/MKN7.bai,gs://cclebams/rna/G25214.MKN7.1.bam,gs://cclebams/rna/G25214.MKN7.1.bai,gs://cclebams/hybrid_capture/MKN7_STOMACH.bam,gs://cclebams/hybrid_capture/MKN7_STOMACH.bai,,,gs://cclebams/raindance/G16640/MKN7/current/MKN7.bam,gs://cclebams/raindance/G16640/MKN7/current/MKN7.bai
ACH-000089,,gs://cclebams/wes/C836.NCI-H684.2.bam,gs://cclebams/wes/C836.NCI-H684.2.bai,,,gs://cclebams/rna/G28613.NCI-H684.1.bam,gs://cclebams/rna/G28613.NCI-H684.1.bai,gs://cclebams/hybrid_capture/NCIH684_LIVER.bam,gs://cclebams/hybrid_capture/NCIH684_LIVER.bai,,,gs://cclebams/raindance/G16640/NCI-H684/current/NCI-H684.bam,gs://cclebams/raindance/G16640/NCI-H684/current/NCI-H684.bai
ACH-000879,,gs://cclebams/wes/CDS-XAXvX4.hg19.bam,gs://cclebams/wes/CDS-XAXvX4.hg19.bai,gs://cclebams/wgs/G16420/MFE-296/v1/MFE-296.bam,gs://cclebams/wgs/G16420/MFE-296/v1/MFE-296.bai,gs://cclebams/rna/G25239.MFE-296.1.bam,gs://cclebams/rna/G25239.MFE-296.1.bai,gs://cclebams/hybrid_capture/MFE296_ENDOMETRIUM.bam,gs://cclebams/hybrid_capture/MFE296_ENDOMETRIUM.bai,,,gs://cclebams/raindance/G16640/MFE-296/current/MFE-296.bam,gs://cclebams/raindance/G16640/MFE-296/current/MFE-296.bai
ACH-000091,,,,gs://cclebams/wgs/G32831/OV56/v2/OV56.bam,gs://cclebams/wgs/G32831/OV56/v2/OV56.bai,gs://cclebams/rna/G28573.OV56.1.bam,gs://cclebams/rna/G28573.OV56.1.bai,gs://cclebams/hybrid_capture/OV56_OVARY.bam,gs://cclebams/hybrid_capture/OV56_OVARY.bai,,,gs://cclebams/raindance/G16640/OV56/current/OV56.bam,gs://cclebams/raindance/G16640/OV56/current/OV56.bai
ACH-001183,,,,,,,,gs://cclebams/hybrid_capture/RT11284_URINARY_TRACT.bam,gs://cclebams/hybrid_capture/RT11284_URINARY_TRACT.bai,,,,
ACH-001109,,,,,,gs://cclebams/rna/G77551/KP-MRT-RY_01/current/KP-MRT-RY_01.bam,gs://cclebams/rna/G77551/KP-MRT-RY_01/current/KP-MRT-RY_01.bai,,,,,,
ACH-000225,,,,,,gs://cclebams/rna/G27392.ECC12.1.bam,gs://cclebams/rna/G27392.ECC12.1.bai,gs://cclebams/hybrid_capture/ECC12_STOMACH.bam,gs://cclebams/hybrid_capture/ECC12_STOMACH.bai,gs://cclebams/targeted/C1926/ECC12/current/ECC12.bam,gs://cclebams/targeted/C1926/ECC12/current/ECC12.bai,gs://cclebams/raindance/G16640/ECC12/current/ECC12.bam,gs://cclebams/raindance/G16640/ECC12/current/ECC12.bai
ACH-000552,,,,gs://cclebams/wgs/G16412/HT-29/v1/HT-29.bam,gs://cclebams/wgs/G16412/HT-29/v1/HT-29.bai,gs://cclebams/rna/G41670.HT-29.5.bam,gs://cclebams/rna/G41670.HT-29.5.bai,gs://cclebams/hybrid_capture/HT29_LARGE_INTESTINE.bam,gs://cclebams/hybrid_capture/HT29_LARGE_INTESTINE.bai,,,gs://cclebams/raindance/G16640/HT-29/current/HT-29.bam,gs://cclebams/raindance/G16640/HT-29/current/HT-29.bai
ACH-000783,,,,gs://cclebams/wgs/G32831/CAMA-1/v3/CAMA-1.bam,gs://cclebams/wgs/G32831/CAMA-1/v3/CAMA-1.bai,gs://cclebams/rna/G27334.CAMA-1.1.bam,gs://cclebams/rna/G27334.CAMA-1.1.bai,gs://cclebams/hybrid_capture/CAMA1_BREAST.bam,gs://cclebams/hybrid_capture/CAMA1_BREAST.bai,,,gs://cclebams/raindance/G16640/CAMA-1/current/CAMA-1.bam,gs://cclebams/raindance/G16640/CAMA-1/current/CAMA-1.bai
ACH-000598,,gs://cclebams/wes/C836.KMS-21BM.2.bam,gs://cclebams/wes/C836.KMS-21BM.2.bai,,,gs://cclebams/rna/G28093.KMS-21BM.1.bam,gs://cclebams/rna/G28093.KMS-21BM.1.bai,gs://cclebams/hybrid_capture/KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/KMS-21BM/current/KMS-21BM.bam,gs://cclebams/raindance/G16640/KMS-21BM/current/KMS-21BM.bai
ACH-000137,,,,,,gs://cclebams/rna/G41701.8-MG-BA.5.bam,gs://cclebams/rna/G41701.8-MG-BA.5.bai,gs://cclebams/hybrid_capture/8MGBA_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/8MGBA_CENTRAL_NERVOUS_SYSTEM.bai,,,gs://cclebams/raindance/G16640/8-MG-BA/current/8-MG-BA.bam,gs://cclebams/raindance/G16640/8-MG-BA/current/8-MG-BA.bai
ACH-000167,,,,,,gs://cclebams/rna/G41723.KE-97.5.bam,gs://cclebams/rna/G41723.KE-97.5.bai,gs://cclebams/hybrid_capture/KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/KE-97/current/KE-97.bam,gs://cclebams/raindance/G16640/KE-97/current/KE-97.bai
ACH-000072,,,,,,gs://cclebams/rna/G41728.MEG-01.5.bam,gs://cclebams/rna/G41728.MEG-01.5.bai,gs://cclebams/hybrid_capture/MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/MEG-01/current/MEG-01.bam,gs://cclebams/raindance/G16640/MEG-01/current/MEG-01.bai
ACH-000124,,gs://cclebams/wes/C836.OCI-LY-19.2.bam,gs://cclebams/wes/C836.OCI-LY-19.2.bai,,,gs://cclebams/rna/G28543.OCI-LY-19.1.bam,gs://cclebams/rna/G28543.OCI-LY-19.1.bai,gs://cclebams/hybrid_capture/OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/OCI-LY-19/current/OCI-LY-19.bam,gs://cclebams/raindance/G16640/OCI-LY-19/current/OCI-LY-19.bai
ACH-000073,,gs://cclebams/wes/CDS-H44mDx.hg19.bam,gs://cclebams/wes/CDS-H44mDx.hg19.bai,,,gs://cclebams/rna/G27335.GRANTA-519.1.bam,gs://cclebams/rna/G27335.GRANTA-519.1.bai,gs://cclebams/hybrid_capture/GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/GRANTA-519/current/GRANTA-519.bam,gs://cclebams/raindance/G16640/GRANTA-519/current/GRANTA-519.bai
ACH-000659,,,,gs://cclebams/wgs/G16455/SCLC-21H/v1/SCLC-21H.bam,gs://cclebams/wgs/G16455/SCLC-21H/v1/SCLC-21H.bai,gs://cclebams/rna/G27237.SCLC-21H.1.bam,gs://cclebams/rna/G27237.SCLC-21H.1.bai,gs://cclebams/hybrid_capture/SCLC21H_LUNG.bam,gs://cclebams/hybrid_capture/SCLC21H_LUNG.bai,gs://cclebams/targeted/C1926/SCLC-21H/current/SCLC-21H.bam,gs://cclebams/targeted/C1926/SCLC-21H/current/SCLC-21H.bai,gs://cclebams/raindance/G16640/SCLC-21H/current/SCLC-21H.bam,gs://cclebams/raindance/G16640/SCLC-21H/current/SCLC-21H.bai
ACH-000766,,,,,,gs://cclebams/rna/G28564.NCI-H1648.1.bam,gs://cclebams/rna/G28564.NCI-H1648.1.bai,gs://cclebams/hybrid_capture/NCIH1648_LUNG.bam,gs://cclebams/hybrid_capture/NCIH1648_LUNG.bai,gs://cclebams/targeted/C1926/NCI-H1648/current/NCI-H1648.bam,gs://cclebams/targeted/C1926/NCI-H1648/current/NCI-H1648.bai,gs://cclebams/raindance/G16640/NCI-H1648/current/NCI-H1648.bam,gs://cclebams/raindance/G16640/NCI-H1648/current/NCI-H1648.bai
ACH-000585,,,,,,gs://cclebams/rna/G30578.EPLC-272H.1.bam,gs://cclebams/rna/G30578.EPLC-272H.1.bai,gs://cclebams/hybrid_capture/EPLC272H_LUNG.bam,gs://cclebams/hybrid_capture/EPLC272H_LUNG.bai,gs://cclebams/targeted/C1926/EPLC-272H/current/EPLC-272H.bam,gs://cclebams/targeted/C1926/EPLC-272H/current/EPLC-272H.bai,,
ACH-000378,,,,,,gs://cclebams/rna/G28604.NCI-H647.1.bam,gs://cclebams/rna/G28604.NCI-H647.1.bai,gs://cclebams/hybrid_capture/NCIH647_LUNG.bam,gs://cclebams/hybrid_capture/NCIH647_LUNG.bai,gs://cclebams/targeted/C1926/NCI-H647/current/NCI-H647.bam,gs://cclebams/targeted/C1926/NCI-H647/current/NCI-H647.bai,gs://cclebams/raindance/G16640/NCI-H647/current/NCI-H647.bam,gs://cclebams/raindance/G16640/NCI-H647/current/NCI-H647.bai
ACH-001036,,,,,,,,gs://cclebams/hybrid_capture/CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,,
ACH-000151,,gs://cclebams/wes/C836.JM1.2.bam,gs://cclebams/wes/C836.JM1.2.bai,,,gs://cclebams/rna/G30579.JM1.1.bam,gs://cclebams/rna/G30579.JM1.1.bai,gs://cclebams/hybrid_capture/JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/JM1/current/JM1.bam,gs://cclebams/raindance/G16640/JM1/current/JM1.bai
ACH-000410,,,,,,gs://cclebams/rna/G27514.Saos-2.2.bam,gs://cclebams/rna/G27514.Saos-2.2.bai,gs://cclebams/hybrid_capture/SAOS2_BONE.bam,gs://cclebams/hybrid_capture/SAOS2_BONE.bai,,,,
ACH-000424,,,,,,gs://cclebams/rna/G27280.TC-71.1.bam,gs://cclebams/rna/G27280.TC-71.1.bai,gs://cclebams/hybrid_capture/TC-71.merged.bam,gs://cclebams/hybrid_capture/TC-71.merged.bai,gs://cclebams/targeted/C1926/TC-71/current/TC-71.bam,gs://cclebams/targeted/C1926/TC-71/current/TC-71.bam.bai,gs://cclebams/raindance/TC-71.bam,gs://cclebams/raindance/TC-71.bai
ACH-000346,,,,,,gs://cclebams/rna/G28068.JVM-3.1.bam,gs://cclebams/rna/G28068.JVM-3.1.bai,gs://cclebams/hybrid_capture/JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/JVM-3/current/JVM-3.bam,gs://cclebams/raindance/G16640/JVM-3/current/JVM-3.bai
