,cds_id,arxspan_id,version,sm_id,ccle_name,stripped_cell_line_name,patient_id,cellosaurus_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,gender,matched_normal,age,primary_site,primary_disease,subtype,subsubtype,origin,mediatype,condition,datatype,sequencing_type,baits,comments,source,sequencing_date,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2,size
1335,CDS-EE04RM,ACH-000862,1,,,KMBC2,PT-XkmnQAEK,CVCL_2977,,gs://cclebams/hybrid_capture/KMBC2_URINARY_TRACT.bam,gs://cclebams/hybrid_capture/KMBC2_URINARY_TRACT.bai,,Unknown,,U,urinary_tract,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,HLvS1A==,,,,,,,,,,,2477856798
1336,CDS-04j2qH,ACH-000815,1,,,KMH2,PT-e7O9vK4U,CVCL_1330,,gs://cclebams/hybrid_capture/KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Male,,37.0,pleural_effusion,Lymphoma,hodgkin_lymphoma,,lymphocyte,,,hybrid_capture,,,CCLE line,CCLE2,22/7/2010,,,,QqhiTg==,,,,,,,,,,,2406739652
1337,CDS-BJQ9eI,ACH-000889,1,,,KMM1,PT-sSyokgoO,CVCL_2981,,gs://cclebams/hybrid_capture/KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Male,,62.0,haematopoietic_and_lymphoid_tissue,Myeloma,multiple_myeloma,,plasma_cell,,,hybrid_capture,,,CCLE line,CCLE2,4/8/2010,,,,OeCB3w==,,,,,,,,,,,1079762078
1338,CDS-o9lmME,ACH-000684,1,,,KMRC1,PT-ydNa9G5G,CVCL_2983,,gs://cclebams/hybrid_capture/KMRC1_KIDNEY.bam,gs://cclebams/hybrid_capture/KMRC1_KIDNEY.bai,,Male,,A,kidney,Kidney Cancer,renal_cell_carcinoma,clear_cell,kidney,,,hybrid_capture,,,CCLE line,CCLE2,24/6/2010,,,,LNr2lg==,,,,,,,,,,,2422446023
1339,CDS-SjzwQB,ACH-000250,1,,,KMRC20,PT-0r8eyb5r,CVCL_2986,,gs://cclebams/hybrid_capture/KMRC20_KIDNEY.bam,gs://cclebams/hybrid_capture/KMRC20_KIDNEY.bai,,Unknown,,U,kidney,Kidney Cancer,renal_cell_carcinoma,,kidney,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,caMcGA==,,,,,,,,,,,2655994832
1340,CDS-d29XJo,ACH-000709,1,,,KMRC2,PT-BgjrcUK6,CVCL_2984,,gs://cclebams/hybrid_capture/KMRC2_KIDNEY.bam,gs://cclebams/hybrid_capture/KMRC2_KIDNEY.bai,,Male,,A,kidney,Kidney Cancer,renal_cell_carcinoma,clear_cell,kidney,,,hybrid_capture,,,CCLE line,CCLE2,24/6/2010,,,,fltV/g==,,,,,,,,,,,2674852440
1341,CDS-P38oYy,ACH-000313,1,,,KMRC3,PT-3rFq0g9x,CVCL_2985,,gs://cclebams/hybrid_capture/KMRC3_KIDNEY.bam,gs://cclebams/hybrid_capture/KMRC3_KIDNEY.bai,,Male,,A,kidney,Kidney Cancer,renal_cell_carcinoma,clear_cell,kidney,,,hybrid_capture,,,CCLE line,CCLE2,13/11/2010,,,,UsU9xw==,,,,,,,,,,,7422848866
1342,CDS-AWVkdP,ACH-000658,1,,,KMS18,PT-mlHsGSNI,CVCL_A637,,gs://cclebams/hybrid_capture/KMS-18.bam,gs://cclebams/hybrid_capture/KMS-18.bai,,Male,,58.0,haematopoietic_and_lymphoid_tissue,Myeloma,multiple_myeloma,,plasma_cell,,,hybrid_capture,,,Identical lines: KMS-18 and KE-97 share high SNP identity,CCLE2,10/1/2012,,,,o44+2Q==,,,,,,,,,,,2674494346
1343,CDS-vpmLnT,ACH-000714,1,,,KMS11,PT-Ri3qswk6,CVCL_2989,,gs://cclebams/hybrid_capture/KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,67.0,pleural_effusion,Myeloma,multiple_myeloma,,plasma_cell,,,hybrid_capture,,,CCLE line,CCLE2,14/8/2010,,,,G23X8A==,,,,,,,,,,,2880697862
1344,CDS-3bt6Sx,ACH-000380,1,,,KMS12BM,PT-REEEaF78,CVCL_1334,,gs://cclebams/hybrid_capture/KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,64.0,bone_marrow,Myeloma,multiple_myeloma,,plasma_cell,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,CWEYng==,,,,,,,,,,,1888283831
1345,CDS-aEy8CK,ACH-000426,1,,,KMS20,PT-lptKRdjE,CVCL_2990,,gs://cclebams/hybrid_capture/KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,65.0,bone_marrow,Myeloma,multiple_myeloma,,plasma_cell,,,hybrid_capture,,,CCLE line,CCLE2,13/11/2010,,,,i3JZrQ==,,,,,,,,,,,6334783195
1346,CDS-vZMP4T,ACH-000598,1,,,KMS21BM,PT-AlbKg2Fk,CVCL_2991,,gs://cclebams/hybrid_capture/KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Male,,62.0,haematopoietic_and_lymphoid_tissue,Myeloma,multiple_myeloma,,plasma_cell,,,hybrid_capture,,,CCLE line,CCLE2,23/7/2010,,,,gA1z/w==,,,,,,,,,,,1923760914
1347,CDS-NOAHRP,ACH-000588,1,,,KMS26,PT-edJW6Spy,CVCL_2992,,gs://cclebams/hybrid_capture/KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Male,,50.0,pleural_effusion,Myeloma,multiple_myeloma,,plasma_cell,,,hybrid_capture,,,CCLE line,CCLE2,28/7/2010,,,,my2piA==,,,,,,,,,,,1950475803
1348,CDS-UkQsWA,ACH-000576,1,,,KMS27,PT-16ZSIELx,CVCL_2993,,gs://cclebams/hybrid_capture/KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Male,,52.0,haematopoietic_and_lymphoid_tissue,Myeloma,multiple_myeloma,,plasma_cell,,,hybrid_capture,,,CCLE line,CCLE2,4/8/2010,,,,r5XaOA==,,,,,,,,,,,2414325681
1349,CDS-dh83ja,ACH-000419,1,,,KMS28BM,PT-jOPzmX4K,CVCL_2994,,gs://cclebams/hybrid_capture/KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,77.0,haematopoietic_and_lymphoid_tissue,Myeloma,multiple_myeloma,,plasma_cell,,,hybrid_capture,,,CCLE line,CCLE2,14/8/2010,,,,s/a8yA==,,,,,,,,,,,2641323358
1350,CDS-guerxk,ACH-000541,1,,,KMS34,PT-cU90DpqQ,CVCL_2996,,gs://cclebams/hybrid_capture/KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,60.0,pleural_effusion,Myeloma,multiple_myeloma,,plasma_cell,,,hybrid_capture,,,CCLE line,CCLE2,10/8/2010,,,,8ow5Vg==,,,,,,,,,,,1469670489
1351,CDS-O5YLKn,ACH-000479,1,,,KNS81,PT-DC0eSG7X,CVCL_2799,,gs://cclebams/hybrid_capture/KNS-81.bam,gs://cclebams/hybrid_capture/KNS-81.bai,,Male,,65.0,central_nervous_system,Brain Cancer,glioma,glioblastoma,central_nervous_system,,,hybrid_capture,,,CCLE line,CCLE2,10/1/2012,,,,XGmYPQ==,,,,,,,,,,,2406424254
1352,CDS-5LBBVY,ACH-000622,1,,,KNS42,PT-4zMsPn05,CVCL_0378,,gs://cclebams/hybrid_capture/KNS42_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/KNS42_CENTRAL_NERVOUS_SYSTEM.bai,,Male,,16.0,central_nervous_system,Brain Cancer,glioma,glioblastoma,central_nervous_system,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,LNcEoA==,,,,,,,,,,,1871575186
1353,CDS-OencFY,ACH-000445,1,,,KNS60,PT-Okx4GbjD,CVCL_2798,,gs://cclebams/hybrid_capture/KNS60_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/KNS60_CENTRAL_NERVOUS_SYSTEM.bai,,Male,,55.0,central_nervous_system,Brain Cancer,glioma,glioblastoma,central_nervous_system,,,hybrid_capture,,,CCLE line,CCLE2,23/6/2010,,,,uZysig==,,,,,,,,,,,2141246608
1354,CDS-X9jTYA,ACH-000858,1,,,KNS62,PT-jpWZCh6j,CVCL_1335,,gs://cclebams/hybrid_capture/KNS62_LUNG.bam,gs://cclebams/hybrid_capture/KNS62_LUNG.bai,,Male,,49.0,central_nervous_system,Lung Cancer,NSCLC,NSCLC_squamous,lung,,,hybrid_capture,,,CCLE line,CCLE2,1/7/2010,,,,dTzAHQ==,,,,,,,,,,,2412797651
1355,CDS-MOEUlZ,ACH-000498,1,,,KO52,PT-1XzzhUHe,CVCL_1321,,gs://cclebams/hybrid_capture/KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Male,,46.0,bone_marrow,Leukemia,AML,M2,blood,,,hybrid_capture,,,CCLE line; M6; no known fusion; p53 mut; RAS WT; EVI high; CAMK2G-KCNJ10; NRAS mut,CCLE2,14/8/2010,,,,mgo3IQ==,,,,,,,,,,,2697996118
1356,CDS-Fm81Sq,ACH-001106,1,,,KOPN8,PT-DtWi0a1e,CVCL_1866,,gs://cclebams/hybrid_capture/KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,0.25,haematopoietic_and_lymphoid_tissue,Leukemia,ALL,b_cell,blood,,,hybrid_capture,,,CCLE line,CCLE2,27/7/2010,,,,aUvHdw==,,,,,,,,,,,1504510077
1357,CDS-DnIcY4,ACH-000345,1,,,KPNRTBM1,PT-OxrdJ2yJ,CVCL_1339,,gs://cclebams/hybrid_capture/KP-N-RT-BM-1.merged.bam,gs://cclebams/hybrid_capture/KP-N-RT-BM-1.merged.bai,,Female,,1,bone_marrow,Neuroblastoma,neuroblastoma,,peripheral_nervous_system,,,hybrid_capture,,,CCLE line; MYCN amp; adrenergic; 1p -,CCLE2,18/1/2011,,,,boookA==,,,,,,,,,,,8654954280
1358,CDS-UZXz3W,ACH-001108,1,,,KP1NL,PT-5xYdQU9u,CVCL_3003,,gs://cclebams/hybrid_capture/KP1NL_PANCREAS.bam,gs://cclebams/hybrid_capture/KP1NL_PANCREAS.bai,ACH-001107,Male,,69.0,pancreas,Pancreatic Cancer,exocrine,exocrine_adenocarcinoma,pancreas,,,hybrid_capture,,,"CCLE line; Identical lines: PANC-1, KP-1N and KP-1NL share high SNP identity",CCLE2,1/7/2010,,,,cy4UoQ==,,,,,,,,,,,2657926121
1359,CDS-7XSwLb,ACH-001107,1,,,KP1N,PT-5xYdQU9u,CVCL_3002,,gs://cclebams/hybrid_capture/KP1N_PANCREAS.bam,gs://cclebams/hybrid_capture/KP1N_PANCREAS.bai,,Male,,69.0,pancreas,Pancreatic Cancer,exocrine,exocrine_adenocarcinoma,pancreas,,,hybrid_capture,,,"CCLE line; Identical lines: PANC-1, KP-1N and KP-1NL share high SNP identity",CCLE2,14/8/2010,,,,S2CENw==,,,,,,,,,,,2955269306
1360,CDS-ECtjCb,ACH-000281,1,,,KP2,PT-5e1AxTKo,CVCL_3004,,gs://cclebams/hybrid_capture/KP2_PANCREAS.bam,gs://cclebams/hybrid_capture/KP2_PANCREAS.bai,,Female,,65.0,pancreas,Pancreatic Cancer,exocrine,exocrine_adenocarcinoma,pancreas,,,hybrid_capture,,,CCLE line; moderately differentiated tubular Adenocarcinoma,CCLE2,23/7/2010,,,,VzXJ9Q==,,,,,,,,,,,2255491242
1361,CDS-G6N7nc,ACH-000108,1,,,KP3,PT-OUwOH1XJ,CVCL_3005,,gs://cclebams/hybrid_capture/KP3_PANCREAS.bam,gs://cclebams/hybrid_capture/KP3_PANCREAS.bai,,Male,,75.0,liver,Pancreatic Cancer,exocrine,exocrine_adenosquamous,pancreas,,,hybrid_capture,,,CCLE line,CCLE2,7/7/2010,,,,r2a7Qg==,,,,,,,,,,,1823425416
1362,CDS-Ht1drK,ACH-000265,1,,,KP4,PT-tRqaZhtD,CVCL_1338,,gs://cclebams/hybrid_capture/KP4_PANCREAS.bam,gs://cclebams/hybrid_capture/KP4_PANCREAS.bai,,Male,,50.0,ascites,Pancreatic Cancer,exocrine,exocrine_adenocarcinoma,pancreas,,,hybrid_capture,,,CCLE line,CCLE2,14/8/2010,,,,s0Q6Aw==,,,,,,,,,,,2705153871
1363,CDS-lBKCmM,ACH-000028,1,,,KPL1,PT-sXMhYTOF,CVCL_2094,,gs://cclebams/hybrid_capture/KPL1_BREAST.bam,gs://cclebams/hybrid_capture/KPL1_BREAST.bai,,Female,,50.0,pleural_effusion,Breast Cancer,breast_carcinoma,ERpos_HER2neg,breast,,,hybrid_capture,,,CCLE line; ERpos; Identical lines: MCF-7 and KPL-1 share high SNP identity; luminal,CCLE2,12/8/2010,,,,Czz4TQ==,,,,,,,,,,,3347210390
1364,CDS-l8AjUp,ACH-000446,1,,,KPNSI9S,PT-aoTHET1q,CVCL_1340,,gs://cclebams/hybrid_capture/KPNSI9S_AUTONOMIC_GANGLIA.bam,gs://cclebams/hybrid_capture/KPNSI9S_AUTONOMIC_GANGLIA.bai,,Male,,5,autonomic_ganglia,Neuroblastoma,neuroblastoma,,peripheral_nervous_system,,,hybrid_capture,,,CCLE line; MYCN WT; mesenchymal; 1p -,CCLE2,26/7/2010,,,,wQ8JNg==,,,,,,,,,,,2323975097
1365,CDS-pIrwLO,ACH-000227,1,,,KPNYN,PT-WUkssTww,CVCL_1341,,gs://cclebams/hybrid_capture/KPNYN_AUTONOMIC_GANGLIA.bam,gs://cclebams/hybrid_capture/KPNYN_AUTONOMIC_GANGLIA.bai,,Male,,2.0,lymph_node,Neuroblastoma,neuroblastoma,,peripheral_nervous_system,,,hybrid_capture,,,CCLE line; MYCN amp; adrengenic; 1p -,CCLE2,29/7/2010,,,,S1HXRg==,,,,,,,,,,,1934473142
1366,CDS-vSfhqJ,ACH-000631,1,,,KS1,PT-FlC8aOtt,CVCL_1343,,gs://cclebams/hybrid_capture/KS1_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/KS1_CENTRAL_NERVOUS_SYSTEM.bai,,Female,,45,central_nervous_system,Brain Cancer,glioma,astrocytoma,central_nervous_system,,,hybrid_capture,,,CCLE line,CCLE2,5/1/2010,,,,cZFxcA==,,,,,,,,,,,6946769961
1367,CDS-Grpg3D,ACH-000486,1,,,KU1919,PT-yhuKSef7,CVCL_1344,,gs://cclebams/hybrid_capture/KU1919_URINARY_TRACT.bam,gs://cclebams/hybrid_capture/KU1919_URINARY_TRACT.bai,,Male,,76.0,urinary_tract,Bladder Cancer,bladder_carcinoma,bladder_transitional_cell,urinary_tract,,,hybrid_capture,,,CCLE line,CCLE2,4/8/2010,,,,1er2CQ==,,,,,,,,,,,1624679705
1368,CDS-nH8JrF,ACH-000074,1,,,KU812,PT-RATcQfyT,CVCL_0379,,gs://cclebams/hybrid_capture/KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Male,,38.0,haematopoietic_and_lymphoid_tissue,Leukemia,CML,blast_crisis,blood,,,hybrid_capture,,,CCLE line,CCLE2,24/7/2010,,,,Ijp0Zg==,,,,,,,,,,,2177390307
1369,CDS-W0PHi5,ACH-000524,1,,,KURAMOCHI,PT-5P575hpS,CVCL_1345,,gs://cclebams/hybrid_capture/KURAMOCHI_OVARY.bam,gs://cclebams/hybrid_capture/KURAMOCHI_OVARY.bai,,Female,,U,ascites,Ovarian Cancer,ovary_adenocarcinoma,high_grade_serous,ovary,,,hybrid_capture,,,CCLE line; High grade ovarian serous adenocarcinoma,CCLE2,28/6/2010,,,,UHaPuw==,,,,,,,,,,,1770474671
1370,CDS-g5OeJX,ACH-000607,1,,,KYM1,PT-PPeJmW39,CVCL_3007,,gs://cclebams/hybrid_capture/KYM1_SOFT_TISSUE.bam,gs://cclebams/hybrid_capture/KYM1_SOFT_TISSUE.bai,,Male,,1.0,soft_tissue,Rhabdoid,malignant_rhabdoid_tumor,,soft_tissue,,,hybrid_capture,,,CCLE line,CCLE2,23/6/2010,,,,HMBa5g==,,,,,,,,,,,2513566332
1371,CDS-qUZyRh,ACH-000604,1,,,KYO1,PT-55Cbpjyw,CVCL_2095,,gs://cclebams/hybrid_capture/KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Male,,22.0,haematopoietic_and_lymphoid_tissue,Leukemia,CML,blast_crisis,blood,,,hybrid_capture,,,CCLE line,CCLE2,4/8/2010,,,,p9vmgQ==,,,,,,,,,,,2458394161
1372,CDS-qUHPaG,ACH-000823,1,,,KYSE140,PT-enEXRRgJ,CVCL_1347,,gs://cclebams/hybrid_capture/KYSE140_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE140_OESOPHAGUS.bai,,Male,,54.0,oesophagus,Esophageal Cancer,esophagus_squamous,,esophagus,,,hybrid_capture,,,CCLE line,CCLE2,7/7/2010,,,,bnHPWw==,,,,,,,,,,,1783768337
1373,CDS-qvtv8G,ACH-000855,1,,,KYSE150,PT-VB14i1xy,CVCL_1348,,gs://cclebams/hybrid_capture/KYSE150_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE150_OESOPHAGUS.bai,,Female,,49.0,oesophagus,Esophageal Cancer,esophagus_squamous,,esophagus,,,hybrid_capture,,,CCLE line,CCLE2,28/7/2010,,,,shWR+g==,,,,,,,,,,,2178878605
1374,CDS-pmbBhT,ACH-000693,1,,,KYSE180,PT-Sj4lntYW,CVCL_1349,,gs://cclebams/hybrid_capture/KYSE180_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE180_OESOPHAGUS.bai,,Male,,53.0,oesophagus,Esophageal Cancer,esophagus_squamous,,esophagus,,,hybrid_capture,,,CCLE line,CCLE2,12/7/2010,,,,D6pX9w==,,,,,,,,,,,2199276305
1375,CDS-3Y9isP,ACH-000873,1,,,KYSE270,PT-H7PSfd2l,CVCL_1350,,gs://cclebams/hybrid_capture/KYSE270_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE270_OESOPHAGUS.bai,,Male,,79.0,oesophagus,Esophageal Cancer,esophagus_squamous,,esophagus,,,hybrid_capture,,,CCLE line,CCLE2,4/8/2010,,,,aFZjfQ==,,,,,,,,,,,1661997622
1376,CDS-u5QZcT,ACH-000777,1,,,KYSE30,PT-uG2qs581,CVCL_1351,,gs://cclebams/hybrid_capture/KYSE30_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE30_OESOPHAGUS.bai,,Male,,64.0,oesophagus,Esophageal Cancer,esophagus_squamous,,esophagus,,,hybrid_capture,,,CCLE line,CCLE2,5/1/2010,,,,mjL7tA==,,,,,,,,,,,7452118219
1377,CDS-QkJebv,ACH-000809,1,,,KYSE410,PT-bwQsRxMO,CVCL_1352,,gs://cclebams/hybrid_capture/KYSE410_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE410_OESOPHAGUS.bai,,Male,,51.0,oesophagus,Esophageal Cancer,esophagus_squamous,,esophagus,,,hybrid_capture,,,CCLE line,CCLE2,26/6/2010,,,,QSv8iQ==,,,,,,,,,,,2082470077
1378,CDS-t73OgQ,ACH-000865,1,,,KYSE450,PT-gk9B8iHf,CVCL_1353,,gs://cclebams/hybrid_capture/KYSE450_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE450_OESOPHAGUS.bai,,Male,,59.0,oesophagus,Esophageal Cancer,esophagus_squamous,,esophagus,,,hybrid_capture,,,CCLE line,CCLE2,7/7/2010,,,,u8keLA==,,,,,,,,,,,1900538961
1379,CDS-iMOuIR,ACH-000824,1,,,KYSE510,PT-QrR159W7,CVCL_1354,,gs://cclebams/hybrid_capture/KYSE510_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE510_OESOPHAGUS.bai,,Female,,67.0,oesophagus,Esophageal Cancer,esophagus_squamous,,esophagus,,,hybrid_capture,,,CCLE line,CCLE2,23/7/2010,,,,YLMw0A==,,,,,,,,,,,1712511925
1380,CDS-wEmveF,ACH-000637,1,,,KYSE520,PT-o7zROzM0,CVCL_1355,,gs://cclebams/hybrid_capture/KYSE520_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE520_OESOPHAGUS.bai,,Female,,58.0,oesophagus,Esophageal Cancer,esophagus_squamous,,esophagus,,,hybrid_capture,,,CCLE line,CCLE2,14/8/2010,,,,iew8aw==,,,,,,,,,,,2856480712
1381,CDS-cgMK0b,ACH-000784,1,,,KYSE70,PT-33F2fBUW,CVCL_1356,,gs://cclebams/hybrid_capture/KYSE70_OESOPHAGUS.bam,gs://cclebams/hybrid_capture/KYSE70_OESOPHAGUS.bai,,Male,,77.0,oesophagus,Esophageal Cancer,esophagus_squamous,,esophagus,,,hybrid_capture,,,CCLE line,CCLE2,13/7/2010,,,,09/IYA==,,,,,,,,,,,1296482011
1382,CDS-EK9Lyo,ACH-000702,1,,,L1236,PT-HtTbKpFu,CVCL_2096,,gs://cclebams/hybrid_capture/L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Male,,34.0,haematopoietic_and_lymphoid_tissue,Lymphoma,hodgkin_lymphoma,,lymphocyte,,,hybrid_capture,,,CCLE line,CCLE2,22/7/2010,,,,MuHv1A==,,,,,,,,,,,1918038912
1383,CDS-fUXDha,ACH-000685,1,,,L33,PT-QUHeEgi8,CVCL_8147,,gs://cclebams/hybrid_capture/L33_PANCREAS.bam,gs://cclebams/hybrid_capture/L33_PANCREAS.bai,,Female,,77,lymph_node,Pancreatic Cancer,exocrine,exocrine_adenosquamous,pancreas,,,hybrid_capture,,,exocrine adenosquamous carcinoma; Received from CCLE; originally academic lab,CCLE2,25/6/2010,,,,EpUaew==,,,,,,,,,,,2619645950
1384,CDS-crg4I4,ACH-000183,1,,,L363,PT-ShYwFUzy,CVCL_1357,,gs://cclebams/hybrid_capture/L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,36.0,haematopoietic_and_lymphoid_tissue,Myeloma,multiple_myeloma,,plasma_cell,,,hybrid_capture,,,CCLE line,CCLE2,8/8/2010,,,,m3Tdtw==,,,,,,,,,,,1824752016
1385,CDS-c2rtxi,ACH-000754,1,,,L428,PT-wRLL1JnK,CVCL_1361,,gs://cclebams/hybrid_capture/L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,37.0,pleural_effusion,Lymphoma,hodgkin_lymphoma,,lymphocyte,,,hybrid_capture,,,CCLE line,CCLE2,22/7/2010,,,,KtLrgg==,,,,,,,,,,,2358593312
1386,CDS-Skkpa8,ACH-000806,1,,,L540,PT-WffTNOjN,CVCL_1362,,gs://cclebams/hybrid_capture/L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,20.0,bone_marrow,Lymphoma,hodgkin_lymphoma,,lymphocyte,,,hybrid_capture,,,CCLE line,CCLE2,27/7/2010,,,,xVH0Ag==,,,,,,,,,,,1707151604
1387,CDS-zQwFUY,ACH-000301,1,,,LAMA84,PT-6srSkj6O,CVCL_0388,,gs://cclebams/hybrid_capture/LAMA-84.bam,gs://cclebams/hybrid_capture/LAMA-84.bai,,Female,,29.0,haematopoietic_and_lymphoid_tissue,Leukemia,CML,blast_crisis,blood,,,hybrid_capture,,,CCLE line,CCLE2,10/1/2012,,,,LWTKCQ==,,,,,,,,,,,2584811590
1388,CDS-5zh1TT,ACH-000705,1,,,LC1F,PT-YXSld526,CVCL_1372,,gs://cclebams/hybrid_capture/LC1F_LUNG.bam,gs://cclebams/hybrid_capture/LC1F_LUNG.bai,,Male,,69.0,lung,Lung Cancer,NSCLC,NSCLC_squamous,lung,,,hybrid_capture,,,CCLE line; LC-1-sq &amp; LC-1F derived from same patient (Riken).,CCLE2,8/8/2010,,,,UnzZPA==,,,,,,,,,,,2018593414
1389,CDS-6rH1Uo,ACH-001113,1,,,LC1SQSF,PT-YXSld526,CVCL_5480,,gs://cclebams/hybrid_capture/LC1SQSF_LUNG.bam,gs://cclebams/hybrid_capture/LC1SQSF_LUNG.bai,,Male,,69.0,lung,Lung Cancer,NSCLC,NSCLC_squamous,lung,,,hybrid_capture,,,CCLE line; Identical lines: LC-1/sq-SF and LC-1F share high SNP identity,CCLE2,2/9/2010,,,,p9658A==,,,,,,,,,,,2580287837
1390,CDS-fXEf8R,ACH-000627,1,,,LCLC103H,PT-9haAreJk,CVCL_1375,,gs://cclebams/hybrid_capture/LCLC103H_LUNG.bam,gs://cclebams/hybrid_capture/LCLC103H_LUNG.bai,,Male,,61.0,pleural_effusion,Lung Cancer,NSCLC,NSCLC_large_cell,lung,,,hybrid_capture,,,CCLE line,CCLE2,29/7/2010,,,,T/Bz7Q==,,,,,,,,,,,2032128314
1391,CDS-oaSBei,ACH-000596,1,,,LCLC97TM1,PT-MgrYS90q,CVCL_1376,,gs://cclebams/hybrid_capture/LCLC97TM1_LUNG.bam,gs://cclebams/hybrid_capture/LCLC97TM1_LUNG.bai,,Male,,44.0,lung,Lung Cancer,NSCLC,NSCLC_large_cell,lung,,,hybrid_capture,,,CCLE line,CCLE2,23/8/2010,,,,SOI/kQ==,,,,,,,,,,,2793310854
1392,CDS-c7bFKt,ACH-000471,1,,,LI7,PT-vruNvPAR,CVCL_3840,,gs://cclebams/hybrid_capture/LI7_LIVER.bam,gs://cclebams/hybrid_capture/LI7_LIVER.bai,,Male,,45.0,liver,Liver Cancer,,,liver,,,hybrid_capture,,,CCLE line; hepatocellular_carcinoma,CCLE2,23/11/2010,,,,OrrZhg==,,,,,,,,,,,6444237332
