Adult/Pediatric,Alias,CCLE Name,CCLF Age,CCLF Gender,CDDB Registration Id,COSMIC.ID,Cell Line Name,Comments,Date Created,Date Last Modified,ELN Pages,MTA Terms,Original Source,Part of Genentech Project (Y/N),Part of PRISM,Part of Project Drive,Past CCLE names,Primary Disease,Primary Hist,Primary/Metastasis,Program,Projects,PubID,RRID,Sample Collection Site,Sanger Model ID,Sharing Terms,Stripped Cell Line Name,Subtype,User Created,User Last Modified,WTSI Master Cell ID,arxspan_id,depmap_disease,depmap_disease_subtype,depmap_molecular_subtype,depmap_public_comments,depmap_tissue
Adult,,TE15_OESOPHAGUS,,Female,CDDB:001189,753614,TE-15,CCLE line,09/23/2015 12:56:00 PM,11/20/2019 04:58:33 PM,[{'ACH-000353-00': []}],,RIKEN,,PRN300,,,Esophageal Cancer,carcinoma,Primary,CCLE,[],,CVCL_1763,oesophagus,SIDM00249,,TE15,Squamous Cell Carcinoma,Arxspan Support,Emily Chambers,575,ACH-000353,esophagus_squamous,,,,esophagus
Adult,,CAPAN1_PANCREAS,40,Male,CDDB:000128,753624,Capan-1,CCLE line,09/23/2015 12:56:00 PM,11/20/2019 04:55:39 PM,[{'ACH-000354-00': []}],,ATCC,,,,,Pancreatic Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_0237,liver,SIDM00934,,CAPAN1,"Ductal Adenocarcinoma, exocrine",Arxspan Support,Emily Chambers,641,ACH-000354,exocrine,exocrine_adenocarcinoma,,,pancreas
Adult,,NCIH82_LUNG,41,Male,CDDB:155288,688031,NCI-H82,CCLE line,09/23/2015 12:56:01 PM,11/20/2019 04:55:39 PM,[{'ACH-000355-00': []}],,ATCC,,PRN300,,,Lung Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1591,pleural_effusion,SIDM01131,,NCIH82,Small Cell Lung Cancer (SCLC),Arxspan Support,Emily Chambers,1545,ACH-000355,SCLC,,,,lung
Adult,,MKN45_STOMACH,62,Female,CDDB:000683,925340,MKN-45,CCLE line; Diffuse gastric cancer,09/23/2015 12:56:02 PM,11/20/2019 04:57:58 PM,[{'ACH-000356-00': []}],,HSRRB,,P500,,,Gastric Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_0434,liver,SIDM00247,,MKN45,Adenocarcinoma,Arxspan Support,Emily Chambers,1542,ACH-000356,gastric_adenocarcinoma,diffuse_gastric,,,gastric
Adult,,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,78,Female,CDDB:000484,1327765,JeKo-1,CCLE line,09/23/2015 12:56:03 PM,11/20/2019 04:57:06 PM,[{'ACH-000357-00': []}],,DSMZ,,PRN300,,,Lymphoma,lymphoid_neoplasm,,CCLE,[],,CVCL_1865,haematopoietic_and_lymphoid_tissue,SIDM01038,,JEKO1,"B-cell, Non-Hodgkins, Mantle Cell",Arxspan Support,Emily Chambers,2118,ACH-000357,non_hodgkin_lymphoma,b_cell_mantle_cell,,,lymphocyte
Adult,,NCIH69_LUNG,55,Male,CDDB:128006,688027,NCI-H69,CCLE line,09/23/2015 12:56:04 PM,11/20/2019 04:55:39 PM,[{'ACH-000358-00': []}],,ATCC,,,,,Lung Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1579,pleural_effusion,SIDM01121,,NCIH69,Small Cell Lung Cancer (SCLC),Arxspan Support,Emily Chambers,1016,ACH-000358,SCLC,,,,lung
Pediatric,,MG63_BONE,14,Male,CDDB:000673,908131,MG-63,CCLE line,09/23/2015 12:56:05 PM,11/20/2019 04:55:39 PM,[{'ACH-000359-00': []}],,ATCC,,PRN300 and P500,,,Bone Cancer,osteosarcoma,Primary,CCLE,[],,CVCL_0426,bone,SIDM00525,,MG63,Osteosarcoma,Arxspan Support,Emily Chambers,2170,ACH-000359,osteosarcoma,,,,bone
Adult,,NCIH508_LARGE_INTESTINE,55,Male,CDDB:128003,908442,NCI-H508,CCLE line,09/23/2015 12:56:06 PM,11/20/2019 04:55:39 PM,[{'ACH-000360-00': []}],,ATCC,,PRN300,,,Colon/Colorectal Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1564,abdomen,SIDM00777,,NCIH508,Caecum Adenocarcinoma,Arxspan Support,Emily Chambers,35,ACH-000360,caecum_adenocarcinoma,,,,colorectal
Adult,,SKHEP1_LIVER,52,Male,CDDB:001036,909719,SK-HEP-1,CCLE line,09/23/2015 12:56:07 PM,11/20/2019 04:55:40 PM,[{'ACH-000361-00': []}],-1,ATCC,-1,P500,-1,,Liver Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_0525,ascites,SIDM01110,,SKHEP1,Hepatocellular Carcinoma,Arxspan Support,Emily Chambers,874,ACH-000361,hepatocellular_carcinoma,,,,liver
Pediatric,,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,20,Male,CDDB:000692,1330947,MOLM-13,CCLE line; MLL-AF9; p53 mut; RAS WT; FLT3 dependent in SH data,09/23/2015 12:56:07 PM,11/20/2019 04:57:06 PM,[{'ACH-000362-00': []}],,DSMZ,,PRN300,,,Leukemia,haematopoietic_neoplasm,Primary,CCLE,[],,CVCL_2119,haematopoietic_and_lymphoid_tissue,SIDM00437,,MOLM13,Acute Myelogenous Leukemia (AML),Arxspan Support,Emily Chambers,747,ACH-000362,AML,,,,blood
Adult,,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,54,Male,CDDB:001050,753612,SK-MM-2,CCLE line,09/23/2015 12:56:08 PM,11/20/2019 04:57:06 PM,[{'ACH-000363-00': []}],,DSMZ,,PRN300,,,Myeloma,lymphoid_neoplasm,Primary,CCLE,[],,CVCL_1699,haematopoietic_and_lymphoid_tissue,SIDM00391,,SKMM2,Multiple Myeloma,Arxspan Support,Emily Chambers,1003,ACH-000363,multiple_myeloma,,,,plasma_cell
Pediatric,"U2-OS, U-2 OS",U2OS_BONE,15,Female,CDDB:001226,909776,U-2 OS,CCLE line,09/23/2015 12:56:09 PM,11/20/2019 04:55:40 PM,[{'ACH-000364-00': []}],,ATCC,,PRN300 and P500,,,Bone Cancer,osteosarcoma,Primary,CCLE,[],,CVCL_0042,bone,SIDM01191,,U2OS,Osteosarcoma,Arxspan Support,Emily Chambers,1145,ACH-000364,osteosarcoma,,,,bone
Adult,,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,38,Male,CDDB:001141,1331035,SU-DHL-4,CCLE line,09/23/2015 12:56:10 PM,11/20/2019 04:57:06 PM,[{'ACH-000365-00': []}],,DSMZ,,,,,Lymphoma,lymphoid_neoplasm,Metastasis,CCLE,[],,CVCL_0539,pleural_effusion,SIDM00405,,SUDHL4,Diffuse Large B-cell Lymphoma (DLBCL),Arxspan Support,Emily Chambers,1450,ACH-000365,non_hodgkin_lymphoma,DLBCL,,,lymphocyte
Pediatric,,SKNDZ_AUTONOMIC_GANGLIA,2,Female,CDDB:001053,688086,SK-N-DZ,CCLE line; MYCN amp; adrenergic; 1p normal,09/23/2015 12:56:11 PM,11/20/2019 04:55:40 PM,[{'ACH-000366-00': []}],,ATCC,,PRN300,,,Neuroblastoma,neuroblastoma,Metastasis,CCLE,[],,CVCL_1701,bone_marrow,SIDM01100,,SKNDZ,,Arxspan Support,Emily Chambers,867,ACH-000366,neuroblastoma,,MYCN_amp,,peripheral_nervous_system
Adult,,NCIH226_LUNG,,Male,CDDB:155297,905941,NCI-H226,CCLE line,09/23/2015 12:56:12 PM,11/20/2019 04:55:40 PM,[{'ACH-000367-00': []}],,ATCC,,P500,,,Lung Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1544,pleural_effusion,SIDM00139,,NCIH226,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",Arxspan Support,Emily Chambers,1221,ACH-000367,NSCLC,NSCLC_squamous,,,lung
Adult,,SNU1105_CENTRAL_NERVOUS_SYSTEM,61,Male,CDDB:001083,,SNU-1105,CCLE line,09/23/2015 12:56:12 PM,11/20/2019 04:58:20 PM,[{'ACH-000368-00': []}],,KCLB,,P500,,,Brain Cancer,glioma,Primary,CCLE,[],,CVCL_5010,central_nervous_system,,,SNU1105,Glioblastoma,Arxspan Support,Emily Chambers,,ACH-000368,glioma,glioblastoma,,,central_nervous_system
Adult,,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,77,Female,CDDB:000693,1330948,MOLM-16,CCLE line,09/23/2015 12:56:13 PM,11/20/2019 04:57:06 PM,[{'ACH-000369-00': []}],,DSMZ,,PRN300,,,Leukemia,haematopoietic_neoplasm,,CCLE,[],,CVCL_2120,haematopoietic_and_lymphoid_tissue,SIDM00435,,MOLM16,Acute Myelogenous Leukemia (AML),Arxspan Support,Emily Chambers,1229,ACH-000369,AML,,,,blood
Adult,,SNU626_CENTRAL_NERVOUS_SYSTEM,65,Male,CDDB:001117,,SNU-626,CCLE line,09/23/2015 12:56:14 PM,11/20/2019 04:58:20 PM,[{'ACH-000370-00': []}],,KCLB,,,,,Brain Cancer,glioma,,CCLE,[],,CVCL_5080,central_nervous_system,,,SNU626,Glioblastoma,Arxspan Support,Emily Chambers,,ACH-000370,glioma,glioblastoma,,,central_nervous_system
Adult,,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,52,Male,CDDB:000980,910861,RL,CCLE line,09/23/2015 12:56:15 PM,11/20/2019 04:55:40 PM,[{'ACH-000371-00': []}],,ATCC,,PRN300,,,Lymphoma,lymphoid_neoplasm,,CCLE,[],,CVCL_1660,ascites,SIDM01089,,RL,"B-cell, Non-Hodgkins",Arxspan Support,Emily Chambers,1273,ACH-000371,non_hodgkin_lymphoma,b_cell,,,lymphocyte
Adult,,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,7,Male,CDDB:000917,909251,P12-ICHIKAWA,CCLE line,09/23/2015 12:56:16 PM,11/20/2019 04:57:07 PM,[{'ACH-000372-00': []}],,DSMZ,,PRN300,,,Leukemia,lymphoid_neoplasm,,CCLE,[],,CVCL_1630,haematopoietic_and_lymphoid_tissue,SIDM00463,,P12ICHIKAWA,"Acute Lymphoblastic Leukemia (ALL), T-cell",Arxspan Support,Emily Chambers,2153,ACH-000372,ALL,t_cell,,,blood
Pediatric,,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,76,Male,CDDB:001039,909722,SKM-1,CCLE line; no known fusion; p53 mut; KRAS mut; EZH2 mut,09/23/2015 12:56:16 PM,11/20/2019 04:57:58 PM,[{'ACH-000373-00': []}],,HSRRB,,PRN300,,,Leukemia,haematopoietic_neoplasm,Primary,CCLE,[],,CVCL_0098,haematopoietic_and_lymphoid_tissue,SIDM00380,,SKM1,Acute Myelogenous Leukemia (AML),Arxspan Support,Emily Chambers,304,ACH-000373,AML,,,,blood
Adult,,HCC1143_BREAST,52,Female,CDDB:000295,749710,HCC1143,CCLE line; basal; TNBC,09/23/2015 12:56:17 PM,11/20/2019 04:55:40 PM,[{'ACH-000374-00': []}],,ATCC,,P500,,,Breast Cancer,carcinoma,Primary,CCLE,[],,CVCL_1245,breast,SIDM00866,,HCC1143,Breast Ductal Carcinoma,Arxspan Support,Emily Chambers,1316,ACH-000374,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,,breast
Pediatric,,G402_SOFT_TISSUE,0.75,Female,CDDB:000265,907298,G-402,Renal Leiomyoblastoma,09/23/2015 12:56:18 PM,11/19/2019 01:37:14 PM,[{'ACH-000375-00': []}],,ATCC,,PRN300 and P500,,,Kidney Cancer,Rhabdoid_tumour,Primary,CCLE,[],,CVCL_1221,kidney,SIDM00855,,G402,Renal Leiomyoblastoma,Arxspan Support,Emily Chambers,1089,ACH-000375,malignant_rhabdoid_tumor,renal_leiomyoblastoma,,,soft_tissue
Adult,,SF295_CENTRAL_NERVOUS_SYSTEM,67,Female,CDDB:001018,905985,SF-295,CCLE line,09/23/2015 12:56:19 PM,11/20/2019 04:58:28 PM,[{'ACH-000376-00': []}],,NCI/DCTD,,P500,,,Brain Cancer,glioma,Primary,CCLE,[],,CVCL_1690,central_nervous_system,SIDM00084,,SF295,Glioblastoma,Arxspan Support,Emily Chambers,1164,ACH-000376,glioma,glioblastoma,,,central_nervous_system
Adult,,SNU478_BILIARY_TRACT,,Unknown,CDDB:001109,,SNU-478,CCLE line,09/23/2015 12:56:20 PM,11/21/2019 11:49:09 AM,[{'ACH-000377-00': []}],,KCLB,,PRN300,,,Bile Duct Cancer,carcinoma,,CCLE,[],,CVCL_5065,biliary_tract,SIDM00160,,SNU478,"Cholangiocarcinoma, extrahepatic",Arxspan Support,Emily Chambers,,ACH-000377,cholangiocarcinoma,extrahepatic,,,bile_duct
Adult,,NCIH647_LUNG,56,Male,CDDB:155339,1240191,NCI-H647,CCLE line,09/23/2015 12:56:20 PM,11/20/2019 04:55:40 PM,[{'ACH-000378-00': []}],,ATCC,,PRN300,,,Lung Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1574,pleural_effusion,SIDM01125,,NCIH647,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",Arxspan Support,Emily Chambers,955,ACH-000378,NSCLC,NSCLC_adenosquamous,,,lung
Adult,,NCIH1781_LUNG,66,Female,CDDB:155448,1298350,NCI-H1781,CCLE line,09/23/2015 12:56:21 PM,11/20/2019 04:55:41 PM,[{'ACH-000379-00': []}],,ATCC,,,,,Lung Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1494,pleural_effusion,SIDM00754,,NCIH1781,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Arxspan Support,Emily Chambers,2228,ACH-000379,NSCLC,NSCLC_adenocarcinoma,,,lung
Adult,,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,64,Female,CDDB:000546,907281,KMS-12-BM,CCLE line,09/23/2015 12:56:22 PM,11/20/2019 04:57:07 PM,[{'ACH-000380-00': []}],,DSMZ,,PRN300,,,Myeloma,lymphoid_neoplasm,Primary,CCLE,[],,CVCL_1334,bone_marrow,SIDM01020,,KMS12BM,Multiple Myeloma,Arxspan Support,Emily Chambers,2087,ACH-000380,multiple_myeloma,,,,plasma_cell
Adult,,T84_LARGE_INTESTINE,72,Male,CDDB:001176,909761,T84,CCLE line,09/23/2015 12:56:23 PM,11/20/2019 04:55:41 PM,[{'ACH-000381-00': []}],,ATCC,,PRN300,,,Colon/Colorectal Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_0555,lung,SIDM00782,,T84,Adenocarcinoma,Arxspan Support,Emily Chambers,997,ACH-000381,colorectal_adenocarcinoma,,,,colorectal
Adult,,CORL24_LUNG,71,Male,CDDB:000176,,COR-L24,CCLE line,09/23/2015 12:56:24 PM,11/20/2019 04:57:28 PM,[{'ACH-000382-00': []}],,ECACC,,,,,Lung Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_2409,lymph_node,,,CORL24,Small Cell Lung Cancer (SCLC),Arxspan Support,Emily Chambers,,ACH-000382,SCLC,,,,lung
Adult,,OE33_OESOPHAGUS,73,Female,CDDB:000896,910549,OE33,CCLE line,09/23/2015 12:56:25 PM,11/20/2019 04:57:53 PM,[{'ACH-000383-00': []}],,HPACC,,P500,,,Esophageal Cancer,other,Primary,CCLE,[],,CVCL_0471,oesophagus,SIDM00477,,OE33,Adenocarcinoma,Arxspan Support,Emily Chambers,1554,ACH-000383,esophagus_adenocarcinoma,,,,esophagus
Adult,,SW780_URINARY_TRACT,80,Female,CDDB:001167,687457,SW 780,CCLE line,09/23/2015 12:56:25 PM,11/20/2019 04:55:41 PM,[{'ACH-000384-00': []}],,ATCC,,P500,,,Bladder Cancer,carcinoma,Primary,CCLE,[],,CVCL_1728,urinary_tract,SIDM01160,,SW780,Transitional Cell Carcinoma,Arxspan Support,Emily Chambers,2039,ACH-000384,bladder_carcinoma,bladder_transitional_cell,,,urinary_tract
Adult,,SKRC20_KIDNEY,,Unknown,CDDB:001060,,SK-RC-20,"Received from Academic lab (Bill Kaelin, DFCI)",09/23/2015 12:56:26 PM,11/21/2019 11:49:09 AM,[{'ACH-000385-00': []}],,Academic lab,,,,,Kidney Cancer,carcinoma,,Appendix,[],,CVCL_V605,kidney,,,SKRC20,Renal Cell Carcinoma,Arxspan Support,Emily Chambers,,ACH-000385,renal_cell_carcinoma,,,,kidney
Pediatric,,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,59,Male,CDDB:000529,907278,KG-1,CCLE line; OP2-FGFR1; p53 mut; RAS WT,09/23/2015 12:56:27 PM,11/20/2019 04:55:41 PM,[{'ACH-000386-00': []}],,ATCC,,,,,Leukemia,haematopoietic_neoplasm,Primary,CCLE,[],,CVCL_0374,bone_marrow,SIDM00785,,KG1,Acute Myelogenous Leukemia (AML),Arxspan Support,Emily Chambers,193,ACH-000386,AML,,,,blood
Adult,,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,35,Male,CDDB:001199,,TF-1,CCLE line; M6; no known fusion; p53 mut; NRAS mut; EVI high,09/23/2015 12:56:28 PM,11/20/2019 04:55:41 PM,[{'ACH-000387-00': []}],,ATCC,,PRN300,,,Leukemia,haematopoietic_neoplasm,,CCLE,[],,CVCL_0559,bone_marrow,,,TF1,Acute Myelogenous Leukemia (AML),Arxspan Support,Emily Chambers,,ACH-000387,AML,,,,blood
Adult,,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,73,Male,CDDB:000874,,NU-DHL-1,CCLE line,09/23/2015 12:56:29 PM,11/20/2019 04:57:07 PM,[{'ACH-000388-00': []}],,DSMZ,,PRN300,,,Lymphoma,lymphoid_neoplasm,Metastasis,CCLE,[],,CVCL_1876,lymph_node,,,NUDHL1,Diffuse Large B-cell Lymphoma (DLBCL),Arxspan Support,Emily Chambers,,ACH-000388,non_hodgkin_lymphoma,DLBCL,,,lymphocyte
Adult,,H4_CENTRAL_NERVOUS_SYSTEM,37,Male,CDDB:000291,907042,H4,CCLE line,09/23/2015 12:56:29 PM,11/20/2019 04:55:41 PM,[{'ACH-000389-00': []}],,ATCC,,P500,,,Brain Cancer,glioma,Primary,CCLE,[],,CVCL_1239,central_nervous_system,SIDM00852,,H4,Glioma,Arxspan Support,Emily Chambers,1244,ACH-000389,glioma,,,,central_nervous_system
Adult,,LUDLU1_LUNG,72,Male,CDDB:000635,,LUDLU-1,CCLE line,09/23/2015 12:56:30 PM,11/20/2019 04:57:28 PM,[{'ACH-000390-00': []}],-1,ECACC,-1,P500,-1,,Lung Cancer,carcinoma,Primary,CCLE,[],,CVCL_2582,lung,,,LUDLU1,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",Arxspan Support,Emily Chambers,,ACH-000390,NSCLC,NSCLC_squamous,,,lung
Pediatric,,MHHES1_BONE,12,Male,CDDB:000677,908134,MHH-ES-1,CCLE line; (RNAseq) EWS/FLI,09/23/2015 12:56:31 PM,11/20/2019 04:57:07 PM,[{'ACH-000391-00': []}],-1,DSMZ,-1,PRN300 and P500,-1,,Bone Cancer,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,Metastasis,CCLE,[],,CVCL_1411,ascites,SIDM00386,,MHHES1,Ewings Sarcoma,Arxspan Support,Emily Chambers,339,ACH-000391,Ewing_sarcoma,,EWS_FLI,,bone
Adult,,CALU3_LUNG,25,Male,CDDB:000123,687777,Calu-3,CCLE line,09/23/2015 12:56:32 PM,11/20/2019 04:55:41 PM,[{'ACH-000392-00': []}],,ATCC,,,,,Lung Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_0609,pleural_effusion,SIDM00922,,CALU3,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Arxspan Support,Emily Chambers,219,ACH-000392,NSCLC,NSCLC_adenocarcinoma,,,lung
Adult,,HLF_LIVER,69,Male,CDDB:000374,,HLF,CCLE line; HLE &amp; HLF derived from the same patient (JCRB).,09/23/2015 12:56:33 PM,11/20/2019 04:57:58 PM,[{'ACH-000393-00': []}],,HSRRB,,P500,,,Liver Cancer,carcinoma,Primary,CCLE,[],,CVCL_2947,liver,SIDM00065,,HLF,Hepatocellular Carcinoma,Arxspan Support,Emily Chambers,,ACH-000393,hepatocellular_carcinoma,,,,liver
Adult,,NCIH2081_LUNG,59,Female,CDDB:155487,908480,NCI-H2081,CCLE line,09/23/2015 12:56:33 PM,11/20/2019 04:55:42 PM,[{'ACH-000394-00': []}],,ATCC,,,,,Lung Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1522,pleural_effusion,SIDM00710,,NCIH2081,Small Cell Lung Cancer (SCLC),Arxspan Support,Emily Chambers,914,ACH-000394,SCLC,,,,lung
Adult,,NCIH520_LUNG,,Male,CDDB:155324,908443,NCI-H520,CCLE line,09/23/2015 12:56:34 PM,11/20/2019 04:55:42 PM,[{'ACH-000395-00': []}],,ATCC,,P500,,,Lung Cancer,carcinoma,Primary,CCLE,[],,CVCL_1566,lung,SIDM01130,,NCIH520,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",Arxspan Support,Emily Chambers,2200,ACH-000395,NSCLC,NSCLC_squamous,,,lung
Adult,,J82_URINARY_TRACT,58,Male,CDDB:000482,753566,J82,CCLE line,09/23/2015 12:56:35 PM,11/20/2019 04:55:42 PM,[{'ACH-000396-00': []}],,ATCC,,P500,,,Bladder Cancer,carcinoma,Primary,CCLE,[],,CVCL_0359,urinary_tract,SIDM00693,,J82,Transitional Cell Carcinoma,Arxspan Support,Emily Chambers,1232,ACH-000396,bladder_carcinoma,bladder_transitional_cell,,,urinary_tract
Adult,,TEN_ENDOMETRIUM,74,Female,CDDB:001198,,TEN,CCLE line,09/23/2015 12:56:36 PM,11/20/2019 04:58:34 PM,[{'ACH-000397-00': []}],,RIKEN,,P500,,,Endometrial/Uterine Cancer,carcinoma,Primary,CCLE,[],,CVCL_E063,endometrium,,,TEN,Clear Cell Carcinoma,Arxspan Support,Emily Chambers,,ACH-000397,clear_cell_carcinoma,,,,uterus
Adult,,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,57,Female,CDDB:000977,,RI-1,CCLE line,09/23/2015 12:56:37 PM,11/20/2019 04:57:07 PM,[{'ACH-000398-00': []}],,DSMZ,,PRN300,,,Lymphoma,lymphoid_neoplasm,,CCLE,[],,CVCL_1885,haematopoietic_and_lymphoid_tissue,,,RI1,"B-cell, Non-Hodgkins",Arxspan Support,Emily Chambers,,ACH-000398,non_hodgkin_lymphoma,b_cell,,,lymphocyte
Adult,,NCIH2196_LUNG,67,Male,CDDB:155502,908481,NCI-H2196,CCLE line,09/23/2015 12:56:38 PM,11/20/2019 04:55:42 PM,[{'ACH-000399-00': []}],,ATCC,,PRN300,,,Lung Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1539,bone_marrow,SIDM00731,,NCIH2196,Small Cell Lung Cancer (SCLC),Arxspan Support,Emily Chambers,916,ACH-000399,SCLC,,,,lung
Adult,,SKCO1_LARGE_INTESTINE,65,Male,CDDB:001034,909718,SK-CO-1,CCLE line,09/23/2015 12:56:38 PM,11/20/2019 04:55:42 PM,[{'ACH-000400-00': []}],,ATCC,,,,,Colon/Colorectal Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_0626,ascites,SIDM01096,,SKCO1,Adenocarcinoma,Arxspan Support,Emily Chambers,40,ACH-000400,colorectal_adenocarcinoma,,,,colorectal
Adult,,COLO800_SKIN,14,Male,CDDB:000170,906813,COLO-800,CCLE line; COLO 800 and COLO 794 were both derived from the same 14 year old male This has been confirmed by STR profiling (ECACC).,09/23/2015 12:56:39 PM,11/20/2019 04:55:42 PM,[{'ACH-000401-00': []}],,ATCC,,P500,,,Skin Cancer,malignant_melanoma,Metastasis,CCLE,[],,CVCL_1135,skin,SIDM00515,,COLO800,Melanoma,Arxspan Support,Emily Chambers,21,ACH-000401,melanoma,,,,skin
Adult,,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,16,Male,CDDB:000075,,BL-70,CCLE line,09/23/2015 12:56:40 PM,11/20/2019 04:57:07 PM,[{'ACH-000402-00': []}],,DSMZ,,,,,Lymphoma,lymphoid_neoplasm,,CCLE,[],,CVCL_1088,haematopoietic_and_lymphoid_tissue,SIDM00074,,BL70,"B-cell, Non-Hodgkins, Burkitts",Arxspan Support,Emily Chambers,,ACH-000402,non_hodgkin_lymphoma,b_cell_burkitt,,,lymphocyte
Adult,,NCIH747_LARGE_INTESTINE,69,Male,CDDB:155356,908457,NCI-H747,CCLE line,09/23/2015 12:56:41 PM,11/20/2019 04:55:42 PM,[{'ACH-000403-00': []}],,ATCC,,P500,,,Colon/Colorectal Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1587,large_intestine,SIDM00778,,NCIH747,Adenocarcinoma,Arxspan Support,Emily Chambers,573,ACH-000403,colorectal_adenocarcinoma,,,,colorectal
Adult,,K029AX_SKIN,,Unknown,CDDB:000512,,K029AX,Received from CCLE; originally academic lab,09/23/2015 12:56:42 PM,11/21/2019 11:49:10 AM,[{'ACH-000404-00': []}],,Academic lab,,P500,,,Skin Cancer,malignant_melanoma,Primary,CCLE,[],,CVCL_8784,skin,,,K029AX,Melanoma,Arxspan Support,Emily Chambers,,ACH-000404,melanoma,,,,skin
Adult,,MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,61,Male,CDDB:000663,,MEC-1,"CCLE line; MEC1 and MEC2, that grew spontaneously on two subsequent occasions from the peripheral blood of a patient with B-chronic lymphocytic leukemia (PMID:10071128).",09/23/2015 12:56:42 PM,11/20/2019 04:57:07 PM,[{'ACH-000405-00': []}],,DSMZ,,,,,Leukemia,lymphoid_neoplasm,,CCLE,[],,CVCL_1870,haematopoietic_and_lymphoid_tissue,SIDM00001,,MEC1,"Chronic Lymphoblastic Leukemia (CLL), B-cell",Arxspan Support,Emily Chambers,,ACH-000405,CLL,b_cell,,,blood
Adult,,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,37,Male,CDDB:001231,,U-937,"CCLE line; CALM-AF10; p53 mut; RAS WT; JAK3 mut; TUR (TPA-U937-Resistant) is a stably transfected cell line generated by Ralf Hass and Masanori Hirano in 1992 from U-937, a monoblastoid cell line (ATCC).",09/23/2015 12:56:43 PM,11/20/2019 04:55:42 PM,[{'ACH-000406-00': []}],-1,ATCC,-1,PRN300,-1,,Leukemia,lymphoid_neoplasm,Metastasis,CCLE,[],,CVCL_0007,pleural_effusion,SIDM01195,,U937,Acute Myelogenous Leukemia (AML),Arxspan Support,Emily Chambers,,ACH-000406,AML,,,,blood
Adult,,SNU685_ENDOMETRIUM,70,Female,CDDB:001119,,SNU-685,CCLE line,09/23/2015 12:56:44 PM,11/20/2019 04:58:21 PM,[{'ACH-000407-00': []}],,KCLB,,P500,,,Endometrial/Uterine Cancer,carcinoma,Primary,CCLE,[],,CVCL_5083,endometrium,SIDM00165,,SNU685,Malignant Mixed Mullerian Tumor (MMMT),Arxspan Support,Emily Chambers,,ACH-000407,MMMT,,,,uterus
Adult,,TE5_OESOPHAGUS,73,Female,CDDB:001193,735784,TE-5,CCLE line,09/23/2015 12:56:45 PM,11/20/2019 04:58:34 PM,[{'ACH-000408-00': []}],,RIKEN,,P500,,,Esophageal Cancer,carcinoma,,CCLE,[],,CVCL_1764,oesophagus,SIDM00347,,TE5,Squamous Cell Carcinoma,Arxspan Support,Emily Chambers,576,ACH-000408,esophagus_squamous,,,,esophagus
